"gene_id" "locusName" "Description" "colors"
"Manes.01G017151.v8.1" "Manes.01G017151" NA "turquoise"
"Manes.01G017500.v8.1" "Manes.01G017500" NA "turquoise"
"Manes.01G018300.v8.1" "Manes.01G018300" "(1 of 2) K17800 - LETM1 and EF-hand domain-containing protein 1, mitochondrial (LETM1, MDM38)" "turquoise"
"Manes.01G021500.v8.1" "Manes.01G021500" NA "turquoise"
"Manes.01G021700.v8.1" "Manes.01G021700" "(1 of 1) K03111 - single-strand DNA-binding protein (ssb)" "turquoise"
"Manes.01G021800.v8.1" "Manes.01G021800" "(1 of 3) KOG4765 - Uncharacterized conserved protein" "turquoise"
"Manes.01G022000.v8.1" "Manes.01G022000" NA "turquoise"
"Manes.01G022300.v8.1" "Manes.01G022300" "(1 of 8) K01530 - phospholipid-translocating ATPase (E3.6.3.1)" "turquoise"
"Manes.01G022500.v8.1" "Manes.01G022500" "(1 of 5) PTHR31194//PTHR31194:SF14 - SHN  SHINE , DNA BINDING / TRANSCRIPTION FACTOR // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G022750.v8.1" "Manes.01G022750" "(1 of 7) 6.2.1.1 - Acetate--CoA ligase / Acyl-activating enzyme" "turquoise"
"Manes.01G023300.v8.1" "Manes.01G023300" "(1 of 9) 1.13.11.19 - Cysteamine dioxygenase / Persulfurase" "turquoise"
"Manes.01G024300.v8.1" "Manes.01G024300" "(1 of 1) K04773 - protease IV [EC:3.4.21.-] (sppA)" "turquoise"
"Manes.01G025400.v8.1" "Manes.01G025400" NA "turquoise"
"Manes.01G027100.v8.1" "Manes.01G027100" "(1 of 2) PTHR10693//PTHR10693:SF27 - RAS GTPASE-ACTIVATING PROTEIN-BINDING PROTEIN // NUCLEAR TRANSPORT FACTOR 2 AND RNA RECOGNITION MOTIF DOMAIN-CONTAINING PROTEIN" "turquoise"
"Manes.01G027350.v8.1" "Manes.01G027350" NA "turquoise"
"Manes.01G027400.v8.1" "Manes.01G027400" "(1 of 2) PTHR13890//PTHR13890:SF11 - RNA SPLICING PROTEIN MRS2, MITOCHONDRIAL // MAGNESIUM TRANSPORTER MRS2-5" "turquoise"
"Manes.01G027600.v8.1" "Manes.01G027600" NA "turquoise"
"Manes.01G027900.v8.1" "Manes.01G027900" "(1 of 2) PF07168 - Ureide permease (Ureide_permease)" "turquoise"
"Manes.01G028200.v8.1" "Manes.01G028200" "(1 of 1) 3.1.1.3//3.7.1.14 - Triacylglycerol lipase / Triglyceride lipase // 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase" "turquoise"
"Manes.01G028400.v8.1" "Manes.01G028400" NA "turquoise"
"Manes.01G028500.v8.1" "Manes.01G028500" "(1 of 1) PF07904 - Chromatin modification-related protein EAF7 (Eaf7)" "turquoise"
"Manes.01G028800.v8.1" "Manes.01G028800" NA "turquoise"
"Manes.01G029300.v8.1" "Manes.01G029300" "(1 of 2) PTHR31221//PTHR31221:SF8 - FAMILY NOT NAMED // WRKY TRANSCRIPTION FACTOR 57-RELATED" "turquoise"
"Manes.01G029950.v8.1" "Manes.01G029950" NA "turquoise"
"Manes.01G030200.v8.1" "Manes.01G030200" NA "turquoise"
"Manes.01G030400.v8.1" "Manes.01G030400" "(1 of 1) PF02151//PF08755 - UvrB/uvrC motif (UVR) // Hemimethylated DNA-binding protein YccV like (YccV-like)" "turquoise"
"Manes.01G030700.v8.1" "Manes.01G030700" NA "turquoise"
"Manes.01G031001.v8.1" "Manes.01G031001" "(1 of 2) PTHR20856:SF20 - DNA-DIRECTED RNA POLYMERASE SUBUNIT BETA" "turquoise"
"Manes.01G031200.v8.1" "Manes.01G031200" NA "turquoise"
"Manes.01G034200.v8.1" "Manes.01G034200" "(1 of 2) PTHR14304//PTHR14304:SF11 - P30 DBC PROTEIN // PROTEIN LST-3, ISOFORM A" "turquoise"
"Manes.01G035000.v8.1" "Manes.01G035000" "(1 of 6) PTHR31089//PTHR31089:SF4 - FAMILY NOT NAMED // CYCLIC DOF FACTOR 2-RELATED" "turquoise"
"Manes.01G036300.v8.1" "Manes.01G036300" "(1 of 3) K14413 - beta-1,3-galactosyltransferase (GALT1)" "turquoise"
"Manes.01G040300.v8.1" "Manes.01G040300" NA "turquoise"
"Manes.01G040100.v8.1" "Manes.01G040100" "(1 of 1) KOG0817 - Acyl-CoA-binding protein" "turquoise"
"Manes.01G039400.v8.1" "Manes.01G039400" NA "turquoise"
"Manes.01G039300.v8.1" "Manes.01G039300" "(1 of 1) KOG1085 - Predicted methyltransferase (contains a SET domain)" "turquoise"
"Manes.01G039200.v8.1" "Manes.01G039200" "(1 of 1) K09122 - hypothetical protein (K09122)" "turquoise"
"Manes.01G036700.v8.1" "Manes.01G036700" NA "turquoise"
"Manes.01G037700.v8.1" "Manes.01G037700" NA "turquoise"
"Manes.01G038200.v8.1" "Manes.01G038200" NA "turquoise"
"Manes.01G038300.v8.1" "Manes.01G038300" NA "turquoise"
"Manes.01G042100.v8.1" "Manes.01G042100" "(1 of 2) PF09446 - VMA21-like domain (VMA21)" "turquoise"
"Manes.01G042800.v8.1" "Manes.01G042800" "(1 of 4) K12890 - splicing factor, arginine/serine-rich 1/9 (SFRS1_9)" "turquoise"
"Manes.01G043100.v8.1" "Manes.01G043100" NA "turquoise"
"Manes.01G043800.v8.1" "Manes.01G043800" NA "turquoise"
"Manes.01G050500.v8.1" "Manes.01G050500" "(1 of 3) PTHR32468//PTHR32468:SF34 - FAMILY NOT NAMED // CATION/H(+) ANTIPORTER 18" "turquoise"
"Manes.01G051400.v8.1" "Manes.01G051400" "(1 of 2) PTHR23074:SF90 - P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN" "turquoise"
"Manes.01G051500.v8.1" "Manes.01G051500" "(1 of 1) PTHR33284//PTHR33284:SF1 - FAMILY NOT NAMED // RIBOSOMAL L25/TL5/CTC N-TERMINAL 5S RRNA BINDING DOMAIN-CONTAINING PROTEIN" "turquoise"
"Manes.01G046700.v8.1" "Manes.01G046700" "(1 of 74) PF00069//PF00560//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine Rich Repeat (LRR_1) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)" "turquoise"
"Manes.01G045900.v8.1" "Manes.01G045900" NA "turquoise"
"Manes.01G045600.v8.1" "Manes.01G045600" NA "turquoise"
"Manes.01G047900.v8.1" "Manes.01G047900" "(1 of 1) PTHR22847//PTHR22847:SF443 - WD40 REPEAT PROTEIN // PROTEIN SPA1-RELATED 2" "turquoise"
"Manes.01G049330.v8.1" "Manes.01G049330" "(1 of 2) 2.7.8.11//6.2.1.3 - CDP-diacylglycerol--inositol 3-phosphatidyltransferase / Phosphatidylinositol synthase // Long-chain-fatty-acid--CoA ligase / Lignoceroyl-CoA synthase" "turquoise"
"Manes.01G049375.v8.1" "Manes.01G049375" NA "turquoise"
"Manes.01G049465.v8.1" "Manes.01G049465" "(1 of 1) PTHR10871//PTHR10871:SF8 - 30S RIBOSOMAL PROTEIN S13/40S RIBOSOMAL PROTEIN S18 // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G046800.v8.1" "Manes.01G046800" NA "turquoise"
"Manes.01G047200.v8.1" "Manes.01G047200" "(1 of 102) PF03106 - WRKY DNA -binding domain (WRKY)" "turquoise"
"Manes.01G045515.v8.1" "Manes.01G045515" NA "turquoise"
"Manes.01G051800.v8.1" "Manes.01G051800" "(1 of 1) PTHR31645//PTHR31645:SF11 - FAMILY NOT NAMED // METAL-NICOTIANAMINE TRANSPORTER YSL1" "turquoise"
"Manes.01G052104.v8.1" "Manes.01G052104" "(1 of 2) PTHR13902//PTHR13902:SF56 - SERINE/THREONINE-PROTEIN KINASE WNK  WITH NO LYSINE -RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G049500.v8.1" "Manes.01G049500" NA "turquoise"
"Manes.01G054600.v8.1" "Manes.01G054600" NA "turquoise"
"Manes.01G054900.v8.1" "Manes.01G054900" "(1 of 3) PTHR19308//PTHR19308:SF12 - PHOSPHATIDYLCHOLINE TRANSFER PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G055708.v8.1" "Manes.01G055708" "(1 of 15) PF04811 - Sec23/Sec24 trunk domain (Sec23_trunk)" "turquoise"
"Manes.01G056900.v8.1" "Manes.01G056900" NA "turquoise"
"Manes.01G058000.v8.1" "Manes.01G058000" "(1 of 2) PTHR24055:SF224 - MITOGEN-ACTIVATED PROTEIN KINASE 5" "turquoise"
"Manes.01G058700.v8.1" "Manes.01G058700" "(1 of 2) PTHR11850//PTHR11850:SF120 - HOMEOBOX PROTEIN TRANSCRIPTION FACTORS // HOMEOBOX PROTEIN BEL1 HOMOLOG" "turquoise"
"Manes.01G061900.v8.1" "Manes.01G061900" "(1 of 2) PTHR15141//PTHR15141:SF38 - TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 3 // BROMO-ADJACENT HOMOLOGY (BAH) DOMAIN-CONTAINING PROTEIN-RELATED" "turquoise"
"Manes.01G063300.v8.1" "Manes.01G063300" NA "turquoise"
"Manes.01G063600.v8.1" "Manes.01G063600" NA "turquoise"
"Manes.01G064500.v8.1" "Manes.01G064500" "(1 of 2) PTHR10774//PTHR10774:SF58 - EXTENDED SYNAPTOTAGMIN-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G065400.v8.1" "Manes.01G065400" NA "turquoise"
"Manes.01G065600.v8.1" "Manes.01G065600" NA "turquoise"
"Manes.01G066800.v8.1" "Manes.01G066800" NA "turquoise"
"Manes.01G070200.v8.1" "Manes.01G070200" "(1 of 1) K05277 - leucoanthocyanidin dioxygenase (E1.14.11.19)" "turquoise"
"Manes.01G071200.v8.1" "Manes.01G071200" "(1 of 1) PTHR10361:SF30 - SODIUM/METABOLITE COTRANSPORTER BASS5, CHLOROPLASTIC-RELATED" "turquoise"
"Manes.01G071400.v8.1" "Manes.01G071400" "(1 of 2) PTHR10634//PTHR10634:SF38 - AN1-TYPE ZINC FINGER PROTEIN // ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 1-RELATED" "turquoise"
"Manes.01G071500.v8.1" "Manes.01G071500" "(1 of 2) PTHR24115//PTHR24115:SF437 - FAMILY NOT NAMED // ARMADILLO REPEAT-CONTAINING KINESIN-LIKE PROTEIN 3" "turquoise"
"Manes.01G071900.v8.1" "Manes.01G071900" "(1 of 1) PTHR10381//PTHR10381:SF15 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT // ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT-RELATED PROTEIN 2, CHLOROPLASTIC" "turquoise"
"Manes.01G072000.v8.1" "Manes.01G072000" "(1 of 3) PTHR12290:SF18 - PROTEIN CORNICHON HOMOLOG 3-RELATED" "turquoise"
"Manes.01G073112.v8.1" "Manes.01G073112" NA "turquoise"
"Manes.01G073125.v8.1" "Manes.01G073125" "(1 of 7) K03347 - cullin 1 (CUL1, CDC53)" "turquoise"
"Manes.01G073700.v8.1" "Manes.01G073700" NA "turquoise"
"Manes.01G074100.v8.1" "Manes.01G074100" "(1 of 1) PTHR10638:SF39 - AMINE OXIDASE-RELATED" "turquoise"
"Manes.01G074800.v8.1" "Manes.01G074800" "(1 of 2) PTHR31080:SF2 - F23N19.14-RELATED" "turquoise"
"Manes.01G076600.v8.1" "Manes.01G076600" "(1 of 1) PTHR10683//PTHR10683:SF10 - TRANSALDOLASE // TRANSALDOLASE-LIKE PROTEIN" "turquoise"
"Manes.01G079200.v8.1" "Manes.01G079200" "(1 of 2) PF04073 - Aminoacyl-tRNA editing domain (tRNA_edit)" "turquoise"
"Manes.01G079500.v8.1" "Manes.01G079500" NA "turquoise"
"Manes.01G079800.v8.1" "Manes.01G079800" "(1 of 3) PTHR10809:SF50 - VESICLE-ASSOCIATED PROTEIN 1-1-RELATED" "turquoise"
"Manes.01G080200.v8.1" "Manes.01G080200" "(1 of 1) 2.1.1.126 - [Myelin basic protein]-arginine N-methyltransferase / Protein-arginine N-methyltransferase" "turquoise"
"Manes.01G080300.v8.1" "Manes.01G080300" NA "turquoise"
"Manes.01G080700.v8.1" "Manes.01G080700" "(1 of 1) PTHR23067//PTHR23067:SF44 - DOUBLE-STRANDED RNA-BINDING ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G080900.v8.1" "Manes.01G080900" "(1 of 2) PTHR13402//PTHR13402:SF12 - RGPR-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G080964.v8.1" "Manes.01G080964" NA "turquoise"
"Manes.01G081600.v8.1" "Manes.01G081600" "(1 of 2) PTHR19139//PTHR19139:SF134 - AQUAPORIN TRANSPORTER // AQUAPORIN TIP2-3-RELATED" "turquoise"
"Manes.01G082200.v8.1" "Manes.01G082200" "(1 of 1) PTHR10067//PTHR10067:SF4 - PHOSPHATIDYLSERINE DECARBOXYLASE // PHOSPHATIDYLSERINE DECARBOXYLASE PROENZYME" "turquoise"
"Manes.01G082700.v8.1" "Manes.01G082700" "(1 of 1) K01704 - 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit (leuD)" "turquoise"
"Manes.01G084500.v8.1" "Manes.01G084500" "(1 of 7) PF00046//PF02183//PF04618 - Homeobox domain (Homeobox) // Homeobox associated leucine zipper (HALZ) // HD-ZIP protein N terminus (HD-ZIP_N)" "turquoise"
"Manes.01G084700.v8.1" "Manes.01G084700" "(1 of 2) 3.1.2.22 - Palmitoyl-protein hydrolase / Palmitoyl-protein thioesterase" "turquoise"
"Manes.01G084900.v8.1" "Manes.01G084900" NA "turquoise"
"Manes.01G087500.v8.1" "Manes.01G087500" "(1 of 1) PF00320//PF13919 - GATA zinc finger (GATA) // Asx homology domain (ASXH)" "turquoise"
"Manes.01G087900.v8.1" "Manes.01G087900" "(1 of 2) PTHR10381:SF25 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT-RELATED PROTEIN 4, CHLOROPLASTIC" "turquoise"
"Manes.01G089900.v8.1" "Manes.01G089900" NA "turquoise"
"Manes.01G090400.v8.1" "Manes.01G090400" "(1 of 5) K02915 - large subunit ribosomal protein L34e (RP-L34e, RPL34)" "turquoise"
"Manes.01G092100.v8.1" "Manes.01G092100" "(1 of 2) PTHR31089:SF1 - CYCLIC DOF FACTOR 4-RELATED" "turquoise"
"Manes.01G092900.v8.1" "Manes.01G092900" NA "turquoise"
"Manes.01G093400.v8.1" "Manes.01G093400" "(1 of 2) K01739 - cystathionine gamma-synthase (metB)" "turquoise"
"Manes.01G094700.v8.1" "Manes.01G094700" "(1 of 2) K15030 - translation initiation factor 3 subunit M (EIF3M)" "turquoise"
"Manes.01G096300.v8.1" "Manes.01G096300" "(1 of 3) PTHR27000//PTHR27000:SF205 - FAMILY NOT NAMED // LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE RPK2" "turquoise"
"Manes.01G095900.v8.1" "Manes.01G095900" "(1 of 2) PTHR11802:SF43 - SERINE CARBOXYPEPTIDASE-LIKE 25" "turquoise"
"Manes.01G095500.v8.1" "Manes.01G095500" NA "turquoise"
"Manes.01G097600.v8.1" "Manes.01G097600" NA "turquoise"
"Manes.01G097700.v8.1" "Manes.01G097700" "(1 of 3) K02966 - small subunit ribosomal protein S19e (RP-S19e, RPS19)" "turquoise"
"Manes.01G098000.v8.1" "Manes.01G098000" NA "turquoise"
"Manes.01G099400.v8.1" "Manes.01G099400" "(1 of 1) K10597 - ubiquitin conjugation factor E4 B (UBE4B, UFD2)" "turquoise"
"Manes.01G099800.v8.1" "Manes.01G099800" NA "turquoise"
"Manes.01G100000.v8.1" "Manes.01G100000" "(1 of 2) PTHR33021//PTHR33021:SF63 - FAMILY NOT NAMED // LAMIN-LIKE PROTEIN" "turquoise"
"Manes.01G101200.v8.1" "Manes.01G101200" "(1 of 5) K08493 - vesicle transport through interaction with t-SNAREs 1 (VTI1)" "turquoise"
"Manes.01G103000.v8.1" "Manes.01G103000" "(1 of 1) PTHR10631//PTHR10631:SF3//PTHR10631:SF5 - N 2 ,N 2 -DIMETHYLGUANOSINE TRNA METHYLTRANSFERASE // TRNA (GUANINE(26)-N(2))-DIMETHYLTRANSFERASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G103200.v8.1" "Manes.01G103200" "(1 of 4) PTHR11945//PTHR11945:SF155 - MADS BOX PROTEIN // AGAMOUS-LIKE MADS-BOX PROTEIN AGL8-RELATED" "turquoise"
"Manes.01G103800.v8.1" "Manes.01G103800" NA "turquoise"
"Manes.01G104300.v8.1" "Manes.01G104300" "(1 of 8) PTHR15245//PTHR15245:SF11 - SYMPLEKIN-RELATED // PHOSPHATIDYLINOSITOL 3-KINASE-RELATED PROTEIN KINASE" "turquoise"
"Manes.01G104800.v8.1" "Manes.01G104800" "(1 of 1) PTHR23308:SF2 - KANADAPTIN" "turquoise"
"Manes.01G105100.v8.1" "Manes.01G105100" NA "turquoise"
"Manes.01G106500.v8.1" "Manes.01G106500" NA "turquoise"
"Manes.01G106800.v8.1" "Manes.01G106800" NA "turquoise"
"Manes.01G107400.v8.1" "Manes.01G107400" "(1 of 2) PTHR27001:SF132 - PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK8" "turquoise"
"Manes.01G108100.v8.1" "Manes.01G108100" NA "turquoise"
"Manes.01G108700.v8.1" "Manes.01G108700" "(1 of 4) PTHR18860:SF27 - 14-3-3-LIKE PROTEIN GF14 LAMBDA" "turquoise"
"Manes.01G108900.v8.1" "Manes.01G108900" "(1 of 2) K09498 - T-complex protein 1 subunit zeta (CCT6)" "turquoise"
"Manes.01G112900.v8.1" "Manes.01G112900" "(1 of 2) PTHR32059//PTHR32059:SF0 - FAMILY NOT NAMED // LISH DOMAIN AND HEAT REPEAT-CONTAINING PROTEIN KIAA1468" "turquoise"
"Manes.01G113700.v8.1" "Manes.01G113700" "(1 of 1) 4.1.1.8 - Oxalyl-CoA decarboxylase / Oxalyl-CoA carboxy-lyase" "turquoise"
"Manes.01G113800.v8.1" "Manes.01G113800" NA "turquoise"
"Manes.01G114300.v8.1" "Manes.01G114300" "(1 of 1) PTHR12843//PTHR12843:SF5 - UNCHARACTERIZED // METHYLTRANSFERASE-LIKE PROTEIN 10" "turquoise"
"Manes.01G114800.v8.1" "Manes.01G114800" NA "turquoise"
"Manes.01G115500.v8.1" "Manes.01G115500" NA "turquoise"
"Manes.01G116200.v8.1" "Manes.01G116200" NA "turquoise"
"Manes.01G116300.v8.1" "Manes.01G116300" "(1 of 3) K02966 - small subunit ribosomal protein S19e (RP-S19e, RPS19)" "turquoise"
"Manes.01G118100.v8.1" "Manes.01G118100" "(1 of 2) PTHR10091//PTHR10091:SF8 - ALDOSE-1-EPIMERASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G118300.v8.1" "Manes.01G118300" "(1 of 1) K10838 - xeroderma pigmentosum group C-complementing protein (XPC)" "turquoise"
"Manes.01G118500.v8.1" "Manes.01G118500" "(1 of 2) PTHR19965:SF33 - THO COMPLEX SUBUNIT 4D" "turquoise"
"Manes.01G118800.v8.1" "Manes.01G118800" "(1 of 2) PTHR11711//PTHR11711:SF152 - ADP RIBOSYLATION FACTOR-RELATED // ADP-RIBOSYLATION FACTOR-LIKE A1A" "turquoise"
"Manes.01G120100.v8.1" "Manes.01G120100" "(1 of 1) PTHR28620:SF1 - PROTEIN F25B4.8, ISOFORM A" "turquoise"
"Manes.01G121500.v8.1" "Manes.01G121500" "" "turquoise"
"Manes.01G122100.v8.1" "Manes.01G122100" "(1 of 35) PF03101 - FAR1 DNA-binding domain (FAR1)" "turquoise"
"Manes.01G122800.v8.1" "Manes.01G122800" "(1 of 4) 1.1.1.42 - Isocitrate dehydrogenase (NADP(+)) / oxalosuccinate carboxylase" "turquoise"
"Manes.01G124000.v8.1" "Manes.01G124000" "(1 of 1) PTHR13271//PTHR13271:SF19 - UNCHARACTERIZED PUTATIVE METHYLTRANSFERASE // PROTEIN SET DOMAIN GROUP 40" "turquoise"
"Manes.01G124200.v8.1" "Manes.01G124200" "(1 of 3) K02291 - phytoene synthase (crtB)" "turquoise"
"Manes.01G124300.v8.1" "Manes.01G124300" "(1 of 24) 2.4.1.324 - 7-deoxyloganetin glucosyltransferase / UGT85A24" "turquoise"
"Manes.01G124600.v8.1" "Manes.01G124600" "(1 of 1) PTHR11019//PTHR11019:SF112 - THIJ/PFPI // DJ-1/THIJ/PFPI FAMILY PROTEIN" "turquoise"
"Manes.01G125500.v8.1" "Manes.01G125500" NA "turquoise"
"Manes.01G126700.v8.1" "Manes.01G126700" "(1 of 3) K02206 - cyclin-dependent kinase 2 (CDK2)" "turquoise"
"Manes.01G128600.v8.1" "Manes.01G128600" "(1 of 1) PTHR23272//PTHR23272:SF31 - BED FINGER-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G130600.v8.1" "Manes.01G130600" "(1 of 34) PF03188 - Eukaryotic cytochrome b561 (Cytochrom_B561)" "turquoise"
"Manes.01G131100.v8.1" "Manes.01G131100" "(1 of 2) PTHR13683//PTHR13683:SF250 - ASPARTYL PROTEASES // ASPARTYL PROTEASE-LIKE PROTEIN" "turquoise"
"Manes.01G131200.v8.1" "Manes.01G131200" "(1 of 3) PTHR22838:SF3 - WD-REPEAT PROTEIN-LIKE" "turquoise"
"Manes.01G131600.v8.1" "Manes.01G131600" "(1 of 3) PTHR23083//PTHR23083:SF444 - TETRATRICOPEPTIDE REPEAT PROTEIN, TPR // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G132000.v8.1" "Manes.01G132000" NA "turquoise"
"Manes.01G132400.v8.1" "Manes.01G132400" "(1 of 2) PTHR23257:SF545 - SERINE/THREONINE KINASE-RELATED" "turquoise"
"Manes.01G133000.v8.1" "Manes.01G133000" "(1 of 3) 2.7.1.26 - Riboflavin kinase / RFK" "turquoise"
"Manes.01G133100.v8.1" "Manes.01G133100" "(1 of 3) PTHR18860//PTHR18860:SF31 - 14-3-3 PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G134400.v8.1" "Manes.01G134400" "(1 of 2) K11093 - U1 small nuclear ribonucleoprotein 70kDa (SNRP70)" "turquoise"
"Manes.01G137600.v8.1" "Manes.01G137600" NA "turquoise"
"Manes.01G138000.v8.1" "Manes.01G138000" "(1 of 1) K03242 - translation initiation factor 2 subunit 3 (EIF2S3)" "turquoise"
"Manes.01G138400.v8.1" "Manes.01G138400" "(1 of 1) PTHR31009//PTHR31009:SF9 - S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G138700.v8.1" "Manes.01G138700" "(1 of 2) PTHR22814//PTHR22814:SF132 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G140300.v8.1" "Manes.01G140300" "(1 of 2) PTHR24089:SF321 - GM03767P" "turquoise"
"Manes.01G140700.v8.1" "Manes.01G140700" "(1 of 1) 1.1.99.39 - D-2-hydroxyglutarate dehydrogenase" "turquoise"
"Manes.01G140900.v8.1" "Manes.01G140900" "(1 of 1) PTHR10938//PTHR10938:SF2 - TRANSLATION INITIATION FACTOR IF-3 // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G142000.v8.1" "Manes.01G142000" "(1 of 2) PTHR13233//PTHR13233:SF2 - MICROSPHERULE PROTEIN 1 // SMAD/FHA DOMAIN-CONTAINING PROTEIN" "turquoise"
"Manes.01G142500.v8.1" "Manes.01G142500" NA "turquoise"
"Manes.01G142700.v8.1" "Manes.01G142700" NA "turquoise"
"Manes.01G143200.v8.1" "Manes.01G143200" "(1 of 1) 3.4.14.2 - Dipeptidyl-peptidase II / Quiescent cell proline dipeptidase" "turquoise"
"Manes.01G144400.v8.1" "Manes.01G144400" "(1 of 7) K02155 - V-type H+-transporting ATPase 16kDa proteolipid subunit (ATPeV0C, ATP6L)" "turquoise"
"Manes.01G144600.v8.1" "Manes.01G144600" "(1 of 1) PTHR11467:SF50 - HISTONE H1" "turquoise"
"Manes.01G145300.v8.1" "Manes.01G145300" "(1 of 1) PTHR23111//PTHR23111:SF37 - ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.01G145900.v8.1" "Manes.01G145900" "(1 of 1) PTHR23042:SF70 - TRANSCRIPTION FACTOR BHLH121" "turquoise"
"Manes.01G146000.v8.1" "Manes.01G146000" "(1 of 1) K10772 - AP endonuclease 2 (APEX2)" "turquoise"
"Manes.01G146300.v8.1" "Manes.01G146300" "(1 of 4) PTHR23315:SF123 - ARMADILLO REPEAT ONLY 2 PROTEIN" "turquoise"
"Manes.01G147700.v8.1" "Manes.01G147700" NA "turquoise"
