"","gene_id","colors","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline","gene_metabolite"
"14","Manes.01G157500.v8.1","grey","Manes.01G157500","PWY-922; PWY-5910","mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","hydroxymethylglutaryl-CoA reductase (NADPH) activity; isoprenoid biosynthetic process; coenzyme A metabolic process; NADP binding","carot","(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase","GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114","","K00021","PF00368","PTHR10572 PTHR10572:SF9","","gene"
"15","Manes.01G162300.v8.1","black","Manes.01G162300","","","catalytic activity; starch binding","carb","(1 of 2) 3.2.1.3 - Glucan 1;4-alpha-glucosidase / Lysosomal alpha-glucosidase","GO:0003824 GO:2001070","","","PF00686","PTHR10357 PTHR10357:SF149","","gene"
"16","Manes.01G165700.v8.1","green","Manes.01G165700","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process","carb","(1 of 1) PTHR11902//PTHR11902:SF13 - ENOLASE // CYTOSOLIC ENOLASE 3","GO:0000015 GO:0000287 GO:0004634 GO:0006096","","K01689","PF00113 PF03952","PTHR11902 PTHR11902:SF13","cytosolic enolase","gene"
"17","Manes.01G173500.v8.1","darkred","Manes.01G173500","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","triose-phosphate isomerase activity; metabolic process","carb","(1 of 5) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase","GO:0004807 GO:0008152","KOG1643","K01803","PF00121","PTHR21139 PTHR21139:SF6","triosephosphate isomerase","gene"
"18","Manes.01G176400.v8.1","lightgreen","Manes.01G176400","PWY-7560","methylerythritol phosphate pathway II","ATP binding; terpenoid biosynthetic process; 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity","carot","(1 of 2) 2.7.1.148 - 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase / CMK","GO:0005524 GO:0016114 GO:0050515","","K00919","PF00288 PF08544","PTHR20861 PTHR20861:SF2","4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase","gene"
"19","Manes.01G184000.v8.1","turquoise","Manes.01G184000","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","carb","(1 of 3) K00703 - starch synthase (E2.4.1.21; glgA)","GO:0004373","","K00703","PF00534 PF08323","PTHR12526 PTHR12526:SF337","Glycogen/starch synthases, ADP-glucose type","gene"
"20","Manes.01G194500.v8.1","green","Manes.01G194500","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle","carb","(1 of 2) PTHR11516//PTHR11516:SF38 - PYRUVATE DEHYDROGENASE E1 COMPONENT; ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR // SUBFAMILY NOT NAMED","GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231","","K00161","PF00676","PTHR11516 PTHR11516:SF38","pyruvate dehydrogenase complex E1 alpha subunit","gene"
"21","Manes.01G200300.v8.1","turquoise","Manes.01G200300","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","","carb","(1 of 1) PTHR10584:SF184 - RIBOKINASE","","KOG2855","","PF00294","PTHR10584 PTHR10584:SF184","pfkB-like carbohydrate kinase family protein","gene"
"22","Manes.01G221900.v8.1","green","Manes.01G221900","PWY-3801","sucrose degradation II (sucrose synthase)","sucrose metabolic process; sucrose synthase activity","carb","(1 of 1) PF00862//PF13524 - Sucrose synthase (Sucrose_synth) // Glycosyl transferases group 1 (Glyco_trans_1_2)","GO:0005985 GO:0016157","","","PF00862 PF13524","PTHR12526 PTHR12526:SF348","sucrose synthase 3","gene"
"23","Manes.01G236700.v8.1","blue","Manes.01G236700","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity","carb","(1 of 1) PTHR22572//PTHR22572:SF112 - SUGAR-1-PHOSPHATE GUANYL TRANSFERASE // SUBFAMILY NOT NAMED","GO:0005978 GO:0008878 GO:0009058 GO:0016779","KOG1322","K00975","PF00483","PTHR22572 PTHR22572:SF112","","gene"
"24","Manes.01G239900.v8.1","turquoise","Manes.01G239900","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle","carb","(1 of 2) PTHR11516:SF25 - PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT ALPHA-3; CHLOROPLASTIC","GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231","","K00161","PF00676","PTHR11516 PTHR11516:SF25","pyruvate dehydrogenase E1 alpha","gene"
"25","Manes.01G263700.v8.1","blue","Manes.01G263700","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","","carb","(1 of 1) PTHR10584//PTHR10584:SF192 - SUGAR KINASE // FRUCTOKINASE 1","","KOG2855","","PF00294","PTHR10584 PTHR10584:SF192","","gene"
"26","Manes.01G270900.v8.1","blue","Manes.01G270900","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","malate metabolic process; oxidoreductase activity; malate dehydrogenase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","carb","(1 of 5) K00025 - malate dehydrogenase (MDH1)","GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00025","PF00056 PF02866","PTHR23382 PTHR23382:SF7","","gene"
"27","Manes.02G001000.v8.1","grey","Manes.02G001000","PWY-622","starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","carb","(1 of 2) K13679 - granule-bound starch synthase [EC:2.4.1.242] Glc a1-4 Glc (WAXY)","GO:0004373","","K13679","PF00534 PF08323","PTHR12526 PTHR12526:SF383","UDP-Glycosyltransferase superfamily protein","gene"
"28","Manes.02G006200.v8.1","blue","Manes.02G006200","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","carb","(1 of 7) K01177 - beta-amylase (E3.2.1.2)","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF7","","gene"
"29","Manes.02G017610.v8.1","tan","Manes.02G017610","PWY-7560","methylerythritol phosphate pathway II","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity; terpenoid biosynthetic process","carot","(1 of 1) 4.6.1.12 - 2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase / MECDP-synthase","GO:0008685 GO:0016114","","K01770","PF02542","PTHR32125","isoprenoid F","gene"
"30","Manes.02G030900.v8.1","turquoise","Manes.02G030900","PWY-922; PWY-5910","mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","hydroxymethylglutaryl-CoA synthase activity; isoprenoid biosynthetic process","carot","(1 of 2) 2.3.3.10 - Hydroxymethylglutaryl-CoA synthase / Hydroxymethylglutaryl coenzyme alpha-condensing enzyme","GO:0004421 GO:0008299","","K01641","PF01154 PF08540","PTHR11877 PTHR11877:SF20","hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase","gene"
"31","Manes.02G035200.v8.1","grey","Manes.02G035200","CAROTENOID-PWY; PWY-6475; ","superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants); ","biosynthetic process; transferase activity","carot","(1 of 1) K18163 - NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 6 (NDUFAF6)","GO:0009058 GO:0016740","KOG4411","K18163","PF00494","PTHR21181 PTHR21181:SF13","Terpenoid synthases superfamily protein","gene"
"32","Manes.02G035900.v8.1","salmon","Manes.02G035900","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","hydrolase activity, hydrolyzing O-glycosyl compounds; beta-fructofuranosidase activity; sucrose alpha-glucosidase activity; carbohydrate metabolic process","carb","(1 of 2) PTHR31953//PTHR31953:SF17 - FAMILY NOT NAMED // ACID BETA-FRUCTOFURANOSIDASE 3; VACUOLAR-RELATED","GO:0004553 GO:0004564 GO:0004575 GO:0005975","","K01193","PF00251 PF08244 PF11837","PTHR31953 PTHR31953:SF17","Glycosyl hydrolases family 32 protein","gene"
"33","Manes.02G038200.v8.1","turquoise","Manes.02G038200","PWY-5481; ANAEROFRUCAT-PWY","pyruvate fermentation to lactate; homolactic fermentation","L-lactate dehydrogenase activity; cytoplasm; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process","carb","(1 of 2) 1.1.1.27 - L-lactate dehydrogenase / L-lactic dehydrogenase","GO:0004459 GO:0005737 GO:0016491 GO:0016616 GO:0019752 GO:0055114","","K00016","PF00056 PF02866","PTHR11540 PTHR11540:SF3","Lactate/malate dehydrogenase family protein","gene"
"34","Manes.02G046733.v8.1","pink","Manes.02G046733","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","carb","(1 of 3) K00703 - starch synthase (E2.4.1.21; glgA)","GO:0004373","","K00703","PF00534 PF08323","PTHR12526 PTHR12526:SF337","starch synthase 2","gene"
"35","Manes.02G052200.v8.1","turquoise","Manes.02G052200","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","carb","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35","gene"
"36","Manes.02G052240.v8.1","turquoise","Manes.02G052240","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","carb","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35","gene"
"37","Manes.02G052280.v8.1","black","Manes.02G052280","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","carb","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35","gene"
"38","Manes.02G052360.v8.1","darkgreen","Manes.02G052360","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","carb","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35","gene"
"39","Manes.02G052520.v8.1","black","Manes.02G052520","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","carb","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35","gene"
"40","Manes.02G052600.v8.1","green","Manes.02G052600","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","carb","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35","gene"
"41","Manes.02G064400.v8.1","yellow","Manes.02G064400","GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042","gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol)","catalytic activity; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity; metal ion binding","carb","(1 of 1) PTHR31209//PTHR31209:SF0 - FAMILY NOT NAMED // COFACTOR-INDEPENDENT PHOSPHOGLYCERATE MUTASE","GO:0003824 GO:0046537 GO:0046872","","","PF01676 PF10143","PTHR31209 PTHR31209:SF0","Cofactor-independent phosphoglycerate mutase","gene"
"42","Manes.02G068600.v8.1","turquoise","Manes.02G068600","PWY-6809; PWY-695","neoxanthin biosynthesis; abscisic acid biosynthesis","","carot","(1 of 2) 5.3.99.9 - Neoxanthin synthase / NSY","","","","PF14108","PTHR34543 PTHR34543:SF1","abscisic acid (aba)-deficient 4","gene"
"43","Manes.02G080600.v8.1","brown","Manes.02G080600","PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343","sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis","UTP:glucose-1-phosphate uridylyltransferase activity; UDP-glucose metabolic process; metabolic process; uridylyltransferase activity","carb","(1 of 3) K00963 - UTP--glucose-1-phosphate uridylyltransferase (UGP2; galU; galF)","GO:0003983 GO:0006011 GO:0008152 GO:0070569","","K00963","PF01704","PTHR11952 PTHR11952:SF13","UDP-glucose pyrophosphorylase 2","gene"
"44","Manes.02G081700.v8.1","grey","Manes.02G081700","CAROTENOID-PWY; PWY-6475","superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants)","biosynthetic process; transferase activity","carot","(1 of 3) K02291 - phytoene synthase (crtB)","GO:0009058 GO:0016740","KOG1459","K02291","PF00494","PTHR31480 PTHR31480:SF2","PHYTOENE SYNTHASE","gene"
"45","Manes.02G082800.v8.1","black","Manes.02G082800","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","carb","(1 of 1) PTHR12526//PTHR12526:SF392 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED","GO:0004373","","K00703","PF00534 PF08323","PTHR12526 PTHR12526:SF392","","gene"
"46","Manes.02G086900.v8.1","turquoise","Manes.02G086900","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","acyltransferase activity, acyl groups converted into alkyl on transfer","carb","(1 of 4) 2.3.3.1//2.3.3.16 - Citrate (Si)-synthase / Citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO->acetyl-CoA) // Citrate synthase (unknown stereospecificity) / Oxaloacetate transacetase","GO:0046912","","K01647","PF00285","PTHR11739 PTHR11739:SF4","citrate synthase 2","gene"
"47","Manes.02G090600.v8.1","turquoise","Manes.02G090600","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation","","carb","(1 of 2) KOG1794 - N-Acetylglucosamine kinase","","KOG1794","","PF01869","PTHR12862 PTHR12862:SF6","Actin-like ATPase superfamily protein","gene"
"48","Manes.02G093200.v8.1","grey","Manes.02G093200","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","tricarboxylic acid cycle; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors; electron transport chain; flavin adenine dinucleotide binding","carb","(1 of 2) K00234 - succinate dehydrogenase (ubiquinone) flavoprotein subunit (SDHA; SDH1)","GO:0006099 GO:0016491 GO:0016627 GO:0022900 GO:0050660 GO:0055114","","K00234","PF00890 PF02910","PTHR11632 PTHR11632:SF54","succinate dehydrogenase 1-1","gene"
"49","Manes.02G101600.v8.1","blue","Manes.02G101600","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","carb","(1 of 3) PTHR11627//PTHR11627:SF15 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE 2; CHLOROPLASTIC-RELATED","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF15","fructose-bisphosphate aldolase 2","gene"
