"Abbreviation","Best-hit-arabi-defline","bicor","class","colors","cor_direction","Description","gene_id","gene_metabolite","GO","GODescription","interaction_class","name","Pathways","Pathways_Desc","selected","shared name","source_class","sourceNode","target_class","targetNode"
"","",,"NA","purple","","(1 of 5) PTHR24055//PTHR24055:SF211 - MITOGEN-ACTIVATED PROTEIN KINASE // MITOGEN-ACTIVATED PROTEIN KINASE 16-RELATED","Manes.15G128200.v8.1","gene","GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0016020 GO:0016773","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation; membrane; phosphotransferase activity","","Manes.15G128200","alcohol group as acceptor","","false","Manes.15G128200","","",,""
"","Protein of unknown function",,"NA","purple","","(1 of 2) PTHR31448//PTHR31448:SF9 - FAMILY NOT NAMED // F14D16.14","Manes.06G098700.v8.1","gene","","","","Manes.06G098700","","","false","Manes.06G098700","","",,""
"","",,"NA","purple","","","Manes.05G157800.v8.1","gene","","","","Manes.05G157800","","","false","Manes.05G157800","","",,""
"","",,"NA","purple","","(1 of 3) K02727 - 20S proteasome subunit alpha 7 (PSMA3)","Manes.07G090500.v8.1","gene","GO:0004175 GO:0004298 GO:0005839 GO:0006511 GO:0019773 GO:0051603","endopeptidase activity; threonine-type endopeptidase activity; proteasome core complex; ubiquitin-dependent protein catabolic process; proteasome core complex","","Manes.07G090500","alpha-subunit complex; proteolysis involved in protein catabolic process","","false","Manes.07G090500","","",,""
"","",,"NA","purple","","(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase","Manes.04G126400.v8.1","gene","GO:0004672 GO:0004713 GO:0005524 GO:0006468","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation","","Manes.04G126400","","","false","Manes.04G126400","","",,""
"","",,"NA","purple","","","Manes.14G103500.v8.1","gene","","","","Manes.14G103500","","","false","Manes.14G103500","","",,""
"","Protein of unknown function (DUF677)",,"NA","purple","","(1 of 9) PF05055 - Protein of unknown function (DUF677) (DUF677)","Manes.17G099100.v8.1","gene","","","","Manes.17G099100","","","false","Manes.17G099100","","",,""
"","MLP-like protein 31",,"NA","purple","","(1 of 49) PF00407 - Pathogenesis-related protein Bet v I family (Bet_v_1)","Manes.15G130600.v8.1","gene","GO:0006952 GO:0009607","defense response; response to biotic stimulus","","Manes.15G130600","","","false","Manes.15G130600","","",,""
"","Argonaute family protein",,"NA","purple","","(1 of 2) PTHR22891:SF4 - PROTEIN ARGONAUTE 2-RELATED","Manes.16G048683.v8.1","gene","GO:0003676 GO:0005515","nucleic acid binding; protein binding","","Manes.16G048683","","","false","Manes.16G048683","","",,""
"","Calcium-dependent lipid-binding (CaLB domain) family protein",,"NA","purple","","(1 of 108) PF00168 - C2 domain (C2)","Manes.15G064100.v8.1","gene","GO:0005515","protein binding","","Manes.15G064100","","","false","Manes.15G064100","","",,""
"","",,"NA","purple","","(1 of 7) 3.4.23.40 - Phytepsin","Manes.03G132100.v8.1","gene","GO:0004190 GO:0006508 GO:0006629","aspartic-type endopeptidase activity; proteolysis; lipid metabolic process","","Manes.03G132100","","","false","Manes.03G132100","","",,""
"","",,"NA","purple","","(1 of 1) PTHR10315//PTHR10315:SF45 - SEVEN IN ABSENTIA HOMOLOG // E3 UBIQUITIN-PROTEIN LIGASE","Manes.03G089500.v8.1","gene","GO:0005515 GO:0005634 GO:0006511 GO:0007275 GO:0008270","protein binding; nucleus; ubiquitin-dependent protein catabolic process; multicellular organism development; zinc ion binding","","Manes.03G089500","PWY-7511","protein ubiquitylation","false","Manes.03G089500","","",,""
"","20S proteasome beta subunit D1",,"NA","purple","","(1 of 3) K02734 - 20S proteasome subunit beta 4 (PSMB2)","Manes.03G175800.v8.1","gene","GO:0004298 GO:0005839 GO:0051603","threonine-type endopeptidase activity; proteasome core complex; proteolysis involved in protein catabolic process","","Manes.03G175800","","","false","Manes.03G175800","","",,""
"","",,"NA","purple","","(1 of 35) PTHR27002//PTHR27002:SF84 - FAMILY NOT NAMED // ATP BINDING / PROTEIN KINASE-RELATED","Manes.06G010675.v8.1","gene","GO:0004672 GO:0004674 GO:0004713 GO:0005515 GO:0005524 GO:0006468 GO:0048544","protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation; recognition of pollen","","Manes.06G010675","","","false","Manes.06G010675","","",,""
"","Acyl-CoA N-acyltransferases (NAT) superfamily protein",,"NA","purple","","(1 of 1) PF14542 - GCN5-related N-acetyl-transferase (Acetyltransf_CG)","Manes.02G164300.v8.1","gene","","","","Manes.02G164300","","","false","Manes.02G164300","","",,""
"","adenine phosphoribosyltransferase 5",,"NA","purple","","(1 of 7) K00759 - adenine phosphoribosyltransferase (APRT; apt)","Manes.11G057500.v8.1","gene","GO:0009116","nucleoside metabolic process; adenine phosphoribosyltransferase activity; cytoplasm; adenine salvage","","Manes.11G057500","","","false","Manes.11G057500","","",,""
"","",,"NA","purple","","(1 of 1) PTHR31375:SF13 - PECTIN LYASE-LIKE PROTEIN","Manes.08G108800.v8.1","gene","","","","Manes.08G108800","PWY-1081","homogalacturonan degradation","false","Manes.08G108800","","",,""
"","CBL-interacting protein kinase 4",,"NA","purple","","(1 of 2) PTHR24343//PTHR24343:SF102 - SERINE/THREONINE KINASE // CBL-INTERACTING SERINE/THREONINE-PROTEIN KINASE 7","Manes.15G035200.v8.1","gene","GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0007165","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation; signal transduction","","Manes.15G035200","","","false","Manes.15G035200","","",,""
"","pectin methylesterase inhibitor 1",,"NA","purple","","(1 of 2) PTHR31080:SF2 - F23N19.14-RELATED","Manes.02G034700.v8.1","gene","GO:0004857","enzyme inhibitor activity","","Manes.02G034700","PWY-1081","homogalacturonan degradation","false","Manes.02G034700","","",,""
"","RNI-like superfamily protein",,"NA","purple","","(1 of 166) PF00646 - F-box domain (F-box)","Manes.17G081800.v8.1","gene","GO:0005515","protein binding","","Manes.17G081800","","","false","Manes.17G081800","","",,""
"","",,"NA","purple","","(1 of 2) PTHR31062:SF48 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 6-RELATED","Manes.12G118804.v8.1","gene","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","hydrolase activity","","Manes.12G118804","hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast","","false","Manes.12G118804","","",,""
"","Protein of unknown function (DUF3741)",,"NA","purple","","(1 of 9) PTHR21726//PTHR21726:SF30 - PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P  DOWN SYNDROME CRITICAL REGION PROTEIN 5 -RELATED // PHOSPHATIDYLINOSITOL N-ACETYGLUCOSAMINLYTRANSFERASE SUBUNIT P-LIKE PROTEIN","Manes.02G019700.v8.1","gene","","","","Manes.02G019700","","","false","Manes.02G019700","","",,""
"","",,"NA","purple","","(1 of 1) PTHR23023//PTHR23023:SF98 - DIMETHYLANILINE MONOOXYGENASE // SUBFAMILY NOT NAMED","Manes.04G064632.v8.1","gene","GO:0004499 GO:0050660 GO:0050661 GO:0055114","N","","Manes.04G064632","N-dimethylaniline monooxygenase activity; flavin adenine dinucleotide binding; NADP binding","","false","Manes.04G064632","","",,""
"","nitrate transporter 1:2",,"NA","purple","","(1 of 5) PTHR11654//PTHR11654:SF98 - OLIGOPEPTIDE TRANSPORTER-RELATED // PROTEIN NRT1/ PTR FAMILY 4.5-RELATED","Manes.01G190700.v8.1","gene","GO:0005215 GO:0006810 GO:0016020","transporter activity; transport; membrane","","Manes.01G190700","","","false","Manes.01G190700","","",,""
"","Tetratricopeptide repeat (TPR)-like superfamily protein",,"NA","purple","","(1 of 4) PTHR26312//PTHR26312:SF75 - FAMILY NOT NAMED // F18B13.21 PROTEIN-RELATED","Manes.14G133300.v8.1","gene","GO:0005515","protein binding","","Manes.14G133300","","","false","Manes.14G133300","","",,""
"","Pectin lyase-like superfamily protein",,"NA","purple","","(1 of 2) PTHR31375:SF46 - PECTIN LYASE-LIKE PROTEIN","Manes.13G028600.v8.1","gene","GO:0004650 GO:0005975","polygalacturonase activity; carbohydrate metabolic process","","Manes.13G028600","PWY-1081","homogalacturonan degradation","false","Manes.13G028600","","",,""
"","histone H2A protein 9",,"NA","purple","","(1 of 19) K11251 - histone H2A (H2A)","Manes.11G049100.v8.1","gene","GO:0000786 GO:0003677 GO:0005634","nucleosome; DNA binding; nucleus","","Manes.11G049100","","","false","Manes.11G049100","","",,""
"","NAC domain containing protein 52",,"NA","purple","","(1 of 1) PTHR31989:SF29 - F18K10.6 PROTEIN-RELATED","Manes.10G052301.v8.1","gene","GO:0003677 GO:0006355","DNA binding; regulation of DNA-templated transcription","","Manes.10G052301","","","false","Manes.10G052301","","",,""
"","Galactose oxidase/kelch repeat superfamily protein",,"NA","purple","","(1 of 1) PTHR24412//PTHR24412:SF213 - FAMILY NOT NAMED // F-BOX/KELCH-REPEAT PROTEIN OR23","Manes.05G087000.v8.1","gene","GO:0005515","protein binding","","Manes.05G087000","","","false","Manes.05G087000","","",,""
"","pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",,"carb","purple","","(1 of 1) PTHR11670//PTHR11670:SF40 - ACONITASE // ACONITATE HYDRATASE 1","Manes.02G110200.v8.1","gene","GO:0008152","metabolic process","","Manes.02G110200","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants)","false","Manes.02G110200","","",,""
"","non-yellowing 1",,"NA","purple","","(1 of 2) PTHR31750:SF4 - PROTEIN STAY-GREEN 1; CHLOROPLASTIC-RELATED","Manes.02G030000.v8.1","gene","","","","Manes.02G030000","","","false","Manes.02G030000","","",,""
"","thiaminC",,"NA","purple","","(1 of 2) 4.1.99.17 - Phosphomethylpyrimidine synthase","Manes.01G164200.v8.1","gene","GO:0009228 GO:0051536","thiamine biosynthetic process; iron-sulfur cluster binding","","Manes.01G164200","PWY-6890","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis","false","Manes.01G164200","","",,""
"","(1 of 2) PTHR31414:SF1 - TRANSMEMBRANE PROTEIN DDB_G0292058",,"NA","purple","","","Manes.14G120700.v8.1","gene","","","","Manes.14G120700","","","false","Manes.14G120700","","",,""
"","Tetratricopeptide repeat (TPR)-like superfamily protein",,"NA","purple","","(1 of 17) 2.4.1.255 - Protein O-GlcNAc transferase / OGTase","Manes.18G099900.v8.1","gene","GO:0005515","protein binding","","Manes.18G099900","PWY-7437","protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation","false","Manes.18G099900","","",,""
"","kinesin 1",,"NA","purple","","(1 of 1) PTHR24115:SF464 - KINESIN-1-RELATED","Manes.16G017100.v8.1","gene","GO:0003777 GO:0005524 GO:0005871 GO:0007018 GO:0008017","microtubule motor activity; ATP binding; kinesin complex; microtubule-based movement; microtubule binding","","Manes.16G017100","","","false","Manes.16G017100","","",,""
"","SKU5 similar 1",,"NA","purple","","(1 of 2) PTHR11709//PTHR11709:SF123 - MULTI-COPPER OXIDASE // MONOCOPPER OXIDASE-LIKE PROTEIN SKS1-RELATED","Manes.14G035200.v8.1","gene","GO:0005507 GO:0016491 GO:0055114","copper ion binding; oxidoreductase activity","","Manes.14G035200","","","false","Manes.14G035200","","",,""
"","nuclear factor Y",,"NA","purple","","(1 of 3) PTHR11064//PTHR11064:SF27 - CCAAT-BINDING TRANSCRIPTION FACTOR-RELATED // NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-2-RELATED","Manes.13G061801.v8.1","gene","","","","Manes.13G061801","","","false","Manes.13G061801","","",,""
"","",,"NA","purple","","(1 of 38) K08235 - xyloglucan:xyloglucosyl transferase (E2.4.1.207)","Manes.11G151500.v8.1","gene","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","hydrolase activity","","Manes.11G151500","hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast","","false","Manes.11G151500","","",,""
"","",,"NA","purple","","(1 of 2) PTHR23070//PTHR23070:SF32 - BCS1 AAA-TYPE ATPASE // SUBFAMILY NOT NAMED","Manes.11G084300.v8.1","gene","GO:0005524","ATP binding","","Manes.11G084300","","","false","Manes.11G084300","","",,""
"","Mitochondrial transcription termination factor family protein",,"NA","purple","","(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1","Manes.10G066800.v8.1","gene","GO:0003690 GO:0005739 GO:0006355","double-stranded DNA binding; mitochondrion; regulation of DNA-templated transcription","","Manes.10G066800","","","false","Manes.10G066800","","",,""
"","",,"NA","purple","","(1 of 2) PTHR31956//PTHR31956:SF1 - FAMILY NOT NAMED // NON-SPECIFIC PHOSPHOLIPASE C3-RELATED","Manes.08G157900.v8.1","gene","GO:0016788","hydrolase activity","","Manes.08G157900","acting on ester bonds","","false","Manes.08G157900","","",,""
"","",,"NA","purple","","(1 of 2) PTHR22814//PTHR22814:SF94 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // SUBFAMILY NOT NAMED","Manes.08G069932.v8.1","gene","GO:0030001 GO:0046872","metal ion transport; metal ion binding","","Manes.08G069932","","","false","Manes.08G069932","","",,""
"","Calcium-dependent lipid-binding (CaLB domain) family protein",,"NA","purple","","(1 of 1) PTHR32246:SF15 - CALCIUM-DEPENDENT LIPID-BINDING (CALB DOMAIN) FAMILY PROTEIN","Manes.07G141400.v8.1","gene","GO:0005515","protein binding","","Manes.07G141400","","","false","Manes.07G141400","","",,""
"","",,"NA","purple","","(1 of 4) PF02798//PF14497 - Glutathione S-transferase; N-terminal domain (GST_N) // Glutathione S-transferase; C-terminal domain (GST_C_3)","Manes.04G124200.v8.1","gene","GO:0005515","protein binding","","Manes.04G124200","PWY-6842","glutathione-mediated detoxification II","false","Manes.04G124200","","",,""
"","nodulin MtN21 /EamA-like transporter family protein",,"NA","purple","","(1 of 62) PF00892 - EamA-like transporter family (EamA)","Manes.04G059500.v8.1","gene","GO:0016020 GO:0016021 GO:0022857","membrane; transmembrane transporter activity","","Manes.04G059500","","","false","Manes.04G059500","","",,""
"","FRIGIDA-like protein",,"NA","purple","","(1 of 3) PTHR31791:SF2 - FRIGIDA-LIKE PROTEIN 4A-RELATED","Manes.03G178500.v8.1","gene","","","","Manes.03G178500","","","false","Manes.03G178500","","",,""
"","tryptophan synthase beta type 2",,"NA","purple","","(1 of 1) 4.2.1.122//4.2.1.20 - Tryptophan synthase (indole-salvaging) / Tryptophan synthase beta-2 // Tryptophan synthase / Tryptophan synthetase","Manes.02G064500.v8.1","gene","GO:0000162 GO:0004834 GO:0030170","tryptophan biosynthetic process; tryptophan synthase activity; pyridoxal phosphate binding","","Manes.02G064500","TRPSYN-PWY","L-tryptophan biosynthesis","false","Manes.02G064500","","",,""
"","",,"NA","purple","","(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin)","Manes.02G057300.v8.1","gene","GO:0004672 GO:0004713 GO:0005524 GO:0006468","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation","","Manes.02G057300","","","false","Manes.02G057300","","",,""
"","",,"NA","purple","","","Manes.18G108700.v8.1","gene","","","","Manes.18G108700","","","false","Manes.18G108700","","",,""
"","P-loop containing nucleoside triphosphate hydrolases superfamily protein",,"NA","purple","","(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN","Manes.01G124900.v8.1","gene","","","","Manes.01G124900","","","false","Manes.01G124900","","",,""
"","protein kinase family protein / protein phosphatase 2C ( PP2C) family protein",,"NA","purple","","(1 of 1) PTHR23257:SF382 - PROTEIN KINASE AND PP2C-LIKE DOMAIN-CONTAINING PROTEIN","Manes.08G063732.v8.1","gene","GO:0003824 GO:0004672 GO:0004713 GO:0005524 GO:0006468","catalytic activity; protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation","","Manes.08G063732","","","false","Manes.08G063732","","",,""
"","copper-exporting ATPase / responsive-to-antagonist 1 / copper-transporting ATPase (RAN1)",,"NA","purple","","(1 of 5) 3.6.3.54 - Cu(+) exporting ATPase","Manes.03G074800.v8.1","gene","GO:0000166 GO:0005507 GO:0006812 GO:0016021 GO:0019829 GO:0030001 GO:0046872","nucleotide binding; copper ion binding; monoatomic cation transport; ATPase-coupled monoatomic cation transmembrane transporter activity; metal ion transport; metal ion binding","","Manes.03G074800","","","false","Manes.03G074800","","",,""
"","",,"NA","purple","","","Manes.01G085300.v8.1","gene","","","","Manes.01G085300","","","false","Manes.01G085300","","",,""
"","",,"NA","purple","","(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin)","Manes.01G093700.v8.1","gene","GO:0004672 GO:0004713 GO:0005524 GO:0006468","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation","","Manes.01G093700","","","false","Manes.01G093700","","",,""
"","CLAVATA3/ESR-RELATED 14",,"NA","purple","","","Manes.01G064900.v8.1","gene","","","","Manes.01G064900","","","false","Manes.01G064900","","",,""
"","",,"NA","purple","","(1 of 2) PTHR23070//PTHR23070:SF32 - BCS1 AAA-TYPE ATPASE // SUBFAMILY NOT NAMED","Manes.11G088451.v8.1","gene","GO:0005524","ATP binding","","Manes.11G088451","","","false","Manes.11G088451","","",,""
"","",,"NA","purple","","","Manes.10G142050.v8.1","gene","","","","Manes.10G142050","","","false","Manes.10G142050","","",,""
"","",,"NA","purple","","(1 of 59) PF13962 - Domain of unknown function (PGG)","Manes.05G056701.v8.1","gene","","","","Manes.05G056701","","","false","Manes.05G056701","","",,""
"","WRKY DNA-binding protein 48",,"NA","purple","","(1 of 2) PTHR31221//PTHR31221:SF13 - FAMILY NOT NAMED // WRKY TRANSCRIPTION FACTOR 48-RELATED","Manes.03G206400.v8.1","gene","GO:0003700 GO:0006355 GO:0043565","DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding","","Manes.03G206400","","","false","Manes.03G206400","","",,""
"","copper transporter 1",,"NA","purple","","(1 of 7) K14686 - solute carrier family 31 (copper transporter); member 1 (SLC31A1; CTR1)","Manes.02G125400.v8.1","gene","GO:0005375 GO:0016021 GO:0035434","copper ion transmembrane transporter activity; copper ion transmembrane transport","","Manes.02G125400","","","false","Manes.02G125400","","",,""
"","",,"NA","purple","","(1 of 6) PTHR24361:SF380 - MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 17-RELATED","Manes.17G029024.v8.1","gene","GO:0004672 GO:0004713 GO:0005524 GO:0006468","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation","","Manes.17G029024","","","false","Manes.17G029024","","",,""
"","A20/AN1-like zinc finger family protein",,"NA","purple","","(1 of 14) PTHR10634 - AN1-TYPE ZINC FINGER PROTEIN","Manes.09G056602.v8.1","gene","GO:0003677 GO:0008270","DNA binding; zinc ion binding","","Manes.09G056602","","","false","Manes.09G056602","","",,""
"","Calcium-binding EF-hand family protein",,"NA","purple","","(1 of 44) K13448 - calcium-binding protein CML (CML)","Manes.09G009100.v8.1","gene","GO:0005509","calcium ion binding","","Manes.09G009100","","","false","Manes.09G009100","","",,""
"","",,"NA","purple","","","Manes.01G044200.v8.1","gene","","","","Manes.01G044200","","","false","Manes.01G044200","","",,""
"","Regulator of Vps4 activity in the MVB pathway protein",,"NA","purple","","(1 of 2) PTHR12161:SF21 - REGULATOR OF VPS4 ACTIVITY IN THE MVB PATHWAY PROTEIN","Manes.18G097500.v8.1","gene","","","","Manes.18G097500","","","false","Manes.18G097500","","",,""
"","",,"NA","purple","","(1 of 7) K03809 - NAD(P)H dehydrogenase (quinone) (wrbA)","Manes.17G031200.v8.1","gene","GO:0010181 GO:0016491 GO:0045892","FMN binding; oxidoreductase activity; negative regulation of DNA-templated transcription","","Manes.17G031200","PWY-7279","aerobic respiration II (cytochrome c) (yeast)","false","Manes.17G031200","","",,""
"","glutathione S-transferase TAU 19",,"NA","purple","","(1 of 4) PF02798//PF14497 - Glutathione S-transferase; N-terminal domain (GST_N) // Glutathione S-transferase; C-terminal domain (GST_C_3)","Manes.15G101100.v8.1","gene","GO:0005515","protein binding","","Manes.15G101100","PWY-6842","glutathione-mediated detoxification II","false","Manes.15G101100","","",,""
"","calmodulin-like 41",,"NA","purple","","(1 of 4) PTHR10891//PTHR10891:SF568 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // CALCIUM-BINDING PROTEIN CML41-RELATED","Manes.13G135300.v8.1","gene","GO:0005509","calcium ion binding","","Manes.13G135300","","","false","Manes.13G135300","","",,""
"","AMP-dependent synthetase and ligase family protein",,"NA","purple","","(1 of 1) PTHR24096//PTHR24096:SF219 - FAMILY NOT NAMED // LONG CHAIN ACYL-COA SYNTHETASE 8","Manes.13G060600.v8.1","gene","GO:0003824 GO:0008152","catalytic activity; metabolic process","","Manes.13G060600","PWY-6733; PWY-1121; PWY-321; PWY-5136; PWY-561; PWY-5885; PWY-5989; PWY-5147; PWY-5971; PWY-5156; PWY-5143; PWY66-389; PWY-6803","sporopollenin precursors biosynthesis; suberin monomers biosynthesis; cutin biosynthesis; fatty acid &beta;-oxidation II (peroxisome); superpathway of glyoxylate cycle and fatty acid degradation; wax esters biosynthesis II; stearate biosynthesis II (bacteria and plants); oleate biosynthesis I (plants); palmitate biosynthesis II (bacteria and plants); superpathway of fatty acid biosynthesis II (plant); long-chain fatty acid activation; phytol degradation; phosphatidylcholine acyl editing","false","Manes.13G060600","","",,""
"","calmodulin-like 41",,"NA","purple","","(1 of 4) PTHR10891:SF568 - CALCIUM-BINDING PROTEIN CML41-RELATED","Manes.12G099300.v8.1","gene","GO:0005509","calcium ion binding","","Manes.12G099300","","","false","Manes.12G099300","","",,""
"","Major facilitator superfamily protein",,"NA","purple","","(1 of 3) PTHR21576:SF17 - MAJOR FACILITATOR FAMILY PROTEIN","Manes.11G095500.v8.1","gene","","","","Manes.11G095500","","","false","Manes.11G095500","","",,""
"","thymidylate synthase 1",,"NA","purple","","(1 of 2) K13998 - dihydrofolate reductase / thymidylate synthase (DHFR-TS)","Manes.11G084400.v8.1","gene","GO:0004146 GO:0004799 GO:0006231 GO:0006545 GO:0006730 GO:0009165 GO:0050661 GO:0055114","dihydrofolate reductase activity; thymidylate synthase activity; dTMP biosynthetic process; glycine biosynthetic process; one-carbon metabolic process; nucleotide biosynthetic process; NADP binding","","Manes.11G084400","PWY-6614; PWY-6612; PWY-7200; PWY-7199; PWY-3841; PWY-7211; PWY-7184; PWY-7210","tetrahydrofolate biosynthesis; superpathway of tetrahydrofolate biosynthesis; superpathway of pyrimidine deoxyribonucleoside salvage; pyrimidine deoxyribonucleosides salvage; folate transformations II; superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis; pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I; pyrimidine deoxyribonucleotides biosynthesis from CTP","false","Manes.11G084400","","",,""
"","",,"NA","purple","","(1 of 2) PTHR32227//PTHR32227:SF118 - FAMILY NOT NAMED // CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN","Manes.08G108000.v8.1","gene","GO:0004553 GO:0005975","hydrolase activity","","Manes.08G108000","hydrolyzing O-glycosyl compounds; carbohydrate metabolic process","","false","Manes.08G108000","","",,""
"","",,"NA","purple","","(1 of 21) PF01477 - PLAT/LH2 domain (PLAT)","Manes.04G114400.v8.1","gene","GO:0005515","protein binding","","Manes.04G114400","","","false","Manes.04G114400","","",,""
"","",,"NA","purple","","(1 of 74) PF00069//PF00560//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine Rich Repeat (LRR_1) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)","Manes.04G093900.v8.1","gene","GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468","protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation","","Manes.04G093900","","","false","Manes.04G093900","","",,""
