gene_id,locusName,Description,colors,class,gene_metabolite,GO,GODescription,Pathways,Pathways_Desc,Best-hit-arabi-defline
Manes.02G019700.v8.1,Manes.02G019700,(1 of 9) PTHR21726//PTHR21726:SF30 - PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P  DOWN SYNDROME CRITICAL REGION PROTEIN 5 -RELATED // PHOSPHATIDYLINOSITOL N-ACETYGLUCOSAMINLYTRANSFERASE SUBUNIT P-LIKE PROTEIN,purple,NA,gene,,,,,Protein of unknown function (DUF3741)
Manes.02G030000.v8.1,Manes.02G030000,(1 of 2) PTHR31750:SF4 - PROTEIN STAY-GREEN 1; CHLOROPLASTIC-RELATED,purple,NA,gene,,,,,non-yellowing 1
Manes.02G032685.v8.1,Manes.02G032685,,purple,NA,gene,,,,,
Manes.02G033500.v8.1,Manes.02G033500,(1 of 3) PTHR33593:SF2 - F5O11.5,purple,NA,gene,,,,,
Manes.02G034600.v8.1,Manes.02G034600,,purple,NA,gene,,,,,
Manes.02G034700.v8.1,Manes.02G034700,(1 of 2) PTHR31080:SF2 - F23N19.14-RELATED,purple,NA,gene,GO:0004857,enzyme inhibitor activity,PWY-1081,homogalacturonan degradation,pectin methylesterase inhibitor 1
Manes.02G034900.v8.1,Manes.02G034900,(1 of 4) PTHR31080:SF8 - F23N19.12,purple,NA,gene,GO:0004857,enzyme inhibitor activity,PWY-1081,homogalacturonan degradation,
Manes.02G035300.v8.1,Manes.02G035300,(1 of 2) PTHR12000//PTHR12000:SF16 - HEMOGLOBINASE FAMILY MEMBER // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0006508 GO:0008233,proteolysis; peptidase activity,,,beta vacuolar processing enzyme
Manes.02G044200.v8.1,Manes.02G044200,(1 of 2) PTHR23291:SF34 - BAX INHIBITOR 1,purple,NA,gene,,,,,BAX inhibitor 1
Manes.02G056900.v8.1,Manes.02G056900,,purple,NA,gene,,,,,
Manes.02G057200.v8.1,Manes.02G057200,,purple,NA,gene,,,,,
Manes.02G057300.v8.1,Manes.02G057300,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),purple,NA,gene,GO:0004672 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,,,
Manes.02G058400.v8.1,Manes.02G058400,(1 of 4) PTHR13593//PTHR13593:SF46 - UNCHARACTERIZED // F21F23.12 PROTEIN,purple,NA,gene,,,,,PLC-like phosphodiesterases superfamily protein
Manes.02G064500.v8.1,Manes.02G064500,(1 of 1) 4.2.1.122//4.2.1.20 - Tryptophan synthase (indole-salvaging) / Tryptophan synthase beta-2 // Tryptophan synthase / Tryptophan synthetase,purple,NA,gene,GO:0000162 GO:0004834 GO:0030170,tryptophan biosynthetic process; tryptophan synthase activity; pyridoxal phosphate binding,TRPSYN-PWY,L-tryptophan biosynthesis,tryptophan synthase beta type 2
Manes.02G064600.v8.1,Manes.02G064600,(1 of 1) PTHR31050//PTHR31050:SF0 - FAMILY NOT NAMED // T25B24.5 PROTEIN,purple,NA,gene,,,,,Protein of unknown function (DUF1262)
Manes.02G068800.v8.1,Manes.02G068800,(1 of 4) PTHR12565//PTHR12565:SF128 - STEROL REGULATORY ELEMENT-BINDING PROTEIN // TRANSCRIPTION FACTOR BHLH75,purple,NA,gene,GO:0046983,protein dimerization activity,,,
Manes.02G069700.v8.1,Manes.02G069700,(1 of 2) PTHR17224:SF3 - CHLOROPLASTIC GROUP IIB INTRON SPLICING FACILITATOR CRS2-A; CHLOROPLASTIC-RELATED,purple,NA,gene,GO:0004045,aminoacyl-tRNA hydrolase activity,,,Peptidyl-tRNA hydrolase family protein
Manes.02G070700.v8.1,Manes.02G070700,(1 of 2) 3.5.1.94 - Gamma-glutamyl-gamma-aminobutyrate hydrolase / Gamma-glutamyl-GABA hydrolase,purple,NA,gene,,,,,Class I glutamine amidotransferase-like superfamily protein
Manes.02G110200.v8.1,Manes.02G110200,(1 of 1) PTHR11670//PTHR11670:SF40 - ACONITASE // ACONITATE HYDRATASE 1,purple,carb,gene,GO:0008152,metabolic process,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation,aconitase 1
Manes.02G111300.v8.1,Manes.02G111300,(1 of 2) PTHR11106//PTHR11106:SF58 - GANGLIOSIDE INDUCED DIFFERENTIATION ASSOCIATED PROTEIN 2-RELATED // SUBFAMILY NOT NAMED,purple,NA,gene,,,,,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
Manes.02G118300.v8.1,Manes.02G118300,(1 of 3) PTHR19139//PTHR19139:SF30 - AQUAPORIN TRANSPORTER // AQUAPORIN TIP3-1-RELATED,purple,NA,gene,GO:0005215 GO:0006810 GO:0016020,transporter activity; transport; membrane,,,beta-tonoplast intrinsic protein
Manes.02G125400.v8.1,Manes.02G125400,(1 of 7) K14686 - solute carrier family 31 (copper transporter); member 1 (SLC31A1; CTR1),purple,NA,gene,GO:0005375 GO:0016021 GO:0035434,copper ion transmembrane transporter activity; copper ion transmembrane transport,,,copper transporter 1
Manes.02G134700.v8.1,Manes.02G134700,(1 of 1) PTHR11413//PTHR11413:SF50 - CYSTATIN FAMILY MEMBER // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0004869,cysteine-type endopeptidase inhibitor activity,,,cystatin A
Manes.02G157200.v8.1,Manes.02G157200,,purple,NA,gene,,,,,
Manes.02G160000.v8.1,Manes.02G160000,(1 of 2) K08866 - serine/threonine-protein kinase TTK/MPS1 (TTK; MPS1),purple,NA,gene,GO:0004672 GO:0004712 GO:0004713 GO:0005524 GO:0006468 GO:0007093 GO:0051304,protein kinase activity; protein serine/threonine/tyrosine kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation; mitotic cell cycle checkpoint signaling; chromosome separation,,,putative protein kinase 1
Manes.02G164300.v8.1,Manes.02G164300,(1 of 1) PF14542 - GCN5-related N-acetyl-transferase (Acetyltransf_CG),purple,NA,gene,,,,,Acyl-CoA N-acyltransferases (NAT) superfamily protein
Manes.02G169400.v8.1,Manes.02G169400,(1 of 2) PTHR10891//PTHR10891:SF530 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005509,calcium ion binding,,,Calcium-binding EF-hand family protein
Manes.02G177900.v8.1,Manes.02G177900,(1 of 2) K01590 - histidine decarboxylase (hdc; HDC),purple,NA,gene,GO:0016831 GO:0019752 GO:0030170,carboxy-lyase activity; carboxylic acid metabolic process; pyridoxal phosphate binding,,,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Manes.02G187600.v8.1,Manes.02G187600,(1 of 2) PTHR12161//PTHR12161:SF21 - UNCHARACTERIZED DUF292 // REGULATOR OF VPS4 ACTIVITY IN THE MVB PATHWAY PROTEIN,purple,NA,gene,,,,,Regulator of Vps4 activity in the MVB pathway protein
Manes.02G202900.v8.1,Manes.02G202900,(1 of 8) 1.6.5.9 - NADH:ubiquinone reductase (non-electrogenic) / Ubiquinone reductase,purple,NA,gene,GO:0016491 GO:0055114,oxidoreductase activity,PWY-7279,aerobic respiration II (cytochrome c) (yeast),FAD/NAD(P)-binding oxidoreductase family protein
Manes.03G020500.v8.1,Manes.03G020500,(1 of 2) PTHR10015//PTHR10015:SF187 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR C-1,purple,NA,gene,GO:0003700 GO:0005634 GO:0006355 GO:0043565,DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding,,,heat shock transcription factor  C1
Manes.03G021100.v8.1,Manes.03G021100,(1 of 32) PF00083 - Sugar (and other) transporter (Sugar_tr),purple,NA,gene,GO:0016020 GO:0016021 GO:0022857 GO:0022891 GO:0055085,membrane; transmembrane transporter activity; transmembrane transport,,,
Manes.03G022200.v8.1,Manes.03G022200,(1 of 2) PTHR34282//PTHR34282:SF2 - FAMILY NOT NAMED // GENOMIC DNA; CHROMOSOME 3; P1 CLONE:MSD24,purple,NA,gene,,,,,(1 of 1) PTHR34282:SF2 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE:MSD24
Manes.03G045200.v8.1,Manes.03G045200,(1 of 5) K11975 - E3 ubiquitin-protein ligase RNF144 [EC:6.3.2.19] (RNF144),purple,NA,gene,GO:0004842 GO:0005515 GO:0008270 GO:0016567,ubiquitin-protein transferase activity; protein binding; zinc ion binding; protein ubiquitination,,,RING/U-box superfamily protein
Manes.03G074800.v8.1,Manes.03G074800,(1 of 5) 3.6.3.54 - Cu(+) exporting ATPase,purple,NA,gene,GO:0000166 GO:0005507 GO:0006812 GO:0016021 GO:0019829 GO:0030001 GO:0046872,nucleotide binding; copper ion binding; monoatomic cation transport; ATPase-coupled monoatomic cation transmembrane transporter activity; metal ion transport; metal ion binding,,,copper-exporting ATPase / responsive-to-antagonist 1 / copper-transporting ATPase (RAN1)
Manes.03G086600.v8.1,Manes.03G086600,(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase,purple,NA,gene,GO:0004672 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,,,Protein kinase superfamily protein
Manes.03G089500.v8.1,Manes.03G089500,(1 of 1) PTHR10315//PTHR10315:SF45 - SEVEN IN ABSENTIA HOMOLOG // E3 UBIQUITIN-PROTEIN LIGASE,purple,NA,gene,GO:0005515 GO:0005634 GO:0006511 GO:0007275 GO:0008270,protein binding; nucleus; ubiquitin-dependent protein catabolic process; multicellular organism development; zinc ion binding,PWY-7511,protein ubiquitylation,
Manes.03G092500.v8.1,Manes.03G092500,(1 of 1) PTHR32285:SF58 - PROTEIN TRICHOME BIREFRINGENCE-LIKE 41,purple,NA,gene,,,,,TRICHOME BIREFRINGENCE-LIKE 41
Manes.03G111200.v8.1,Manes.03G111200,(1 of 1) PTHR11926//PTHR11926:SF366 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0008152 GO:0016758,metabolic process; hexosyltransferase activity,,,
Manes.03G115300.v8.1,Manes.03G115300,(1 of 49) PF00407 - Pathogenesis-related protein Bet v I family (Bet_v_1),purple,NA,gene,GO:0006952 GO:0009607,defense response; response to biotic stimulus,,,
Manes.03G132100.v8.1,Manes.03G132100,(1 of 7) 3.4.23.40 - Phytepsin,purple,NA,gene,GO:0004190 GO:0006508 GO:0006629,aspartic-type endopeptidase activity; proteolysis; lipid metabolic process,,,
Manes.03G150800.v8.1,Manes.03G150800,(1 of 44) PF03140 - Plant protein of unknown function (DUF247),purple,NA,gene,,,,,
Manes.03G158300.v8.1,Manes.03G158300,(1 of 4) PTHR31734:SF6 - AUXIN-RESPONSIVE PROTEIN IAA10-RELATED,purple,NA,gene,GO:0005634 GO:0006355,nucleus; regulation of DNA-templated transcription,,,auxin-induced protein 13
Manes.03G173700.v8.1,Manes.03G173700,(1 of 1) PTHR33428//PTHR33428:SF1 - FAMILY NOT NAMED // CHLOROPHYLLASE-2; CHLOROPLASTIC,purple,NA,gene,,,PWY-6927,chlorophyll <i>a</i> degradation II,chlorophyllase 2
Manes.03G175800.v8.1,Manes.03G175800,(1 of 3) K02734 - 20S proteasome subunit beta 4 (PSMB2),purple,NA,gene,GO:0004298 GO:0005839 GO:0051603,threonine-type endopeptidase activity; proteasome core complex; proteolysis involved in protein catabolic process,,,20S proteasome beta subunit D1
Manes.03G178500.v8.1,Manes.03G178500,(1 of 3) PTHR31791:SF2 - FRIGIDA-LIKE PROTEIN 4A-RELATED,purple,NA,gene,,,,,FRIGIDA-like protein
Manes.03G194800.v8.1,Manes.03G194800,(1 of 5) PTHR33136:SF5 - PROTEIN RALF-LIKE 1-RELATED,purple,NA,gene,,,,,ralf-like 33
Manes.03G199300.v8.1,Manes.03G199300,(1 of 47) K09286 - EREBP-like factor (EREBP),purple,NA,gene,GO:0003700 GO:0006355,DNA-binding transcription factor activity; regulation of DNA-templated transcription,,,ethylene-responsive element binding protein
Manes.03G206400.v8.1,Manes.03G206400,(1 of 2) PTHR31221//PTHR31221:SF13 - FAMILY NOT NAMED // WRKY TRANSCRIPTION FACTOR 48-RELATED,purple,NA,gene,GO:0003700 GO:0006355 GO:0043565,DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding,,,WRKY DNA-binding protein 48
Manes.03G207600.v8.1,Manes.03G207600,(1 of 5) PF13668 - Ferritin-like domain (Ferritin_2),purple,NA,gene,,,,,(1 of 2) PF13668 - Ferritin-like domain (Ferritin_2)
Manes.04G033900.v8.1,Manes.04G033900,(1 of 45) PF02701 - Dof domain; zinc finger (zf-Dof),purple,NA,gene,GO:0003677 GO:0006355,DNA binding; regulation of DNA-templated transcription,,,Dof-type zinc finger DNA-binding family protein
Manes.04G034100.v8.1,Manes.04G034100,(1 of 8) PF05056 - Protein of unknown function (DUF674) (DUF674),purple,NA,gene,,,,,
Manes.04G059500.v8.1,Manes.04G059500,(1 of 62) PF00892 - EamA-like transporter family (EamA),purple,NA,gene,GO:0016020 GO:0016021 GO:0022857,membrane; transmembrane transporter activity,,,nodulin MtN21 /EamA-like transporter family protein
Manes.04G064632.v8.1,Manes.04G064632,(1 of 1) PTHR23023//PTHR23023:SF98 - DIMETHYLANILINE MONOOXYGENASE // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0004499 GO:0050660 GO:0050661 GO:0055114,N,N-dimethylaniline monooxygenase activity; flavin adenine dinucleotide binding; NADP binding,,,
Manes.04G074700.v8.1,Manes.04G074700,(1 of 4) PF06911 - Senescence-associated protein (Senescence),purple,NA,gene,,,,,
Manes.04G093900.v8.1,Manes.04G093900,(1 of 74) PF00069//PF00560//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine Rich Repeat (LRR_1) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8),purple,NA,gene,GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468,protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation,,,
Manes.04G094400.v8.1,Manes.04G094400,(1 of 2) PF00098//PF06839 - Zinc knuckle (zf-CCHC) // GRF zinc finger (zf-GRF),purple,NA,gene,GO:0003676 GO:0008270,nucleic acid binding; zinc ion binding,,,GRF zinc finger / Zinc knuckle protein
Manes.04G103400.v8.1,Manes.04G103400,(1 of 1) PTHR22849//PTHR22849:SF25 - WDSAM1 PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0004842 GO:0005515 GO:0016567,ubiquitin-protein transferase activity; protein binding; protein ubiquitination,PWY-7511,protein ubiquitylation,
Manes.04G114400.v8.1,Manes.04G114400,(1 of 21) PF01477 - PLAT/LH2 domain (PLAT),purple,NA,gene,GO:0005515,protein binding,,,
Manes.04G122700.v8.1,Manes.04G122700,(1 of 3) K17302 - coatomer; subunit beta' (COPB2; SEC27),purple,NA,gene,GO:0005515,protein binding,,,
Manes.04G124200.v8.1,Manes.04G124200,(1 of 4) PF02798//PF14497 - Glutathione S-transferase; N-terminal domain (GST_N) // Glutathione S-transferase; C-terminal domain (GST_C_3),purple,NA,gene,GO:0005515,protein binding,PWY-6842,glutathione-mediated detoxification II,
Manes.04G124300.v8.1,Manes.04G124300,(1 of 14) PTHR11260//PTHR11260:SF317 - GLUTATHIONE S-TRANSFERASE; GST; SUPERFAMILY; GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005515,protein binding,PWY-6842,glutathione-mediated detoxification II,
Manes.04G124400.v8.1,Manes.04G124400,(1 of 3) PTHR12161//PTHR12161:SF14 - UNCHARACTERIZED DUF292 // REGULATOR OF VPS4,purple,NA,gene,,,,,Regulator of Vps4 activity in the MVB pathway protein
Manes.04G126400.v8.1,Manes.04G126400,(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase,purple,NA,gene,GO:0004672 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,,,
Manes.04G141400.v8.1,Manes.04G141400,(1 of 18) PF12023 - Domain of unknown function (DUF3511) (DUF3511),purple,NA,gene,,,,,Protein of unknown function (DUF3511)
Manes.04G149500.v8.1,Manes.04G149500,(1 of 2) PTHR11200//PTHR11200:SF122 - INOSITOL 5-PHOSPHATASE // PHOSPHOINOSITIDE PHOSPHATASE SAC3-RELATED,purple,NA,gene,GO:0007033 GO:0036092 GO:0042578,vacuole organization; phosphatidylinositol-3-phosphate biosynthetic process; phosphoric ester hydrolase activity,,,Phosphoinositide phosphatase family protein
Manes.04G155400.v8.1,Manes.04G155400,(1 of 2) PTHR11413//PTHR11413:SF55 - CYSTATIN FAMILY MEMBER // CYSTEINE PROTEINASE INHIBITOR 6,purple,NA,gene,GO:0004869,cysteine-type endopeptidase inhibitor activity,,,cystatin B
Manes.05G056701.v8.1,Manes.05G056701,(1 of 59) PF13962 - Domain of unknown function (PGG),purple,NA,gene,,,,,
Manes.05G064500.v8.1,Manes.05G064500,,purple,NA,gene,,,,,
Manes.05G064600.v8.1,Manes.05G064600,(1 of 4) PTHR22814:SF75 - HEAVY METAL TRANSPORT/DETOXIFICATION DOMAIN-CONTAINING PROTEIN,purple,NA,gene,GO:0030001 GO:0046872,metal ion transport; metal ion binding,,,
Manes.05G080800.v8.1,Manes.05G080800,(1 of 4) K06890 - uncharacterized protein (K06890),purple,NA,gene,,,,,Bax inhibitor-1 family protein
Manes.05G087000.v8.1,Manes.05G087000,(1 of 1) PTHR24412//PTHR24412:SF213 - FAMILY NOT NAMED // F-BOX/KELCH-REPEAT PROTEIN OR23,purple,NA,gene,GO:0005515,protein binding,,,Galactose oxidase/kelch repeat superfamily protein
Manes.05G113300.v8.1,Manes.05G113300,(1 of 1) PTHR22884//PTHR22884:SF295 - SET DOMAIN PROTEINS // HISTONE-LYSINE N-METHYLTRANSFERASE SETD1A,purple,NA,gene,GO:0005515,protein binding,,,SET domain protein 25
Manes.05G136400.v8.1,Manes.05G136400,(1 of 15) PF04759 - Protein of unknown function; DUF617 (DUF617),purple,NA,gene,,,,,Protein of unknown function, DUF617
Manes.05G140400.v8.1,Manes.05G140400,(1 of 4) PF00257 - Dehydrin (Dehydrin),purple,NA,gene,GO:0006950 GO:0009415,response to stress; response to water,,,cold-regulated 47
Manes.05G153800.v8.1,Manes.05G153800,(1 of 1) PF14595 - Thioredoxin (Thioredoxin_9),purple,NA,gene,GO:0006662 GO:0015035 GO:0045454,glycerol ether metabolic process; protein-disulfide reductase activity; cell redox homeostasis,,,
Manes.05G154600.v8.1,Manes.05G154600,(1 of 1) PTHR24067:SF125 - UBIQUITIN-CONJUGATING ENZYME E2 18-RELATED,purple,NA,gene,,,PWY-7511,protein ubiquitylation,ubiquitin-conjugating enzyme 18
Manes.05G157800.v8.1,Manes.05G157800,,purple,NA,gene,,,,,
Manes.05G160600.v8.1,Manes.05G160600,(1 of 3) PTHR32227:SF16 - GLUCAN ENDO-1;3-BETA-GLUCOSIDASE 7-RELATED,purple,NA,gene,GO:0004553 GO:0005975,hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process,,,O-Glycosyl hydrolases family 17 protein
Manes.05G163200.v8.1,Manes.05G163200,(1 of 152) PF02365 - No apical meristem (NAM) protein (NAM),purple,NA,gene,GO:0003677 GO:0006355,DNA binding; regulation of DNA-templated transcription,,,
Manes.05G167700.v8.1,Manes.05G167700,(1 of 138) KOG0156 - Cytochrome P450 CYP2 subfamily,purple,NA,gene,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding,,,
Manes.05G174700.v8.1,Manes.05G174700,(1 of 2) PTHR21493//PTHR21493:SF104 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0006629,lipid metabolic process,LIPAS-PWY,triacylglycerol degradation,alpha/beta-Hydrolases superfamily protein
Manes.05G184800.v8.1,Manes.05G184800,(1 of 49) K09338 - homeobox-leucine zipper protein (HD-ZIP),purple,NA,gene,GO:0003677 GO:0003700 GO:0006355 GO:0043565,DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding,,,
Manes.06G010675.v8.1,Manes.06G010675,(1 of 35) PTHR27002//PTHR27002:SF84 - FAMILY NOT NAMED // ATP BINDING / PROTEIN KINASE-RELATED,purple,NA,gene,GO:0004672 GO:0004674 GO:0004713 GO:0005515 GO:0005524 GO:0006468 GO:0048544,protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation; recognition of pollen,,,
Manes.06G048400.v8.1,Manes.06G048400,(1 of 1) KOG1092 - Ypt/Rab-specific GTPase-activating protein GYP1,purple,NA,gene,,,,,RabGAP/TBC domain-containing protein
Manes.06G055000.v8.1,Manes.06G055000,(1 of 8) PF00046//PF01852//PF08670 - Homeobox domain (Homeobox) // START domain (START) // MEKHLA domain (MEKHLA),purple,NA,gene,GO:0003677 GO:0008289,DNA binding; lipid binding,,,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Manes.06G098700.v8.1,Manes.06G098700,(1 of 2) PTHR31448//PTHR31448:SF9 - FAMILY NOT NAMED // F14D16.14,purple,NA,gene,,,,,Protein of unknown function, DUF593
Manes.06G110100.v8.1,Manes.06G110100,(1 of 2) K17987 - next to BRCA1 gene 1 protein (NBR1),purple,NA,gene,GO:0005515 GO:0008270,protein binding; zinc ion binding,,,ubiquitin-associated (UBA)/TS-N domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein
