TAG_type,locusName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,Pathways,Pathways_Desc,GODescription,class,Description,GO,KOG,KO,Pfam,Panther,Best-hit-arabi-defline
non-genetic,Manes.11G027200,42.55773767,-0.780768446,0.161205682,-4.843306008,1.28E-06,0.001302381,-,,,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding",NA,(1 of 1) K12638 - 3-epi-6-deoxocathasterone 23-monooxygenase (CYP90D1),GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,KOG0157,K12638,PF00067,PTHR24286 PTHR24286:SF30,"cytochrome P450, family 90, subfamily D, polypeptide 1"
non-genetic,Manes.11G096600,240.4459411,-0.610026048,0.126594788,-4.81872956,1.44E-06,0.001302381,-,,,transporter activity; transport; membrane,NA,(1 of 4) PTHR19139:SF152 - AQUAPORIN PIP2-7,GO:0005215 GO:0006810 GO:0016020,KOG0223,K09872,PF00230,PTHR19139 PTHR19139:SF152,plasma membrane intrinsic protein 2;8
non-genetic,Manes.12G060500,120.9586272,-0.688646368,0.142908343,-4.818797522,1.44E-06,0.001302381,-,,,,NA,(1 of 2) PTHR32077:SF3 - FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 7,,,,PF02469,PTHR32077 PTHR32077:SF3,FASCICLIN-like arabinoogalactan 7
non-genetic,Manes.02G199300,19.10350874,-0.665536398,0.139912724,-4.756796796,1.97E-06,0.001480346,-,,,protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation,NA,(1 of 2) PTHR27000//PTHR27000:SF97 - FAMILY NOT NAMED // LEUCINE-RICH RECEPTOR-LIKE PROTEIN KINASE,GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468,KOG1187,,PF00069 PF00560 PF08263 PF13855,PTHR27000 PTHR27000:SF97,Leucine-rich receptor-like protein kinase family protein
non-genetic,Manes.04G149200,20.12295281,-1.267998539,0.266902649,-4.750790387,2.03E-06,0.001480346,-,,,response to auxin,NA,(1 of 129) PF02519 - Auxin responsive protein (Auxin_inducible),GO:0009733,,,PF02519,PTHR31374 PTHR31374:SF25,SAUR-like auxin-responsive protein family
non-genetic,Manes.08G099000,529.0334777,-0.705678253,0.151054924,-4.671666665,2.99E-06,0.001655882,-,,,"hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast",NA,(1 of 3) PTHR31062//PTHR31062:SF15 - FAMILY NOT NAMED // XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 4-RELATED,GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046,,K08235,PF00722 PF06955,PTHR31062 PTHR31062:SF15,xyloglucan endotransglucosylase/hydrolase 5
non-genetic,Manes.18G050700,169.6103359,-0.76841855,0.164252093,-4.678287731,2.89E-06,0.001655882,-,PWY-5936; PWY-1001,xyloglucan biosynthesis; cellulose biosynthesis,,NA,(1 of 2) PTHR32044//PTHR32044:SF7 - FAMILY NOT NAMED // XYLOGLUCAN GLYCOSYLTRANSFERASE 12-RELATED,,,,PF13632,PTHR32044 PTHR32044:SF7,Cellulose-synthase-like C12
non-genetic,Manes.17G106600,45.39824786,0.749167739,0.16254114,4.609096119,4.04E-06,0.001857228,+,,,,NA,(1 of 5) PTHR33595:SF3 - EMB|CAB62340.1-RELATED,,,,,PTHR33595 PTHR33595:SF3,(1 of 6) PTHR33595:SF3 - EMB
non-genetic,Manes.09G169700,167.0337661,0.652688124,0.142134054,4.592060151,4.39E-06,0.00190657,+,,,metal ion transport; metal ion binding,NA,(1 of 4) PTHR22814//PTHR22814:SF75 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // HEAVY METAL TRANSPORT/DETOXIFICATION DOMAIN-CONTAINING PROTEIN,GO:0030001 GO:0046872,KOG1603,,PF00403,PTHR22814 PTHR22814:SF75,Heavy metal transport/detoxification superfamily protein
non-genetic,Manes.03G020500,84.04179146,0.71547817,0.156940544,4.558912253,5.14E-06,0.001908937,+,,,DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding,NA,(1 of 2) PTHR10015//PTHR10015:SF187 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR C-1,GO:0003700 GO:0005634 GO:0006355 GO:0043565,,,PF00447,PTHR10015 PTHR10015:SF187,heat shock transcription factor  C1
non-genetic,Manes.13G097800,964.8941757,0.531918605,0.116727228,4.556936843,5.19E-06,0.001908937,+,,,protein binding; zinc ion binding,NA,(1 of 7) K10664 - E3 ubiquitin-protein ligase ATL6/9/15/31/42/55 [EC:6.3.2.19] (ATL6S),GO:0005515 GO:0008270,,K10664,PF13639,PTHR14155,
non-genetic,Manes.18G038901,123.4773329,-0.629012557,0.137792093,-4.564939409,5.00E-06,0.001908937,-,,,,NA,(1 of 2) PTHR31852:SF44 - EMB|CAB53482.1,,,,PF03168,PTHR31852 PTHR31852:SF44,(1 of 2) PTHR31852:SF44 - EMB
non-genetic,Manes.18G047500,73.83872822,-0.837387439,0.182909087,-4.57816205,4.69E-06,0.001908937,-,,,,NA,,,,,,PTHR33347 PTHR33347:SF1,
non-genetic,Manes.09G155200,67.23874849,-0.556972143,0.122484586,-4.547283563,5.43E-06,0.001941003,-,,,,NA,(1 of 2) PTHR11034//PTHR11034:SF24 - N-MYC DOWNSTREAM REGULATED // SUBFAMILY NOT NAMED,,KOG2931,,PF03096,PTHR11034 PTHR11034:SF24,
non-genetic,Manes.16G042000,22.92420235,-0.656713297,0.146309287,-4.488527757,7.17E-06,0.002401476,-,,,protein binding,NA,(1 of 2) PTHR27000//PTHR27000:SF131 - FAMILY NOT NAMED // RECEPTOR LIKE PROTEIN 55,GO:0005515,,,PF00560,PTHR27000 PTHR27000:SF131,receptor like protein 51
non-genetic,Manes.02G116100,208.0502073,-0.512306962,0.115068823,-4.452178694,8.50E-06,0.00267894,-,,,protein binding,NA,(1 of 3) PTHR23155//PTHR23155:SF501 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0005515,KOG0617,,PF00560 PF13855,PTHR23155 PTHR23155:SF501,plant intracellular ras group-related LRR 4
non-genetic,Manes.04G068200,72.88011079,-0.773349819,0.174049139,-4.443284373,8.86E-06,0.002738467,-,,,extracellular region; sexual reproduction,NA,(1 of 2) PTHR31692:SF4 - EXPANSIN-LIKE A1-RELATED,GO:0005576 GO:0019953,,,PF01357 PF03330,PTHR31692 PTHR31692:SF4,expansin-like A2
non-genetic,Manes.02G035800,170.532354,-0.652134772,0.147562685,-4.419374535,9.90E-06,0.002748522,-,,,copper ion binding; oxidoreductase activity,NA,(1 of 2) PTHR11709//PTHR11709:SF82 - MULTI-COPPER OXIDASE // MONOCOPPER OXIDASE-LIKE PROTEIN SKU5,GO:0005507 GO:0016491 GO:0055114,,,PF00394 PF07731 PF07732,PTHR11709 PTHR11709:SF82,Cupredoxin superfamily protein
non-genetic,Manes.12G101600,23.31783548,0.646841192,0.146195423,4.424496859,9.67E-06,0.002748522,+,,,protein binding,NA,"(1 of 1) KOG0292 - Vesicle coat complex COPI, alpha subunit",GO:0005515,KOG0292,,,PTHR19878 PTHR19878:SF4,Transducin/WD40 repeat-like superfamily protein
non-genetic,Manes.15G126400,32.55762165,-1.332128588,0.300353594,-4.435201097,9.20E-06,0.002748522,-,,,metal ion transport; metal ion binding,NA,(1 of 4) PTHR22814//PTHR22814:SF47 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // SUBFAMILY NOT NAMED,GO:0030001 GO:0046872,KOG1603,,PF00403,PTHR22814 PTHR22814:SF47,Heavy metal transport/detoxification superfamily protein
non-genetic,Manes.17G042100,283.4297943,-0.570254906,0.128630379,-4.433283264,9.28E-06,0.002748522,-,,,,NA,(1 of 1) PTHR31008//PTHR31008:SF6 - COP1-INTERACTING PROTEIN-RELATED // CSL1,,,,,PTHR31008 PTHR31008:SF6,"disease resistance protein (TIR class), putative"
non-genetic,Manes.09G081701,8.631530791,-0.642352943,0.145687867,-4.409103897,1.04E-05,0.002762044,-,,,,NA,,,,,,PTHR35493,
non-genetic,Manes.08G096900,91.26439925,0.532958099,0.121303673,4.393585819,1.11E-05,0.002800121,+,,,DNA-binding transcription factor activity; regulation of DNA-templated transcription,NA,(1 of 2) PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED,GO:0003700 GO:0006355,,,PF00847,PTHR31241 PTHR31241:SF2,
non-genetic,Manes.18G143800,8.913515525,-0.960155697,0.219025663,-4.383758896,1.17E-05,0.002840754,-,,,protein binding,NA,(1 of 3) PTHR32093:SF23 - LEUCINE-RICH REPEAT EXTENSIN-LIKE PROTEIN 3-RELATED,GO:0005515,,,PF13855,PTHR32093 PTHR32093:SF23,leucine-rich repeat/extensin 2
non-genetic,Manes.05G147700,38.13344828,-0.75552297,0.172648951,-4.376064655,1.21E-05,0.002861474,-,,,,NA,(1 of 2) PTHR23201:SF2 - GIBBERELLIN-REGULATED PROTEIN 1-RELATED,,,,PF02704,PTHR23201 PTHR23201:SF2,GAST1 protein homolog 1
non-genetic,Manes.07G090300,11.83487858,-0.631553305,0.144434612,-4.372589758,1.23E-05,0.002861474,-,,,protein binding; zinc ion binding,NA,(1 of 2) PTHR14155//PTHR14155:SF145 - RING FINGER DOMAIN-CONTAINING // RING-H2 FINGER PROTEIN ATL61-RELATED,GO:0005515 GO:0008270,,,PF13639,PTHR14155 PTHR14155:SF145,
non-genetic,Manes.15G084200,47.73766642,-0.706523677,0.162674077,-4.34318539,1.40E-05,0.003050211,-,,,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,NA,(1 of 1) PTHR27003:SF37 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED,GO:0004672 GO:0004713 GO:0005524 GO:0006468,KOG1187,,PF07714 PF11721,PTHR27003 PTHR27003:SF37,protein kinase family protein
non-genetic,Manes.07G007600,153.2699996,-0.646337921,0.149302184,-4.329058729,1.50E-05,0.003122564,-,,,,NA,(1 of 2) PTHR31265:SF2 - F17A17.37 PROTEIN,,,,PF04862,PTHR31265 PTHR31265:SF2,"Protein of unknown function, DUF642"
non-genetic,Manes.13G123500,368.7659693,-0.66628454,0.154102722,-4.323639003,1.53E-05,0.003122564,-,,,,NA,(1 of 3) PTHR33136:SF7 - PROTEIN RALF-LIKE 26-RELATED,,,,PF05498,PTHR33136 PTHR33136:SF7,ralf-like 34
non-genetic,Manes.12G030000,118.7388233,-0.850696937,0.197942346,-4.29770058,1.73E-05,0.003424523,-,,,"hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast",NA,(1 of 1) PTHR31062:SF25 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 33-RELATED,GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046,,K08235,PF00722 PF06955,PTHR31062 PTHR31062:SF25,xyloglucan:xyloglucosyl transferase 33
non-genetic,Manes.09G140700,1752.081735,-0.513269687,0.121706864,-4.217261626,2.47E-05,0.004516641,-,,,,NA,,,,,,PTHR34114 PTHR34114:SF3,
non-genetic,Manes.05G175700,106.214361,-0.579766935,0.137679152,-4.21100019,2.54E-05,0.004540489,-,,,DNA binding,NA,(1 of 2) PTHR24326:SF263 - WUSCHEL-RELATED HOMEOBOX 4,GO:0003677,,,PF00046,PTHR24326 PTHR24326:SF263,WUSCHEL related homeobox 4
non-genetic,Manes.10G144000,37.84318753,0.548653664,0.130288569,4.211065227,2.54E-05,0.004540489,+,,,ADP binding,NA,(1 of 18) PTHR23155//PTHR23155:SF609 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0043531,KOG4658,,PF00931,PTHR23155 PTHR23155:SF609,
non-genetic,Manes.09G121500,33.3568972,-0.517700046,0.12337632,-4.196105421,2.72E-05,0.004746383,-,,,,NA,(1 of 6) PF06697 - Protein of unknown function (DUF1191) (DUF1191),,,,PF06697,PTHR33512 PTHR33512:SF1,Protein of unknown function (DUF1191)
non-genetic,Manes.15G043400,342.5755501,0.514784665,0.123973729,4.152368969,3.29E-05,0.005134796,+,PWY-2724,alkane oxidation,"oxidoreductase activity, acting on CH-OH group of donors; long-chain-alcohol oxidase activity",NA,(1 of 4) 1.1.3.20 - Long-chain-alcohol oxidase,GO:0016614 GO:0046577 GO:0055114,,K17756,PF05199 PF13450,PTHR10668 PTHR10668:SF81,fatty alcohol oxidase 3
non-genetic,Manes.05G174200,677.1330976,-0.625417695,0.151152172,-4.137669243,3.51E-05,0.005173613,-,,,protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,NA,(1 of 2) PTHR24356:SF195 - PROTEIN KINASE FAMILY PROTEIN,GO:0004672 GO:0004674 GO:0004713 GO:0005524 GO:0006468,,K08790,PF00433 PF07714,PTHR24356 PTHR24356:SF195,Protein kinase family protein
non-genetic,Manes.15G019200,232.0015826,-0.566649868,0.136929067,-4.138273044,3.50E-05,0.005173613,-,,,membrane; transmembrane transport; transmembrane transporter activity,NA,"(1 of 10) K08145 - MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8 (SLC2A8, GLUT8)",GO:0016020 GO:0016021 GO:0022891 GO:0055085,KOG0254,K08145,PF07690,PTHR23500 PTHR23500:SF62,Major facilitator superfamily protein
non-genetic,Manes.04G068800,41.31921963,-0.741379998,0.179575848,-4.128506167,3.65E-05,0.005193537,-,PWY-6824; PWY-5466,justicidin B biosynthesis; matairesinol biosynthesis,copper ion binding; oxidoreductase activity,NA,(1 of 1) PTHR11709//PTHR11709:SF64 - MULTI-COPPER OXIDASE // MULTI-COPPER OXIDASE TYPE I FAMILY PROTEIN-RELATED,GO:0005507 GO:0016491 GO:0055114,,,PF00394 PF07731 PF07732,PTHR11709 PTHR11709:SF64,
non-genetic,Manes.12G097000,14.35072575,-0.924253511,0.224467818,-4.117532395,3.83E-05,0.005359684,-,,,,NA,(1 of 53) PF14009 - Domain of unknown function (DUF4228) (DUF4228),,,,PF14009,PTHR33052 PTHR33052:SF17,(1 of 28) PF14009 - Domain of unknown function (DUF4228) (DUF4228)
non-genetic,Manes.14G146100,158.9029768,-0.89992962,0.219642196,-4.097252886,4.18E-05,0.005465853,-,,,"hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast",NA,(1 of 13) K08235//K14504 - xyloglucan:xyloglucosyl transferase (E2.4.1.207) // xyloglucan:xyloglucosyl transferase TCH4 (TCH4),GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046,,K08235 K14504,PF00722 PF06955,PTHR31062 PTHR31062:SF32,xyloglucan endotransglycosylase 6
non-genetic,Manes.17G124500,85.48277806,-0.793300835,0.193510327,-4.099527138,4.14E-05,0.005465853,-,PWY-5936; PWY-1001,xyloglucan biosynthesis; cellulose biosynthesis,,NA,(1 of 2) PTHR32044:SF11 - XYLOGLUCAN GLYCOSYLTRANSFERASE 4,,,,PF13632,PTHR32044 PTHR32044:SF11,Cellulose-synthase-like C4
non-genetic,Manes.15G032400,1280.659883,0.649075054,0.159327001,4.073854728,4.62E-05,0.005761527,+,,,,NA,"(1 of 2) PTHR31351//PTHR31351:SF4 - FAMILY NOT NAMED // GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MWI23-RELATED",,,,PF05703 PF08458,PTHR31351 PTHR31351:SF4,Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region
non-genetic,Manes.01G208500,24.88448358,0.772796052,0.19003481,4.066602603,4.77E-05,0.005852963,+,,,malate transport,NA,(1 of 8) PF13515 - Fusaric acid resistance protein-like (FUSC_2),GO:0015743,,,PF13515,PTHR31086 PTHR31086:SF13,
non-genetic,Manes.01G051900,8.115318096,-0.847598183,0.209188562,-4.051838093,5.08E-05,0.006028166,-,,,electron transfer activity,NA,(1 of 57) PF02298 - Plastocyanin-like domain (Cu_bind_like),GO:0009055,,,PF02298,PTHR33021 PTHR33021:SF44,early nodulin-like protein 8
non-genetic,Manes.15G098800,7.29261643,-0.786735453,0.194078052,-4.053706463,5.04E-05,0.006028166,-,,,"catalytic activity; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity; trehalose biosynthetic process",NA,(1 of 4) PTHR10788:SF6 - BCDNA.GH08860,GO:0003824 GO:0003825 GO:0005992,,K16055,PF00982 PF02358,PTHR10788 PTHR10788:SF6,trehalose-6-phosphate synthase
non-genetic,Manes.10G072350,24.85806879,-1.227453909,0.304721913,-4.028111722,5.62E-05,0.0063643,-,PWY-5271,phaseic acid biosynthesis,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding",NA,(1 of 3) PTHR24286:SF10 - ABSCISIC ACID 8'-HYDROXYLASE 1-RELATED,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,KOG0157,,PF00067,PTHR24286 PTHR24286:SF10,"cytochrome P450, family 707, subfamily A, polypeptide 3"
non-genetic,Manes.16G092600,33.47109428,-0.745171547,0.185177709,-4.024088809,5.72E-05,0.006428788,-,,,response to auxin,NA,(1 of 129) PF02519 - Auxin responsive protein (Auxin_inducible),GO:0009733,,,PF02519,PTHR31374 PTHR31374:SF5,SAUR-like auxin-responsive protein family
non-genetic,Manes.10G141601,47.13424539,0.590175896,0.147106883,4.011884996,6.02E-05,0.006631306,+,,,ADP binding,NA,(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0043531,KOG4658,,PF00931,PTHR23155 PTHR23155:SF563,
non-genetic,Manes.17G096900,12.15461369,-2.250416624,0.560714827,-4.013478,5.98E-05,0.006631306,-,,,,NA,(1 of 2) PTHR36346//PTHR36346:SF1 - FAMILY NOT NAMED // EXPRESSED PROTEIN,,,,,PTHR36346 PTHR36346:SF1,
non-genetic,Manes.05G130500,265.8190376,-0.659464915,0.165241754,-3.990909686,6.58E-05,0.007082339,-,DETOX1-PWY-1; DETOX1-PWY,reactive oxygen species degradation; superoxide radicals degradation,catalase activity; response to oxidative stress; heme binding,NA,(1 of 2) PTHR11465//PTHR11465:SF15 - CATALASE // SUBFAMILY NOT NAMED,GO:0004096 GO:0006979 GO:0020037 GO:0055114,,K03781,PF00199 PF06628,PTHR11465 PTHR11465:SF15,
non-genetic,Manes.02G034900,4427.712054,0.578847369,0.145852144,3.968727189,7.23E-05,0.007112662,+,PWY-1081,homogalacturonan degradation,enzyme inhibitor activity,NA,(1 of 4) PTHR31080:SF8 - F23N19.12,GO:0004857,,,PF04043,PTHR31080 PTHR31080:SF8,
non-genetic,Manes.02G224801,7.740729821,0.566361078,0.142414626,3.976846291,6.98E-05,0.007112662,+,,,,NA,(1 of 1) PTHR12357:SF24 - EVOLUTIONARILY CONSERVED C-TERMINAL REGION 10,,KOG1901,,PF04146,PTHR12357 PTHR12357:SF24,evolutionarily conserved C-terminal region 10
non-genetic,Manes.04G066900,137.9145503,-0.753436307,0.190100245,-3.963363158,7.39E-05,0.007112662,-,,,,NA,(1 of 17) PF04674 - Phosphate-induced protein 1 conserved region (Phi_1),,,,PF04674,PTHR31279 PTHR31279:SF9,EXORDIUM like 5
non-genetic,Manes.05G140900,73.23419328,-0.613360821,0.154416407,-3.972122094,7.12E-05,0.007112662,-,PWY-6824; PWY-5466,justicidin B biosynthesis; matairesinol biosynthesis,copper ion binding; oxidoreductase activity,NA,(1 of 2) PTHR11709:SF90 - MULTI-COPPER OXIDASE TYPE I FAMILY PROTEIN-RELATED,GO:0005507 GO:0016491 GO:0055114,,,PF00394 PF07731 PF07732,PTHR11709 PTHR11709:SF90,SKU5 similar 5
non-genetic,Manes.06G128700,8.891503054,-1.068864483,0.268577963,-3.979717735,6.90E-05,0.007112662,-,,,"peroxidase activity; calcium ion binding; membrane; oxidoreductase activity; oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",NA,(1 of 2) PTHR11972//PTHR11972:SF64 - NADPH OXIDASE // RESPIRATORY BURST OXIDASE HOMOLOG PROTEIN A-RELATED,GO:0004601 GO:0005509 GO:0016020 GO:0016491 GO:0050664 GO:0055114,,K13447,PF01794 PF08022 PF08030 PF08414,PTHR11972 PTHR11972:SF64,
non-genetic,Manes.09G182100,7.450955207,-0.780722426,0.196405705,-3.975049624,7.04E-05,0.007112662,-,,,hydrolase activity,NA,(1 of 2) PTHR21562//PTHR21562:SF5 - NOTUM-RELATED // PECTINACETYLESTERASE FAMILY PROTEIN,GO:0016787,,,PF03283,PTHR21562 PTHR21562:SF5,Pectinacetylesterase family protein
non-genetic,Manes.10G141500,14.16592077,0.683558811,0.172467694,3.963402051,7.39E-05,0.007112662,+,,,ADP binding,NA,(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0043531,KOG4658,,PF00931,PTHR23155 PTHR23155:SF563,
non-genetic,Manes.11G011300,147.4232864,-0.528277271,0.132532431,-3.986022651,6.72E-05,0.007112662,-,,,protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation,NA,(1 of 25) PF07714//PF08263//PF13855 - Protein tyrosine kinase (Pkinase_Tyr) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8),GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468,KOG1187,,PF07714 PF08263 PF13855,PTHR27001 PTHR27001:SF81,STRUBBELIG-receptor family 6
non-genetic,Manes.18G065800,182.9679757,-0.885894434,0.223729283,-3.95967136,7.51E-05,0.007180515,-,,,,NA,"(1 of 5) PTHR31279:SF3 - (PHI-1) PROTEIN, PUTATIVE-RELATED",,,,PF04674,PTHR31279 PTHR31279:SF3,Phosphate-responsive 1 family protein
non-genetic,Manes.05G025200,34.00830183,-0.701317731,0.177428765,-3.952672099,7.73E-05,0.007208348,-,,,,NA,(1 of 2) PTHR32285//PTHR32285:SF9 - FAMILY NOT NAMED // PROTEIN TRICHOME BIREFRINGENCE-LIKE 25-RELATED,,,,PF13839 PF14416,PTHR32285 PTHR32285:SF9,TRICHOME BIREFRINGENCE-LIKE 25
