TAG_type,locusName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,Pathways,Pathways_Desc,GODescription,class,Description,GO,KOG,KO,Pfam,Panther,Best-hit-arabi-defline
genetic,Manes.08G117800,2786.915535,0.523914844,0.040779442,12.84752361,8.88E-38,1.40E-34,+,,,,NA,(1 of 5) PF05755 - Rubber elongation factor protein (REF) (REF),,,,PF05755,PTHR33732 PTHR33732:SF3,Rubber elongation factor protein (REF)
genetic,Manes.07G019300,6727.042695,0.788056629,0.061377546,12.83949385,9.85E-38,1.44E-34,+,,,protein binding,NA,(1 of 1) PTHR10666//PTHR10666:SF155 - UBIQUITIN // POLYUBIQUITIN 4,GO:0005515,KOG0001,K08770,PF11976,PTHR10666 PTHR10666:SF155,ubiquitin 4
genetic,Manes.05G063000,2154.98262,0.68201211,0.053380447,12.77644067,2.22E-37,3.02E-34,+,,,protein binding; zinc ion binding,NA,"(1 of 3) K16275 - E3 ubiquitin-protein ligase BAH [EC:6.3.2.19] (BAH, NLA)",GO:0005515 GO:0008270,,K16275,PF03105 PF13920,PTHR23041 PTHR23041:SF64,SPX (SYG1/Pho81/XPR1) domain-containing protein
genetic,Manes.08G096900,91.26439925,0.863252499,0.067778667,12.73634516,3.71E-37,4.74E-34,+,,,DNA-binding transcription factor activity; regulation of DNA-templated transcription,NA,(1 of 2) PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED,GO:0003700 GO:0006355,,,PF00847,PTHR31241 PTHR31241:SF2,
genetic,Manes.12G027800,808.1052575,0.613493732,0.048416049,12.67128867,8.53E-37,1.03E-33,+,,,antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity,NA,(1 of 5) K17609 - nucleoredoxin [EC:1.8.1.8] (NXN),GO:0016209 GO:0016491 GO:0047134 GO:0055114,KOG2501,K17609,PF00578 PF07649 PF13905,PTHR13871 PTHR13871:SF7,DC1 domain-containing protein
genetic,Manes.18G101100,609.8558391,0.533672097,0.042280829,12.62208209,1.60E-36,1.72E-33,+,,,,NA,(1 of 2) PTHR10795//PTHR10795:SF316 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SERINE PROTEASE-LIKE PROTEIN-RELATED,,,,PF05922,PTHR10795 PTHR10795:SF316,"Proteinase inhibitor, propeptide"
genetic,Manes.12G029366,97.18858964,0.909402224,0.073478984,12.37635817,3.51E-35,3.58E-32,+,,,,NA,(1 of 1) KOG2681 - Metal-dependent phosphohydrolase,,KOG2681,K06941,PF01966,PTHR11373 PTHR11373:SF31,
genetic,Manes.02G033500,52.99445878,0.815152438,0.066000138,12.35076863,4.82E-35,4.69E-32,+,,,,NA,(1 of 3) PTHR33593:SF2 - F5O11.5,,,,PF07279,PTHR33593 PTHR33593:SF2,
genetic,Manes.18G077024,151.7877549,0.907309665,0.073920068,12.27419954,1.25E-34,1.16E-31,+,,,protein binding,NA,(1 of 6) PTHR32278:SF6 - F-BOX PROTEIN PP2-B1-RELATED,GO:0005515,,,PF14299,PTHR32278 PTHR32278:SF6,F-box family protein
genetic,Manes.08G134300,48.62875315,1.000241825,0.081793861,12.22881293,2.18E-34,1.94E-31,+,,,calcium ion binding,NA,,GO:0005509,,,,PTHR34574 PTHR34574:SF1,calcium-binding EF hand family protein
genetic,Manes.02G011000,1001.947194,0.543719523,0.044680687,12.1690053,4.55E-34,3.87E-31,+,,,,NA,,,,,,,
genetic,Manes.13G030800,40.89343288,0.786724343,0.064691456,12.16117855,5.00E-34,4.09E-31,+,,,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,NA,(1 of 1) PTHR23257:SF353 - KINASE-LIKE PROTEIN,GO:0004672 GO:0004713 GO:0005524 GO:0006468,KOG0192,,PF07714,PTHR23257 PTHR23257:SF353,
genetic,Manes.15G141200,114.5824435,0.507768131,0.041888722,12.12183385,8.09E-34,6.36E-31,+,,,endonuclease activity; DNA repair,NA,(1 of 2) 3.1.21.7 - Deoxyribonuclease V / Escherichia coli endodeoxyribonuclease V,GO:0004519 GO:0006281,KOG4417,,PF04493,PTHR28511 PTHR28511:SF1,endonuclease V family protein
genetic,Manes.05G160600,33.86794325,1.292886596,0.107814689,11.99174814,3.93E-33,2.86E-30,+,,,"hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",NA,"(1 of 3) PTHR32227:SF16 - GLUCAN ENDO-1,3-BETA-GLUCOSIDASE 7-RELATED",GO:0004553 GO:0005975,,,PF00332 PF07983,PTHR32227 PTHR32227:SF16,O-Glycosyl hydrolases family 17 protein
genetic,Manes.09G059028,112.9568066,0.593194488,0.050760417,11.68616258,1.50E-31,1.06E-28,+,,,DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding,NA,(1 of 2) PTHR10015//PTHR10015:SF164 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR A-3,GO:0003700 GO:0005634 GO:0006355 GO:0043565,KOG0627,K09419,PF00447,PTHR10015 PTHR10015:SF164,heat shock transcription factor A3
genetic,Manes.10G141651,191.8526305,1.104797672,0.095728058,11.54100162,8.20E-31,5.58E-28,+,,,ADP binding,NA,(1 of 6) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0043531,,,PF00931,PTHR23155 PTHR23155:SF414,
genetic,Manes.17G009100,1.245893451,-4.484892252,0.388797066,-11.53530376,8.76E-31,5.77E-28,-,PWY-6824; PWY-5466,justicidin B biosynthesis; matairesinol biosynthesis,catalytic activity,NA,(1 of 2) 1.23.1.4 - (-)-lariciresinol reductase / Pinoresinol/lariciresinol reductase,GO:0003824 GO:0050662,,,PF01370,PTHR10366 PTHR10366:SF397,pinoresinol reductase 1
genetic,Manes.12G049701,40.76608261,1.102937956,0.096327383,11.44989019,2.35E-30,1.50E-27,+,,,zinc ion binding; oxidoreductase activity,NA,(1 of 12) 1.6.5.5 - NADPH:quinone reductase / Zeta-crystallin,GO:0008270 GO:0016491 GO:0055114,KOG1198,,PF08240 PF13602,PTHR11695 PTHR11695:SF507,"Oxidoreductase, zinc-binding dehydrogenase family protein"
genetic,Manes.01G043300,27.27115187,0.8506075,0.075711708,11.23482123,2.75E-29,1.61E-26,+,,,,NA,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),,,,PF03168,PTHR31415 PTHR31415:SF20,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
genetic,Manes.11G060900,13.6342928,1.187833687,0.108357644,10.9621587,5.81E-28,3.12E-25,+,,,,NA,,,,,,,
genetic,Manes.07G059900,39.9656486,0.972088147,0.089409531,10.87231014,1.56E-27,8.18E-25,+,,,protein binding,NA,(1 of 2) PTHR32002:SF3 - PROTEIN NLP1-RELATED,GO:0005515,,,PF00564 PF02042,PTHR32002 PTHR32002:SF3,
genetic,Manes.09G092548,17.78683556,1.281175384,0.118247561,10.83468758,2.36E-27,1.20E-24,+,,,,NA,(1 of 1) PTHR31048:SF21 - PATHOGENESIS-RELATED THAUMATIN-LIKE PROTEIN,,,,PF00314,PTHR31048 PTHR31048:SF21,Pathogenesis-related thaumatin superfamily protein
genetic,Manes.08G161900,197.6693911,0.735202205,0.068377993,10.75202956,5.80E-27,2.82E-24,+,,,nucleic acid binding; nucleobase-containing compound metabolic process; 3'-5' exonuclease activity,NA,(1 of 11) PF01612 - 3'-5' exonuclease (DNA_pol_A_exo1),GO:0003676 GO:0006139 GO:0008408,,,PF01612,PTHR13620,
genetic,Manes.16G024500,18.0775825,1.082749004,0.100880929,10.73294043,7.13E-27,3.39E-24,+,,,DNA binding; regulation of DNA-templated transcription,NA,"(1 of 45) PF02701 - Dof domain, zinc finger (zf-Dof)",GO:0003677 GO:0006355,,,PF02701,PTHR31992 PTHR31992:SF35,
genetic,Manes.13G008500,5.917791642,1.68134565,0.158074941,10.63638322,2.02E-26,9.16E-24,+,,,,NA,(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408),,,,PF14364,PTHR35762 PTHR35762:SF2,(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)
genetic,Manes.07G104000,11.542693,1.652509195,0.155413069,10.63301307,2.09E-26,9.29E-24,+,,,,NA,(1 of 2) PTHR32191:SF1 - TETRASPANIN-5-RELATED,GO:0016021,,,PF00335,PTHR32191 PTHR32191:SF1,tetraspanin6
genetic,Manes.12G051600,155.6570817,0.546996629,0.051564582,10.60799113,2.74E-26,1.19E-23,+,,,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,NA,"(1 of 1) PTHR24351:SF69 - AGC (CAMP-DEPENDENT, CGMP-DEPENDENT AND PROTEIN KINASE C) KINASE FAMILY PROTEIN-RELATED",GO:0004672 GO:0004713 GO:0005524 GO:0006468,KOG0610,,PF00069 PF07714,PTHR24351 PTHR24351:SF69,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"
genetic,Manes.09G170800,18.80393948,0.69361651,0.065522657,10.58590331,3.46E-26,1.47E-23,+,,,,NA,(1 of 4) KOG1727 - Microtubule-binding protein (translationally controlled tumor protein),,KOG1727,,PF00838,PTHR11991,Methionine sulfoxide reductase (MSS4-like) family protein
genetic,Manes.03G020500,84.04179146,1.043299989,0.098754261,10.56460728,4.35E-26,1.81E-23,+,,,DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding,NA,(1 of 2) PTHR10015//PTHR10015:SF187 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR C-1,GO:0003700 GO:0005634 GO:0006355 GO:0043565,,,PF00447,PTHR10015 PTHR10015:SF187,heat shock transcription factor  C1
genetic,Manes.15G155400,280.5907212,0.680877577,0.065108251,10.45762346,1.35E-25,5.52E-23,+,,,,NA,(1 of 1) PTHR34278//PTHR34278:SF1 - FAMILY NOT NAMED // GB|AAC02775.1,,,,,PTHR34278 PTHR34278:SF1,(1 of 1) PTHR34278:SF1 - GB
genetic,Manes.15G162100,32.00823336,0.894054039,0.085888472,10.40947657,2.24E-25,8.99E-23,+,,,,NA,(1 of 11) PF11820 - Protein of unknown function (DUF3339) (DUF3339),,,,PF11820,PTHR33128 PTHR33128:SF14,Protein of unknown function (DUF 3339)
genetic,Manes.01G191500,193.8916312,0.67882756,0.065715497,10.32979413,5.17E-25,2.03E-22,+,,,DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding,NA,"(1 of 2) KOG0490 - Transcription factor, contains HOX domain",GO:0003677 GO:0003700 GO:0006355 GO:0043565,KOG0490,K09338,PF00046 PF02183,PTHR24326 PTHR24326:SF190,
genetic,Manes.02G098700,43.7973741,0.612184132,0.060616762,10.09925491,5.57E-24,2.07E-21,+,,,catalytic activity,NA,(1 of 1) PTHR10992//PTHR10992:SF804 - ALPHA/BETA HYDROLASE FOLD-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0003824,KOG4178,,PF00561,PTHR10992 PTHR10992:SF804,alpha/beta-Hydrolases superfamily protein
genetic,Manes.01G052500,755.9029693,0.531035664,0.053236651,9.975001344,1.96E-23,7.00E-21,+,,,,NA,(1 of 2) PTHR10857//PTHR10857:SF54 - COPINE // DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN,,,,PF10539,PTHR10857 PTHR10857:SF54,DCD (Development and Cell Death) domain protein
genetic,Manes.08G086700,2341.404335,0.601061315,0.060251507,9.975871894,1.94E-23,7.00E-21,+,,,,NA,(1 of 1) PTHR15852//PTHR15852:SF20 - FAMILY NOT NAMED // CHAPERONE PROTEIN DNAJ-LIKE PROTEIN,,KOG2813,,,PTHR15852 PTHR15852:SF20,chaperone protein dnaJ-related
genetic,Manes.18G054150,10.88390099,0.861038495,0.086616087,9.940861207,2.76E-23,9.57E-21,+,,,DNA-templated transcription; sequence-specific DNA binding,NA,(1 of 2) PTHR22952//PTHR22952:SF145 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED,GO:0006351 GO:0043565,,,PF14144,PTHR22952 PTHR22952:SF145,transcription factor-related
genetic,Manes.08G103000,369.1160133,0.920771509,0.092742004,9.928311537,3.14E-23,1.07E-20,+,,,,NA,(1 of 1) PTHR31969//PTHR31969:SF3 - FAMILY NOT NAMED // GEM-LIKE PROTEIN 5,,,,PF02893,PTHR31969 PTHR31969:SF3,GRAM domain family protein
genetic,Manes.03G173700,57.71678457,0.580251479,0.05856727,9.907436003,3.86E-23,1.29E-20,+,PWY-6927,chlorophyll <i>a</i> degradation II,,NA,"(1 of 1) PTHR33428//PTHR33428:SF1 - FAMILY NOT NAMED // CHLOROPHYLLASE-2, CHLOROPLASTIC",,,K08099,PF12695,PTHR33428 PTHR33428:SF1,chlorophyllase 2
genetic,Manes.09G170000,276.0347022,0.595899853,0.060261313,9.888597248,4.67E-23,1.51E-20,+,,,,NA,(1 of 5) PF05755 - Rubber elongation factor protein (REF) (REF),,,,PF05755,PTHR33732 PTHR33732:SF3,Rubber elongation factor protein (REF)
genetic,Manes.04G149500,190.3640451,0.503596913,0.051323722,9.812166583,9.98E-23,3.19E-20,+,,,vacuole organization; phosphatidylinositol-3-phosphate biosynthetic process; phosphoric ester hydrolase activity,NA,(1 of 2) PTHR11200//PTHR11200:SF122 - INOSITOL 5-PHOSPHATASE // PHOSPHOINOSITIDE PHOSPHATASE SAC3-RELATED,GO:0007033 GO:0036092 GO:0042578,,,PF02383,PTHR11200 PTHR11200:SF122,Phosphoinositide phosphatase family protein
genetic,Manes.12G027700,675.5910919,0.618627164,0.063155408,9.795315749,1.18E-22,3.65E-20,+,,,antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity,NA,(1 of 5) K17609 - nucleoredoxin [EC:1.8.1.8] (NXN),GO:0016209 GO:0016491 GO:0047134 GO:0055114,KOG2501,K17609,PF00578 PF07649 PF13905,PTHR13871 PTHR13871:SF7,
genetic,Manes.08G002700,613.0414734,1.396418809,0.14293068,9.769902492,1.52E-22,4.62E-20,+,PWY-2261; PWY-6959,ascorbate glutathione cycle; L-ascorbate degradation V,peroxidase activity; response to oxidative stress; heme binding,NA,"(1 of 3) PTHR31356:SF10 - L-ASCORBATE PEROXIDASE 2, CYTOSOLIC",GO:0004601 GO:0006979 GO:0020037 GO:0055114,,K00434,PF00141,PTHR31356 PTHR31356:SF10,ascorbate peroxidase 2
genetic,Manes.08G020700,67.1969207,0.703446391,0.072183896,9.745198386,1.93E-22,5.73E-20,+,,,DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding,NA,(1 of 2) PTHR10015:SF164 - HEAT STRESS TRANSCRIPTION FACTOR A-3,GO:0003700 GO:0005634 GO:0006355 GO:0043565,KOG0627,K09419,PF00447,PTHR10015 PTHR10015:SF164,heat shock transcription factor A3
genetic,Manes.09G180500,66.09014844,0.700631556,0.07278084,9.626593407,6.17E-22,1.78E-19,+,,,"hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",NA,(1 of 2) PTHR32227:SF118 - CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN,GO:0004553 GO:0005975,,,PF00332 PF07983,PTHR32227 PTHR32227:SF118,Carbohydrate-binding X8 domain superfamily protein
genetic,Manes.01G000279,53.46020447,0.879139897,0.092071229,9.548475733,1.32E-21,3.73E-19,+,,,,NA,,,,,,,
genetic,Manes.14G162600,287.1917565,0.511558333,0.054158501,9.445577712,3.53E-21,9.67E-19,+,,,nucleotide binding; P-type calcium transporter activity; calmodulin binding; ATP binding; membrane; metal ion binding; calcium ion transmembrane transport,NA,(1 of 16) K01537 - Ca2+-transporting ATPase (E3.6.3.8),GO:0000166 GO:0005388 GO:0005516 GO:0005524 GO:0016020 GO:0016021 GO:0046872 GO:0070588,,K01537,PF00122 PF00689 PF00690 PF00702 PF12515,PTHR24093 PTHR24093:SF359,autoinhibited Ca(2+)-ATPase 10
genetic,Manes.08G082622,29.11275552,1.452037291,0.156883547,9.255510331,2.13E-20,5.44E-18,+,,,,NA,(1 of 1) PTHR11527//PTHR11527:SF153 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED,,,K13993,PF00011,PTHR11527 PTHR11527:SF153,
genetic,Manes.07G091300,12544.90472,-0.84236657,0.091524388,-9.203738886,3.46E-20,8.61E-18,-,,,metal ion binding,NA,(1 of 9) PF01439 - Metallothionein (Metallothio_2),GO:0046872,,,PF01439,PTHR33543,
genetic,Manes.17G045800,13.18378243,0.782495914,0.085159249,9.188619185,3.98E-20,9.79E-18,+,,,ATP binding,NA,(1 of 2) K06027 - vesicle-fusing ATPase (NSF),GO:0005524,,K06027,PF00004 PF07724,PTHR23078,AAA-type ATPase family protein
genetic,Manes.04G034100,5.364807722,0.981481363,0.107655408,9.116879284,7.73E-20,1.82E-17,+,,,,NA,(1 of 8) PF05056 - Protein of unknown function (DUF674) (DUF674),,,,PF05056,PTHR33103 PTHR33103:SF8,
genetic,Manes.09G169700,167.0337661,0.724817534,0.079776895,9.085557042,1.03E-19,2.40E-17,+,,,metal ion transport; metal ion binding,NA,(1 of 4) PTHR22814//PTHR22814:SF75 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // HEAVY METAL TRANSPORT/DETOXIFICATION DOMAIN-CONTAINING PROTEIN,GO:0030001 GO:0046872,KOG1603,,PF00403,PTHR22814 PTHR22814:SF75,Heavy metal transport/detoxification superfamily protein
genetic,Manes.17G111400,11.93879783,1.078817539,0.118895168,9.073686977,1.15E-19,2.64E-17,+,,,DNA binding; regulation of DNA-templated transcription,NA,(1 of 2) PTHR31079//PTHR31079:SF2 - FAMILY NOT NAMED // F4P13.14 PROTEIN-RELATED,GO:0003677 GO:0006355,,,PF02365,PTHR31079 PTHR31079:SF2,NAC domain containing protein 44
genetic,Manes.06G005300,11.38034538,0.964076985,0.106435684,9.057836135,1.33E-19,3.02E-17,+,,,structural constituent of ribosome; intracellular anatomical structure; ribosome; translation,NA,(1 of 5) PTHR10722 - 60S RIBOSOMAL PROTEIN L19,GO:0003735 GO:0005622 GO:0005840 GO:0006412,KOG1696,,PF01280,PTHR10722,
genetic,Manes.03G176600,29.88989936,1.033409349,0.115897715,8.916563599,4.81E-19,1.01E-16,+,,,lipid transport; lipid binding,NA,(1 of 2) PTHR33044:SF23 - BIFUNCTIONAL INHIBITOR/LIPID-TRANSFER PROTEIN/SEED STORAGE 2S ALBUMIN SUPERFAMILY PROTEIN-RELATED,GO:0006869 GO:0008289,,,PF14368,PTHR33044 PTHR33044:SF23,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
genetic,Manes.16G121600,4.72459375,1.062451573,0.119407213,8.897716842,5.70E-19,1.19E-16,+,PWY-7039; LIPASYN-PWY; PWY-3561,"phosphatidate metabolism, as a signaling molecule; phospholipases; choline biosynthesis III",catalytic activity; phospholipase D activity; calcium ion binding; protein binding; membrane; phosphatidylcholine metabolic process,NA,(1 of 3) PTHR18896//PTHR18896:SF11 - PHOSPHOLIPASE D // PHOSPHOLIPASE D ALPHA 1-RELATED,GO:0003824 GO:0004630 GO:0005509 GO:0005515 GO:0016020 GO:0046470,,K01115,PF00168 PF00614 PF12357,PTHR18896 PTHR18896:SF11,
genetic,Manes.01G120100,837.0994505,-0.514891131,0.05791924,-8.889811539,6.12E-19,1.26E-16,-,,,metabolic process; carbon-sulfur lyase activity,NA,"(1 of 1) PTHR28620:SF1 - PROTEIN F25B4.8, ISOFORM A",GO:0008152 GO:0016846,KOG4192,,PF04828,PTHR28620 PTHR28620:SF1,carbon-sulfur lyases
genetic,Manes.07G111900,3.617266391,1.109344722,0.124835518,8.886451095,6.31E-19,1.29E-16,+,,,metal ion binding,NA,(1 of 54) PF13912 - C2H2-type zinc finger (zf-C2H2_6),GO:0046872,,,PF13912,PTHR26374 PTHR26374:SF207,
genetic,Manes.02G034900,4427.712054,0.718485424,0.08127224,8.840477738,9.53E-19,1.91E-16,+,PWY-1081,homogalacturonan degradation,enzyme inhibitor activity,NA,(1 of 4) PTHR31080:SF8 - F23N19.12,GO:0004857,,,PF04043,PTHR31080 PTHR31080:SF8,
genetic,Manes.03G115300,13.76524543,0.684275887,0.077570108,8.821386248,1.13E-18,2.22E-16,+,,,defense response; response to biotic stimulus,NA,(1 of 49) PF00407 - Pathogenesis-related protein Bet v I family (Bet_v_1),GO:0006952 GO:0009607,,,PF00407,PTHR31213 PTHR31213:SF15,
genetic,Manes.14G136021,35.06285927,-2.796928552,0.317473596,-8.809956435,1.25E-18,2.44E-16,-,,,,NA,,,,,,,
genetic,Manes.01G034800,2.859270644,1.433517667,0.163573934,8.76372922,1.89E-18,3.63E-16,+,,,,NA,(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED,,,,PF00249,PTHR10641 PTHR10641:SF512,myb domain protein 110
genetic,Manes.10G141533,23.40662818,1.168765508,0.133374353,8.763045396,1.90E-18,3.63E-16,+,,,ADP binding,NA,(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0043531,,,PF00931,PTHR23155 PTHR23155:SF563,
genetic,Manes.03G069616,46.71104131,1.139188549,0.130753187,8.712510746,2.97E-18,5.57E-16,+,,,,NA,,,,,,,
genetic,Manes.17G084800,83.9277692,0.867966982,0.100198945,8.662436374,4.62E-18,8.50E-16,+,,,RNA-dependent RNA polymerase activity,NA,(1 of 3) PTHR23079:SF9 - RNA-DEPENDENT RNA POLYMERASE 1,GO:0003968,,K11699,PF05183,PTHR23079 PTHR23079:SF9,
genetic,Manes.02G064600,6.460729491,0.96564632,0.111744505,8.641555287,5.55E-18,1.01E-15,+,,,,NA,(1 of 1) PTHR31050//PTHR31050:SF0 - FAMILY NOT NAMED // T25B24.5 PROTEIN,,,,PF06880,PTHR31050 PTHR31050:SF0,Protein of unknown function (DUF1262)
genetic,Manes.02G177900,1222.97403,0.521390687,0.061053077,8.539957619,1.34E-17,2.41E-15,+,,,carboxy-lyase activity; carboxylic acid metabolic process; pyridoxal phosphate binding,NA,"(1 of 2) K01590 - histidine decarboxylase (hdc, HDC)",GO:0016831 GO:0019752 GO:0030170,KOG0629,K01590,PF00282,PTHR11999 PTHR11999:SF83,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
genetic,Manes.05G064500,7.577198027,1.247067615,0.14668749,8.50152669,1.87E-17,3.30E-15,+,,,,NA,,,,,,,
genetic,Manes.09G181200,107.7060133,0.868630633,0.102370991,8.485124808,2.15E-17,3.76E-15,+,,,aspartic-type endopeptidase activity; proteolysis; lipid metabolic process,NA,(1 of 1) PTHR13683//PTHR13683:SF312 - ASPARTYL PROTEASES // SUBFAMILY NOT NAMED,GO:0004190 GO:0006508 GO:0006629,KOG1339,K08245,PF00026 PF03489 PF05184,PTHR13683 PTHR13683:SF312,
genetic,Manes.04G078866,12.15891923,0.994547543,0.117483255,8.465440798,2.55E-17,4.34E-15,+,,,DNA binding; regulation of DNA-templated transcription,NA,(1 of 18) PTHR31989//PTHR31989:SF21 - FAMILY NOT NAMED // NAC TRANSCRIPTION FACTOR-LIKE 9,GO:0003677 GO:0006355,,,PF02365,PTHR31989 PTHR31989:SF21,
genetic,Manes.02G034600,19.77519688,0.941601592,0.111614946,8.436160416,3.28E-17,5.49E-15,+,,,,NA,,,,,,,
genetic,Manes.10G141900,56.2558859,0.643839003,0.076578015,8.407622033,4.18E-17,6.95E-15,+,,,ADP binding,NA,(1 of 6) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,GO:0043531,,,PF00931,PTHR23155 PTHR23155:SF414,
genetic,Manes.01G250800,9327.651992,0.662989636,0.078966297,8.395855717,4.63E-17,7.62E-15,+,,,protein binding; protein-folding chaperone binding,NA,(1 of 1) PTHR33322:SF4 - BAG FAMILY MOLECULAR CHAPERONE REGULATOR 6,GO:0005515 GO:0051087,,,PF02179,PTHR33322 PTHR33322:SF4,BCL-2-associated athanogene 6
