"","gene_id","colors","locusName","Pathways","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"11","Manes.01G049360.v8.1","greenyellow","Manes.01G049360","","carb","(1 of 2) PTHR22298//PTHR22298:SF19 - ENDO-1;4-BETA-GLUCANASE // ENDOGLUCANASE 19-RELATED","GO:0004553 GO:0005975 GO:0030246","","","PF00759 PF09478","PTHR22298 PTHR22298:SF19","glycosyl hydrolase 9C2"
"12","Manes.01G054800.v8.1","blue","Manes.01G054800","","carb","(1 of 2) PTHR11214:SF106 - BETA-1;3-GALACTOSYLTRANSFERASE 6-RELATED","GO:0006486 GO:0008378 GO:0016020","KOG2288","","PF01762 PF13334","PTHR11214 PTHR11214:SF106","Galactosyltransferase family protein"
"13","Manes.01G056000.v8.1","blue","Manes.01G056000","","carb","(1 of 2) PTHR32227//PTHR32227:SF29 - FAMILY NOT NAMED // GLUCAN ENDO-1;3-BETA-GLUCOSIDASE 10-RELATED","GO:0004553 GO:0005975","","","PF00332","PTHR32227 PTHR32227:SF29","Glycosyl hydrolase superfamily protein"
"14","Manes.01G061600.v8.1","turquoise","Manes.01G061600","PWY66-399","carb","(1 of 1) PTHR18901//PTHR18901:SF4 - 2-DEOXYGLUCOSE-6-PHOSPHATE PHOSPHATASE 2 // SUBFAMILY NOT NAMED","GO:0008152 GO:0016787","KOG2914","","PF13419","PTHR18901 PTHR18901:SF4","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein"
"15","Manes.01G065100.v8.1","coral3","Manes.01G065100","PWY-63; PWY-3821; PWY-6527; PWY66-422; PWY-7344","carb","(1 of 4) 5.1.3.2//5.1.3.5 - UDP-glucose 4-epimerase / Uridine diphospho-galactose-4-epimerase // UDP-arabinose 4-epimerase","GO:0003978 GO:0006012","","K01784","PF02719","PTHR10366 PTHR10366:SF331","UDP-D-glucose/UDP-D-galactose 4-epimerase 1"
"16","Manes.01G066100.v8.1","brown2","Manes.01G066100","","carb","(1 of 1) K05293 - phosphatidylinositol glycan; class U (PIGU)","GO:0006506 GO:0016021","KOG2552","K05293","PF06728","PTHR13121 PTHR13121:SF0","GPI transamidase subunit PIG-U"
"17","Manes.01G069000.v8.1","brown4","Manes.01G069000","PWY-922; PWY-5910","carot","(1 of 2) 2.3.3.10 - Hydroxymethylglutaryl-CoA synthase / Hydroxymethylglutaryl coenzyme alpha-condensing enzyme","GO:0004421 GO:0008299","","K01641","PF01154 PF08540","PTHR11877 PTHR11877:SF20","hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase"
"18","Manes.01G074000.v8.1","blue","Manes.01G074000","PWY-4861","carb","(1 of 3) PTHR10366//PTHR10366:SF393 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED","GO:0003854 GO:0005975 GO:0006694 GO:0016616 GO:0016857 GO:0055114","KOG1371","K08679","PF01073","PTHR10366 PTHR10366:SF393","UDP-D-glucuronate 4-epimerase 5"
"19","Manes.01G074800.v8.1","magenta","Manes.01G074800","PWY-1081","carb","(1 of 2) PTHR31080:SF2 - F23N19.14-RELATED","GO:0004857","","","PF04043","PTHR31080 PTHR31080:SF2","pectin methylesterase inhibitor 1"
"20","Manes.01G074925.v8.1","grey","Manes.01G074925","PWY-1081","carb","(1 of 4) PTHR31080//PTHR31080:SF8 - FAMILY NOT NAMED // F23N19.12","GO:0004857","","","PF04043","PTHR31080 PTHR31080:SF8",""
"21","Manes.01G076500.v8.1","slateblue","Manes.01G076500","PWY66-373; PWY-621","carb","(1 of 2) PTHR31953//PTHR31953:SF17 - FAMILY NOT NAMED // ACID BETA-FRUCTOFURANOSIDASE 3; VACUOLAR-RELATED","GO:0004553 GO:0004564 GO:0004575 GO:0005975","","K01193","PF00251 PF08244 PF11837","PTHR31953 PTHR31953:SF17","Glycosyl hydrolases family 32 protein"
"22","Manes.01G076600.v8.1","yellow","Manes.01G076600","PENTOSE-P-PWY; NONOXIPENT-PWY; PWY-5723","carb","(1 of 1) PTHR10683//PTHR10683:SF10 - TRANSALDOLASE // TRANSALDOLASE-LIKE PROTEIN","GO:0005975","KOG2772","K00616","PF00923","PTHR10683 PTHR10683:SF10","Aldolase superfamily protein"
"23","Manes.01G089200.v8.1","orangered","Manes.01G089200","","carb","(1 of 3) PTHR11122//PTHR11122:SF22 - APOSPORY-ASSOCIATED PROTEIN C-RELATED // SUBFAMILY NOT NAMED","GO:0005975 GO:0016853","KOG1594","K01792","PF01263","PTHR11122 PTHR11122:SF22",""
"24","Manes.01G091600.v8.1","blue","Manes.01G091600","","carb","(1 of 3) K14413 - beta-1;3-galactosyltransferase (GALT1)","GO:0006486 GO:0008378 GO:0016020 GO:0030246","KOG2287","K14413","PF00337 PF01762","PTHR11214 PTHR11214:SF129",""
"25","Manes.01G091700.v8.1","yellow3","Manes.01G091700","GLYCOGENSYNTH-PWY; PWY-622","carb","(1 of 3) PTHR12526//PTHR12526:SF337 - GLYCOSYLTRANSFERASE // STARCH SYNTHASE 2; CHLOROPLASTIC/AMYLOPLASTIC","GO:0004373","","","PF00534 PF08323","PTHR12526 PTHR12526:SF337","starch synthase 2"
"26","Manes.01G097900.v8.1","blue","Manes.01G097900","PWY-7346; PWY-4821","carb","(1 of 4) K00012 - UDPglucose 6-dehydrogenase (UGDH; ugd)","GO:0003979 GO:0016616 GO:0051287 GO:0055114","","K00012","PF00984 PF03720 PF03721","PTHR11374 PTHR11374:SF28","UDP-glucose 6-dehydrogenase family protein"
"27","Manes.01G098400.v8.1","brown","Manes.01G098400","PWY-1061","carb","(1 of 2) PTHR32116//PTHR32116:SF2 - FAMILY NOT NAMED // GALACTURONOSYLTRANSFERASE 13-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF2","galacturonosyltransferase 13"
"28","Manes.01G105500.v8.1","cyan","Manes.01G105500","PWY-1061","carb","(1 of 2) PTHR32116:SF31 - GALACTURONOSYLTRANSFERASE 9-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF31","galacturonosyltransferase 9"
"29","Manes.01G105600.v8.1","maroon","Manes.01G105600","PENTOSE-P-PWY; OXIDATIVEPENT-PWY","carb","(1 of 4) 1.1.1.44 - Phosphogluconate dehydrogenase (NADP(+)-dependent; decarboxylating) / Phosphogluconic acid dehydrogenase","GO:0004616 GO:0006098 GO:0050661 GO:0055114","","K00033","PF00393 PF03446","PTHR11811 PTHR11811:SF33","6-phosphogluconate dehydrogenase family protein"
"30","Manes.01G109700.v8.1","yellow3","Manes.01G109700","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","carb","(1 of 1) 2.4.1.267 - Dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1;3-glucosyltransferase / Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1->3-glucosyltransferase","GO:0005789 GO:0016758","","K03848","PF03155","PTHR12413 PTHR12413:SF1","ALG6, ALG8 glycosyltransferase family"
"31","Manes.01G110800.v8.1","tan3","Manes.01G110800","PWY-3881; PWY-882; MANNCAT-PWY; PWY-5659","carb","(1 of 2) 5.3.1.8 - Mannose-6-phosphate isomerase / Phosphomannose isomerase","GO:0004476 GO:0005975 GO:0008270 GO:0009298","","K01809","PF01238","PTHR10309 PTHR10309:SF0","Mannose-6-phosphate isomerase, type I"
"32","Manes.01G116600.v8.1","grey","Manes.01G116600","PWY-4101; PWY-3801; PWY-621","carb","(1 of 2) PTHR10584:SF181 - PUTATIVE-RELATED","GO:0004747 GO:0006014","KOG2855","K00847","PF00294","PTHR10584 PTHR10584:SF181","pfkB-like carbohydrate kinase family protein"
"33","Manes.01G118100.v8.1","skyblue1","Manes.01G118100","PWY66-422","carb","(1 of 2) PTHR10091//PTHR10091:SF8 - ALDOSE-1-EPIMERASE // SUBFAMILY NOT NAMED","GO:0005975 GO:0016853 GO:0019318","KOG1604","K01785","PF01263","PTHR10091 PTHR10091:SF8",""
"34","Manes.01G118400.v8.1","maroon","Manes.01G118400","","carb","(1 of 4) PF05757 - Oxygen evolving enhancer protein 3 (PsbQ) (PsbQ)","GO:0005509 GO:0009523 GO:0009654 GO:0015979 GO:0019898","","","PF05757","PTHR33399 PTHR33399:SF6","PsbQ-like 3"
"35","Manes.01G123000.v8.1","lightsteelblue1","Manes.01G123000","PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343","carb","(1 of 3) K00963 - UTP--glucose-1-phosphate uridylyltransferase (UGP2; galU; galF)","GO:0003983 GO:0006011 GO:0008152 GO:0070569","","K00963","PF01704","PTHR11952 PTHR11952:SF13","UDP-glucose pyrophosphorylase 2"
"36","Manes.01G124200.v8.1","darkseagreen4","Manes.01G124200","CAROTENOID-PWY; PWY-6475","carot","(1 of 3) K02291 - phytoene synthase (crtB)","GO:0009058 GO:0016740","KOG1459","K02291","PF00494","PTHR31480 PTHR31480:SF2","PHYTOENE SYNTHASE"
"37","Manes.01G138100.v8.1","lightskyblue4","Manes.01G138100","","carb","(1 of 1) PTHR31451//PTHR31451:SF8 - FAMILY NOT NAMED // MANNAN ENDO-1;4-BETA-MANNOSIDASE 3-RELATED","GO:0004553 GO:0005975","","K19355","PF00150","PTHR31451 PTHR31451:SF8","Glycosyl hydrolase superfamily protein"
"38","Manes.01G141200.v8.1","pink","Manes.01G141200","","carb","(1 of 2) PTHR23421:SF79 - BETA-GALACTOSIDASE 3","GO:0004553 GO:0005975 GO:0030246","","","PF01301 PF02140","PTHR23421 PTHR23421:SF79","beta-galactosidase 3"
"39","Manes.01G144700.v8.1","blue","Manes.01G144700","PWY-66","carb","(1 of 2) 4.2.1.47 - GDP-mannose 4;6-dehydratase / Guanosine diphosphomannose oxidoreductase","GO:0008446 GO:0019673","","K01711","PF16363","PTHR10366 PTHR10366:SF346","NAD(P)-binding Rossmann-fold superfamily protein"
"40","Manes.01G157500.v8.1","black","Manes.01G157500","PWY-922; PWY-5910","carot","(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase","GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114","","K00021","PF00368","PTHR10572 PTHR10572:SF9",""
"41","Manes.01G159800.v8.1","turquoise","Manes.01G159800","PWY-6527; PWY0-1301","carb","(1 of 2) PTHR11452//PTHR11452:SF33 - ALPHA-GALACTOSIDASE/ALPHA-N-ACETYLGALACTOSAMINIDASE // SUBFAMILY NOT NAMED","GO:0004553 GO:0005975","","K07407","PF16499","PTHR11452 PTHR11452:SF33","alpha-galactosidase 2"
"42","Manes.01G164700.v8.1","lightblue4","Manes.01G164700","","carb","(1 of 1) PTHR30620//PTHR30620:SF33 - PERIPLASMIC BETA-GLUCOSIDASE-RELATED // BETA-D-GLUCAN EXOHYDROLASE-LIKE PROTEIN-RELATED","GO:0004553 GO:0005975","","K05349","PF00933 PF01915","PTHR30620 PTHR30620:SF33","Glycosyl hydrolase family protein"
"43","Manes.01G165700.v8.1","pink","Manes.01G165700","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 1) PTHR11902//PTHR11902:SF13 - ENOLASE // CYTOSOLIC ENOLASE 3","GO:0000015 GO:0000287 GO:0004634 GO:0006096","","K01689","PF00113 PF03952","PTHR11902 PTHR11902:SF13","cytosolic enolase"
"44","Manes.01G173500.v8.1","yellow","Manes.01G173500","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 5) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase","GO:0004807 GO:0008152","KOG1643","K01803","PF00121","PTHR21139 PTHR21139:SF6","triosephosphate isomerase"
"45","Manes.01G173700.v8.1","greenyellow","Manes.01G173700","","carb","(1 of 2) PTHR32227//PTHR32227:SF62 - FAMILY NOT NAMED // GLUCOSIDASE-LIKE PROTEIN","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF62","O-Glycosyl hydrolases family 17 protein"
"46","Manes.01G176400.v8.1","grey","Manes.01G176400","PWY-7560","carot","(1 of 2) 2.7.1.148 - 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase / CMK","GO:0005524 GO:0016114 GO:0050515","","K00919","PF00288 PF08544","PTHR20861 PTHR20861:SF2","4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase"
"47","Manes.01G182700.v8.1","blue2","Manes.01G182700","PWY-1081","carb","(1 of 2) PTHR31707:SF8 - PECTINESTERASE/PECTINESTERASE INHIBITOR 34-RELATED","GO:0004857 GO:0005618 GO:0030599 GO:0042545","","","PF01095 PF04043","PTHR31707 PTHR31707:SF8","Plant invertase/pectin methylesterase inhibitor superfamily"
"48","Manes.01G184000.v8.1","darkseagreen2","Manes.01G184000","GLYCOGENSYNTH-PWY; PWY-622","carb","(1 of 3) K00703 - starch synthase (E2.4.1.21; glgA)","GO:0004373","","K00703","PF00534 PF08323","PTHR12526 PTHR12526:SF337","Glycogen/starch synthases, ADP-glucose type"
"49","Manes.01G189800.v8.1","lightskyblue4","Manes.01G189800","","carb","(1 of 3) 3.2.1.1//3.2.1.141 - Alpha-amylase / Glycogenase // 4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase / Maltooligosyl trehalose trehalohydrolase","GO:0003824 GO:0004556 GO:0005509 GO:0005975 GO:0043169","KOG0471","","PF00128 PF07821","PTHR10357 PTHR10357:SF139","alpha-amylase-like 3"
"50","Manes.01G192900.v8.1","grey","Manes.01G192900","","carb","(1 of 3) PTHR11214:SF103 - BETA-1;3-GALACTOSYLTRANSFERASE 17-RELATED","GO:0006486 GO:0008378 GO:0016020 GO:0030246","KOG2287","","PF00337 PF01762","PTHR11214 PTHR11214:SF103",""
"51","Manes.01G194700.v8.1","green","Manes.01G194700","PWY-1061","carb","(1 of 2) PTHR13778//PTHR13778:SF9 - GLYCOSYLTRANSFERASE 8 DOMAIN-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0016757","","","PF01501","PTHR13778 PTHR13778:SF9","glucosyl transferase family 8"
"52","Manes.01G198900.v8.1","darkseagreen2","Manes.01G198900","","carb","(1 of 4) PTHR10788//PTHR10788:SF14 - TREHALOSE-6-PHOSPHATE SYNTHASE // ALPHA;ALPHA-TREHALOSE-PHOSPHATE SYNTHASE [UDP-FORMING] 10-RELATED","GO:0003824 GO:0005992 GO:0008152","","K16055","PF00982 PF02358","PTHR10788 PTHR10788:SF14","trehalose-phosphatase/synthase 9"
"53","Manes.01G218200.v8.1","darkred","Manes.01G218200","PWY-3121; PWY-6002; PWY-7089; PWY-5176; PWY-7092; PWY-7091","carb","(1 of 4) PTHR10353//PTHR10353:SF29 - GLYCOSYL HYDROLASE // BETA-GLUCOSIDASE 1-RELATED","GO:0004553 GO:0005975","","K01188","PF00232","PTHR10353 PTHR10353:SF29","beta glucosidase 11"
"54","Manes.01G219000.v8.1","blue3","Manes.01G219000","PWY-4821","carb","(1 of 2) PTHR10366//PTHR10366:SF465 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // UDP-GLUCURONIC ACID DECARBOXYLASE 1","GO:0003854 GO:0006694 GO:0016616 GO:0055114","","K08678","PF01073","PTHR10366 PTHR10366:SF465","NAD(P)-binding Rossmann-fold superfamily protein"
"55","Manes.01G221700.v8.1","lightgreen","Manes.01G221700","PWY-1081","carb","(1 of 1) PTHR31707:SF25 - PECTINESTERASE/PECTINESTERASE INHIBITOR 39-RELATED","GO:0004857 GO:0005618 GO:0030599 GO:0042545","","K01051","PF01095 PF04043","PTHR31707 PTHR31707:SF25","Plant invertase/pectin methylesterase inhibitor superfamily"
"56","Manes.01G221800.v8.1","tan4","Manes.01G221800","","carb","(1 of 1) PTHR22298//PTHR22298:SF55 - ENDO-1;4-BETA-GLUCANASE // ENDOGLUCANASE 1-RELATED","GO:0004553 GO:0005975","","","PF00759","PTHR22298 PTHR22298:SF55","glycosyl hydrolase 9B13"
"57","Manes.01G221900.v8.1","lightsteelblue1","Manes.01G221900","PWY-3801","carb","(1 of 1) PF00862//PF13524 - Sucrose synthase (Sucrose_synth) // Glycosyl transferases group 1 (Glyco_trans_1_2)","GO:0005985 GO:0016157","","","PF00862 PF13524","PTHR12526 PTHR12526:SF348","sucrose synthase 3"
"58","Manes.01G224000.v8.1","palevioletred3","Manes.01G224000","PWY-1061","carb","(1 of 2) PTHR13778:SF8 - GALACTURONOSYLTRANSFERASE-LIKE 6-RELATED","GO:0016757","","","PF01501","PTHR13778 PTHR13778:SF8","galacturonosyltransferase-like 7"
"59","Manes.01G231500.v8.1","darkturquoise","Manes.01G231500","PWY-5337","carb","(1 of 2) PTHR11183//PTHR11183:SF54 - GLYCOGENIN // SUBFAMILY NOT NAMED","GO:0016757","KOG1950","","PF01501","PTHR11183 PTHR11183:SF54","galactinol synthase 1"
"60","Manes.01G236700.v8.1","navajowhite1","Manes.01G236700","GLYCOGENSYNTH-PWY; PWY-622","carb","(1 of 1) PTHR22572//PTHR22572:SF112 - SUGAR-1-PHOSPHATE GUANYL TRANSFERASE // SUBFAMILY NOT NAMED","GO:0005978 GO:0008878 GO:0009058 GO:0016779","KOG1322","K00975","PF00483","PTHR22572 PTHR22572:SF112",""
"61","Manes.01G243600.v8.1","yellow","Manes.01G243600","PWY-6","carb","(1 of 1) 2.7.1.52 - Fucokinase / L-fucose kinase","GO:0005524 GO:0005737 GO:0008152 GO:0016301 GO:0016772 GO:0016773","","K05305","PF00288 PF07959","PTHR32463","L-fucokinase/GDP-L-fucose pyrophosphorylase"
"62","Manes.01G249800.v8.1","orange","Manes.01G249800","","carb","(1 of 3) PTHR11122//PTHR11122:SF10 - APOSPORY-ASSOCIATED PROTEIN C-RELATED // APOSPORY-ASSOCIATED PROTEIN C-RELATED","GO:0005975 GO:0016853","","","PF01263","PTHR11122 PTHR11122:SF10","Galactose mutarotase-like superfamily protein"
"63","Manes.01G259900.v8.1","cyan","Manes.01G259900","PWY-882; PWY-5659","carb","(1 of 2) K17497 - phosphomannomutase (PMM)","GO:0003824 GO:0004615 GO:0005737 GO:0008152 GO:0009298","KOG3189","K17497","PF03332","PTHR10466","phosphomannomutase"
"64","Manes.01G260100.v8.1","pink","Manes.01G260100","GLUCONEO-PWY; PWY-7115","carb","(1 of 3) K00028 - malate dehydrogenase (decarboxylating) (E1.1.1.39)","GO:0004470 GO:0004471 GO:0006108 GO:0051287 GO:0055114","","K00028","PF00390 PF03949","PTHR23406 PTHR23406:SF32","NAD-dependent malic enzyme 2"
"65","Manes.01G262300.v8.1","darkolivegreen2","Manes.01G262300","","carb","(1 of 43) 2.4.1.207 - Xyloglucan:xyloglucosyl transferase / Xyloglucan endotransglycosylase","GO:0004553 GO:0005975","","","PF00722","PTHR31062 PTHR31062:SF9",""
"66","Manes.01G264000.v8.1","mediumorchid","Manes.01G264000","PWY-1061","carb","(1 of 2) PTHR32116//PTHR32116:SF4 - FAMILY NOT NAMED // POLYGALACTURONATE 4-ALPHA-GALACTURONOSYLTRANSFERASE-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF4","galacturonosyltransferase 1"
"67","Manes.01G266700.v8.1","orange","Manes.01G266700","PWY-4861","carb","(1 of 2) PTHR10366//PTHR10366:SF356 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // UDP-GLUCURONATE 4-EPIMERASE 4","GO:0005975 GO:0016857","KOG1371","K08679","PF04321","PTHR10366 PTHR10366:SF356","UDP-D-glucuronate 4-epimerase 3"
"68","Manes.01G270900.v8.1","grey","Manes.01G270900","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","carb","(1 of 5) K00025 - malate dehydrogenase (MDH1)","GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00025","PF00056 PF02866","PTHR23382 PTHR23382:SF7",""
"69","Manes.02G000800.v8.1","greenyellow","Manes.02G000800","","carb","(1 of 2) PTHR11214:SF106 - BETA-1;3-GALACTOSYLTRANSFERASE 6-RELATED","GO:0006486 GO:0008378 GO:0016020","","","PF01762 PF13334","PTHR11214 PTHR11214:SF106","Galactosyltransferase family protein"
"70","Manes.02G001000.v8.1","midnightblue","Manes.02G001000","PWY-622","carb","(1 of 2) K13679 - granule-bound starch synthase [EC:2.4.1.242] Glc a1-4 Glc (WAXY)","GO:0004373","","K13679","PF00534 PF08323","PTHR12526 PTHR12526:SF383","UDP-Glycosyltransferase superfamily protein"
"71","Manes.02G006200.v8.1","greenyellow","Manes.02G006200","PWY-6724","carb","(1 of 7) K01177 - beta-amylase (E3.2.1.2)","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF7",""
"72","Manes.02G007500.v8.1","violet","Manes.02G007500","PWY-1001","carb","(1 of 1) PF03552//PF13632 - Cellulose synthase (Cellulose_synt) // Glycosyl transferase family group 2 (Glyco_trans_2_3)","GO:0016020 GO:0016760 GO:0030244","","","PF03552 PF13632","PTHR13301 PTHR13301:SF51","cellulose synthase like G3"
"73","Manes.02G009300.v8.1","lavenderblush1","Manes.02G009300","PWY-3821; PWY-6527; PWY66-422; PWY-7344; PWY-63","carb","(1 of 2) PTHR10366//PTHR10366:SF308 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED","GO:0003978 GO:0006012","","K01784","PF02719","PTHR10366 PTHR10366:SF308","UDP-D-glucose/UDP-D-galactose 4-epimerase 5"
"74","Manes.02G010600.v8.1","blue","Manes.02G010600","","carb","(1 of 2) PTHR22298:SF19 - ENDOGLUCANASE 19-RELATED","GO:0004553 GO:0005975 GO:0030246","","","PF00759 PF09478","PTHR22298 PTHR22298:SF19","glycosyl hydrolase 9C2"
"75","Manes.02G010900.v8.1","navajowhite","Manes.02G010900","","carb","(1 of 2) PTHR31339//PTHR31339:SF3 - FAMILY NOT NAMED // GLYCOSIDE HYDROLASE FAMILY 28 PROTEIN / POLYGALACTURONASE (PECTINASE) FAMILY PROTEIN","GO:0004650 GO:0005975","","","PF00295","PTHR31339 PTHR31339:SF3","Pectin lyase-like superfamily protein"
"76","Manes.02G012900.v8.1","paleturquoise","Manes.02G012900","","carb","(1 of 2) PTHR11214//PTHR11214:SF7 - BETA-1;3-N-ACETYLGLUCOSAMINYLTRANSFERASE // SUBFAMILY NOT NAMED","GO:0006486 GO:0008378 GO:0016020","KOG2288","","PF01762 PF13334","PTHR11214 PTHR11214:SF7",""
"77","Manes.02G013500.v8.1","lavenderblush2","Manes.02G013500","","carb","(1 of 2) PTHR10231:SF48 - CMP-SIALIC ACID TRANSPORTER 1","GO:0000139 GO:0005338 GO:0005351 GO:0008643 GO:0015780 GO:0016021 GO:0055085","KOG2234","K15272","PF08449","PTHR10231 PTHR10231:SF48","Nucleotide-sugar transporter family protein"
"78","Manes.02G017610.v8.1","palevioletred1","Manes.02G017610","PWY-7560","carot","(1 of 1) 4.6.1.12 - 2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase / MECDP-synthase","GO:0008685 GO:0016114","","K01770","PF02542","PTHR32125","isoprenoid F"
"79","Manes.02G030900.v8.1","lavenderblush1","Manes.02G030900","PWY-922; PWY-5910","carot","(1 of 2) 2.3.3.10 - Hydroxymethylglutaryl-CoA synthase / Hydroxymethylglutaryl coenzyme alpha-condensing enzyme","GO:0004421 GO:0008299","","K01641","PF01154 PF08540","PTHR11877 PTHR11877:SF20","hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase"
"80","Manes.02G034700.v8.1","moccasin","Manes.02G034700","PWY-1081","carb","(1 of 2) PTHR31080:SF2 - F23N19.14-RELATED","GO:0004857","","","PF04043","PTHR31080 PTHR31080:SF2","pectin methylesterase inhibitor 1"
