"","locusName","Description","class","Pathways","Pathways_Desc","GODescription","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"18","Manes.01G173500","(1 of 5) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","triose-phosphate isomerase activity; metabolic process","GO:0004807 GO:0008152","KOG1643","K01803","PF00121","PTHR21139 PTHR21139:SF6","triosephosphate isomerase"
"19","Manes.01G184000","(1 of 3) K00703 - starch synthase (E2.4.1.21, glgA)","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","GO:0004373","","K00703","PF00534 PF08323","PTHR12526 PTHR12526:SF337","Glycogen/starch synthases, ADP-glucose type"
"20","Manes.01G194500","(1 of 2) PTHR11516//PTHR11516:SF38 - PYRUVATE DEHYDROGENASE E1 COMPONENT, ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR // SUBFAMILY NOT NAMED","carbohydrate","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle","GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231","","K00161","PF00676","PTHR11516 PTHR11516:SF38","pyruvate dehydrogenase complex E1 alpha subunit"
"21","Manes.01G200300","(1 of 1) PTHR10584:SF184 - RIBOKINASE","carbohydrate","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","","","KOG2855","","PF00294","PTHR10584 PTHR10584:SF184","pfkB-like carbohydrate kinase family protein"
"22","Manes.01G221900","(1 of 1) PF00862//PF13524 - Sucrose synthase (Sucrose_synth) // Glycosyl transferases group 1 (Glyco_trans_1_2)","carbohydrate","PWY-3801","sucrose degradation II (sucrose synthase)","sucrose metabolic process; sucrose synthase activity","GO:0005985 GO:0016157","","","PF00862 PF13524","PTHR12526 PTHR12526:SF348","sucrose synthase 3"
"23","Manes.01G223200","(1 of 3) 4.2.1.2 - Fumarate hydratase / Fumarase","carbohydrate","PWY-5464; PWY-5690; PWY-561","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation","fumarate hydratase activity; tricarboxylic acid cycle; fumarate metabolic process; lyase activity; tricarboxylic acid cycle heteromeric enzyme complex","GO:0004333 GO:0006099 GO:0006106 GO:0016829 GO:0045239","","K01679","PF00206 PF10415","PTHR11444 PTHR11444:SF1","fumarase 1"
"24","Manes.01G236700","(1 of 1) PTHR22572//PTHR22572:SF112 - SUGAR-1-PHOSPHATE GUANYL TRANSFERASE // SUBFAMILY NOT NAMED","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity","GO:0005978 GO:0008878 GO:0009058 GO:0016779","KOG1322","K00975","PF00483","PTHR22572 PTHR22572:SF112",""
"25","Manes.01G239900","(1 of 2) PTHR11516:SF25 - PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT ALPHA-3, CHLOROPLASTIC","carbohydrate","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle","GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231","","K00161","PF00676","PTHR11516 PTHR11516:SF25","pyruvate dehydrogenase E1 alpha"
"26","Manes.01G263700","(1 of 1) PTHR10584//PTHR10584:SF192 - SUGAR KINASE // FRUCTOKINASE 1","carbohydrate","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","","","KOG2855","","PF00294","PTHR10584 PTHR10584:SF192",""
"27","Manes.01G270900","(1 of 5) K00025 - malate dehydrogenase (MDH1)","carbohydrate","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","malate metabolic process; oxidoreductase activity; malate dehydrogenase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00025","PF00056 PF02866","PTHR23382 PTHR23382:SF7",""
"28","Manes.02G001000","(1 of 2) K13679 - granule-bound starch synthase [EC:2.4.1.242] Glc a1-4 Glc (WAXY)","carbohydrate","PWY-622","starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","GO:0004373","","K13679","PF00534 PF08323","PTHR12526 PTHR12526:SF383","UDP-Glycosyltransferase superfamily protein"
"29","Manes.02G001500","(1 of 1) PTHR11695//PTHR11695:SF395 - ALCOHOL DEHYDROGENASE RELATED // ALCOHOL DEHYDROGENASE-LIKE 3-RELATED","carbohydrate","PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389","pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation","zinc ion binding; oxidoreductase activity","GO:0008270 GO:0016491 GO:0055114","","K00001","PF00107 PF08240","PTHR11695 PTHR11695:SF395","GroES-like zinc-binding dehydrogenase family protein"
"30","Manes.02G006200","(1 of 7) K01177 - beta-amylase (E3.2.1.2)","carbohydrate","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF7",""
"31","Manes.02G035900","(1 of 2) PTHR31953//PTHR31953:SF17 - FAMILY NOT NAMED // ACID BETA-FRUCTOFURANOSIDASE 3, VACUOLAR-RELATED","carbohydrate","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","hydrolase activity, hydrolyzing O-glycosyl compounds; beta-fructofuranosidase activity; sucrose alpha-glucosidase activity; carbohydrate metabolic process","GO:0004553 GO:0004564 GO:0004575 GO:0005975","","K01193","PF00251 PF08244 PF11837","PTHR31953 PTHR31953:SF17","Glycosyl hydrolases family 32 protein"
"32","Manes.02G038200","(1 of 2) 1.1.1.27 - L-lactate dehydrogenase / L-lactic dehydrogenase","carbohydrate","PWY-5481; ANAEROFRUCAT-PWY","pyruvate fermentation to lactate; homolactic fermentation","L-lactate dehydrogenase activity; cytoplasm; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process","GO:0004459 GO:0005737 GO:0016491 GO:0016616 GO:0019752 GO:0055114","","K00016","PF00056 PF02866","PTHR11540 PTHR11540:SF3","Lactate/malate dehydrogenase family protein"
"33","Manes.02G046733","(1 of 3) K00703 - starch synthase (E2.4.1.21, glgA)","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","GO:0004373","","K00703","PF00534 PF08323","PTHR12526 PTHR12526:SF337","starch synthase 2"
"34","Manes.02G052200","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","carbohydrate","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35"
"35","Manes.02G052240","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","carbohydrate","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35"
"36","Manes.02G052280","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","carbohydrate","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35"
"37","Manes.02G052360","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","carbohydrate","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35"
"38","Manes.02G052520","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","carbohydrate","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35"
"39","Manes.02G052600","(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase","carbohydrate","PWY-7238","sucrose biosynthesis II","1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding","GO:0004645 GO:0005975 GO:0008184 GO:0030170","","K00688","PF00343","PTHR11468 PTHR11468:SF8","Glycosyl transferase, family 35"
"40","Manes.02G064400","(1 of 1) PTHR31209//PTHR31209:SF0 - FAMILY NOT NAMED // COFACTOR-INDEPENDENT PHOSPHOGLYCERATE MUTASE","carbohydrate","GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042","gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol)","catalytic activity; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity; metal ion binding","GO:0003824 GO:0046537 GO:0046872","","","PF01676 PF10143","PTHR31209 PTHR31209:SF0","Cofactor-independent phosphoglycerate mutase"
"41","Manes.02G075300","(1 of 2) PTHR10584:SF181 - PUTATIVE-RELATED","carbohydrate","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","ribokinase activity; D-ribose metabolic process","GO:0004747 GO:0006014","KOG2855","","PF00294","PTHR10584 PTHR10584:SF181",""
"42","Manes.02G080600","(1 of 3) K00963 - UTP--glucose-1-phosphate uridylyltransferase (UGP2, galU, galF)","carbohydrate","PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343","sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis","UTP:glucose-1-phosphate uridylyltransferase activity; UDP-glucose metabolic process; metabolic process; uridylyltransferase activity","GO:0003983 GO:0006011 GO:0008152 GO:0070569","","K00963","PF01704","PTHR11952 PTHR11952:SF13","UDP-glucose pyrophosphorylase 2"
"43","Manes.02G081500","(1 of 2) PTHR12526:SF379 - SUCROSE SYNTHASE 5","carbohydrate","PWY-3801","sucrose degradation II (sucrose synthase)","sucrose metabolic process; sucrose synthase activity","GO:0005985 GO:0016157","KOG0853","K00695","PF00534 PF00862","PTHR12526 PTHR12526:SF379","sucrose synthase 6"
"44","Manes.02G082800","(1 of 1) PTHR12526//PTHR12526:SF392 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","GO:0004373","","K00703","PF00534 PF08323","PTHR12526 PTHR12526:SF392",""
"45","Manes.02G086900","(1 of 4) 2.3.3.1//2.3.3.16 - Citrate (Si)-synthase / Citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO->acetyl-CoA) // Citrate synthase (unknown stereospecificity) / Oxaloacetate transacetase","carbohydrate","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","acyltransferase activity, acyl groups converted into alkyl on transfer","GO:0046912","","K01647","PF00285","PTHR11739 PTHR11739:SF4","citrate synthase 2"
"46","Manes.02G090600","(1 of 2) KOG1794 - N-Acetylglucosamine kinase","carbohydrate","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation","","","KOG1794","","PF01869","PTHR12862 PTHR12862:SF6","Actin-like ATPase superfamily protein"
"47","Manes.02G093200","(1 of 2) K00234 - succinate dehydrogenase (ubiquinone) flavoprotein subunit (SDHA, SDH1)","carbohydrate","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","tricarboxylic acid cycle; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors; electron transport chain; flavin adenine dinucleotide binding","GO:0006099 GO:0016491 GO:0016627 GO:0022900 GO:0050660 GO:0055114","","K00234","PF00890 PF02910","PTHR11632 PTHR11632:SF54","succinate dehydrogenase 1-1"
"48","Manes.02G101600","(1 of 3) PTHR11627//PTHR11627:SF15 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE 2, CHLOROPLASTIC-RELATED","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF15","fructose-bisphosphate aldolase 2"
"49","Manes.02G110200","(1 of 1) PTHR11670//PTHR11670:SF40 - ACONITASE // ACONITATE HYDRATASE 1","carbohydrate","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","metabolic process","GO:0008152","","K01681","PF00330 PF00694","PTHR11670 PTHR11670:SF40","aconitase 1"
"50","Manes.02G112500","(1 of 4) 1.1.1.41 - Isocitrate dehydrogenase (NAD(+)) / Nicotinamide adenine dinucleotide isocitrate dehydrogenase","carbohydrate","PWY-5464; PWY-5690; PWY-6549","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III","magnesium ion binding; isocitrate dehydrogenase (NAD+) activity; tricarboxylic acid cycle; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding","GO:0000287 GO:0004449 GO:0006099 GO:0016616 GO:0051287 GO:0055114","","K00030","PF00180","PTHR11835 PTHR11835:SF51","isocitrate dehydrogenase 1"
