"","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"29","Manes.01G001600","","","nucleic acid binding",NA,"(1 of 8) PTHR24012//PTHR24012:SF490 - FAMILY NOT NAMED // UBP1-ASSOCIATED PROTEIN 2C","GO:0003676","KOG4205","K12741","PF00076","PTHR24012 PTHR24012:SF490",""
"30","Manes.01G001700","","","nucleic acid binding",NA,"(1 of 8) PTHR24012//PTHR24012:SF490 - FAMILY NOT NAMED // UBP1-ASSOCIATED PROTEIN 2C","GO:0003676","KOG4205","K12741","PF00076","PTHR24012 PTHR24012:SF490",""
"31","Manes.01G001800","PWY-7434","terminal <i>O</i>-glycans residues modification","membrane; glycosyltransferase activity",NA,"(1 of 1) 2.4.1.149 - N-acetyllactosaminide beta-1;3-N-acetylglucosaminyltransferase / Poly-N-acetyllactosamine extension enzyme","GO:0016020 GO:0016757","KOG2246","","PF02434","PTHR10811 PTHR10811:SF5","Protein of unknown function (DUF604)"
"32","Manes.01G001900","","","",NA,"(1 of 1) PTHR21654//PTHR21654:SF13 - FAMILY NOT NAMED // TRIHELIX TRANSCRIPTION FACTOR GTL1","","KOG4282","","PF13837","PTHR21654 PTHR21654:SF13","GT-2-like 1"
"33","Manes.01G001951","","","",NA,"","","","","","",""
"34","Manes.01G002051","","","protein binding; response to sucrose; cellular response to nitrogen levels",NA,"(1 of 4) K07199 - 5'-AMP-activated protein kinase; regulatory beta subunit (PRKAB)","GO:0005515 GO:0009744 GO:0043562","KOG1616","K07199","PF04739 PF16561","PTHR10343 PTHR10343:SF51","5'-AMP-activated protein kinase beta-2 subunit protein"
"35","Manes.01G002151","","","",NA,"(1 of 2) PTHR23155//PTHR23155:SF518 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","","","","","PTHR23155 PTHR23155:SF518",""
"36","Manes.01G002300","","","",NA,"","","","","","PTHR34283 PTHR34283:SF1","response to low sulfur 3"
"37","Manes.01G002350","","","protein serine/threonine phosphatase activity; GTP binding; protein dephosphorylation",NA,"(1 of 14) PTHR13832//PTHR13832:SF286 - PROTEIN PHOSPHATASE 2C // PROTEIN PHOSPHATASE 2C 33-RELATED","GO:0004722 GO:0005525 GO:0006470","","","PF00025","PTHR13832 PTHR13832:SF286",""
"38","Manes.01G002400","","","calcium ion binding",NA,"(1 of 5) PTHR23050//PTHR23050:SF166 - CALCIUM BINDING PROTEIN // CALMODULIN-5","GO:0005509","KOG0027","K02183","PF13499","PTHR23050 PTHR23050:SF166","calmodulin 7"
"39","Manes.01G002500","","","intracellular protein transport; endoplasmic reticulum to Golgi vesicle-mediated transport; zinc ion binding; COPII vesicle coat",NA,"(1 of 5) K14006 - protein transport protein SEC23 (SEC23)","GO:0006886 GO:0006888 GO:0008270 GO:0030127","","K14006","PF00626 PF04810 PF04811 PF04815 PF08033","PTHR11141","Sec23/Sec24 protein transport family protein"
"40","Manes.01G002600","","","",NA,"(1 of 2) 3.7.1.9 - 2-hydroxymuconate-6-semialdehyde hydrolase / 2-hydroxymuconate-semialdehyde hydrolase","","KOG1454","","PF00561","PTHR10992 PTHR10992:SF881","alpha/beta-Hydrolases superfamily protein"
"41","Manes.01G002700","LIPAS-PWY","triacylglycerol degradation","hydrolase activity, acting on ester bonds",NA,"(1 of 104) 3.1.1.3 - Triacylglycerol lipase / Triglyceride lipase","GO:0016788","","","PF00657","PTHR22835","GDSL-like Lipase/Acylhydrolase superfamily protein"
"42","Manes.01G002800","","","hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",NA,"(1 of 2) PTHR22298//PTHR22298:SF32 - ENDO-1;4-BETA-GLUCANASE // SUBFAMILY NOT NAMED","GO:0004553 GO:0005975","","","PF00759","PTHR22298 PTHR22298:SF32",""
"43","Manes.01G002901","","","DNA binding; DNA topoisomerase activity; DNA topoisomerase type I (single strand cut, ATP-independent) activity; DNA topological change",NA,"(1 of 1) PTHR11390//PTHR11390:SF20 - PROKARYOTIC DNA TOPOISOMERASE // DNA TOPOISOMERASE 3-BETA-1","GO:0003677 GO:0003916 GO:0003917 GO:0006265","","K03165","PF01131 PF01751","PTHR11390 PTHR11390:SF20","DNA topoisomerase, type IA, core"
"44","Manes.01G003000","","","",NA,"","","","","","",""
"45","Manes.01G003100","","","microtubule motor activity; ATP binding; kinesin complex; microtubule-based movement; microtubule binding",NA,"(1 of 1) KOG0242//KOG4280 - Kinesin-like protein // Kinesin-like protein","GO:0003777 GO:0005524 GO:0005871 GO:0007018 GO:0008017","KOG4280","K10400","PF00225 PF12711","PTHR24115 PTHR24115:SF413","phragmoplast-associated kinesin-related protein, putative"
"46","Manes.01G003200","","","selenium binding",NA,"(1 of 1) K17285 - selenium-binding protein 1 (SELENBP1)","GO:0008430","","K17285","PF05694","PTHR23300","selenium-binding protein 2"
"47","Manes.01G003300","","","",NA,"(1 of 4) PTHR11062:SF110 - EXOSTOSIN FAMILY PROTEIN","","KOG1021","","PF03016","PTHR11062 PTHR11062:SF110","Exostosin family protein"
"48","Manes.01G003400","","","",NA,"","","","","","PTHR33132 PTHR33132:SF9","serine-rich protein-related"
"49","Manes.01G003500","","","protein binding",NA,"(1 of 9) PF00397 - WW domain (WW)","GO:0005515","","","PF00397","","WW domain-containing protein"
"50","Manes.01G003700","","","calcium ion binding",NA,"(1 of 1) PTHR23056:SF44 - CALCINEURIN B-LIKE PROTEIN 2","GO:0005509","KOG0034","K06268","PF13499 PF13833","PTHR23056 PTHR23056:SF44","calcineurin B-like 3"
"51","Manes.01G003800","","","ATP binding; protein folding; response to stress; unfolded protein binding",NA,"(1 of 2) PTHR11528//PTHR11528:SF49 - HEAT SHOCK PROTEIN 90 // SUBFAMILY NOT NAMED","GO:0005524 GO:0006457 GO:0006950 GO:0051082","","K04079","PF00183 PF02518","PTHR11528 PTHR11528:SF49","heat shock protein 81-3"
"52","Manes.01G003900","","","transport; vesicle-mediated transport",NA,"(1 of 5) KOG2887 - Membrane protein involved in ER to Golgi transport","GO:0006810 GO:0016021 GO:0016192","KOG2887","","PF04178","PTHR23137 PTHR23137:SF10","Got1/Sft2-like vescicle transport protein family"
"53","Manes.01G004000","","","protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation",NA,"(1 of 61) PF00069//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)","GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468","KOG1187","","PF00069 PF08263 PF13855","PTHR27000 PTHR27000:SF186","Leucine-rich receptor-like protein kinase family protein"
"54","Manes.01G004100","","","regulation of DNA repair",NA,"(1 of 1) PTHR33602:SF1 - REGULATORY PROTEIN RECX","GO:0006282","","","PF02631","PTHR33602","regulatory protein RecX family protein"
"55","Manes.01G004200","PWY-7511","protein ubiquitylation","protein binding; zinc ion binding",NA,"(1 of 301) 6.3.2.19 - Transferred entry: 2.3.2.23; 2.3.2.27 and 6.2.1.45","GO:0005515 GO:0008270","","","PF13639","PTHR22763",""
"56","Manes.01G004300","","","",NA,"(1 of 2) PTHR34114:SF2 - ARABINOGALACTAN PEPTIDE 12-RELATED","","","","","PTHR34114 PTHR34114:SF2","arabinogalactan protein 13"
"57","Manes.01G004400","","","",NA,"(1 of 15) PF05910 - Plant protein of unknown function (DUF868) (DUF868)","","","","PF05910","PTHR31972 PTHR31972:SF2",""
"58","Manes.01G004466","","","microtubule motor activity; protein binding; ATP binding; kinesin complex; microtubule-based movement; microtubule binding",NA,"(1 of 13) K10406 - kinesin family member C2/C3 (KIFC2_3)","GO:0003777 GO:0005515 GO:0005524 GO:0005871 GO:0007018 GO:0008017","","K10406","PF00225 PF00307","PTHR24115 PTHR24115:SF512","kinesin-like protein 1"
"59","Manes.01G004532","","","",NA,"","","","","","",""
"60","Manes.01G004600","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","carb","(1 of 2) PTHR11627//PTHR11627:SF19 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE-RELATED","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF19","Aldolase superfamily protein"
"61","Manes.01G004625","","","",NA,"(1 of 3) 2.3.2.4 - Gamma-glutamylcyclotransferase","","KOG4450","","PF06094","PTHR12510 PTHR12510:SF7",""
"62","Manes.01G004650","","","",NA,"(1 of 2) K19307 - 25S rRNA (uracil2634-N3)-methyltransferase [EC:2.1.1.313] (BMT5)","","KOG4174","K19307","PF10354","PTHR11538 PTHR11538:SF43","Domain of unknown function (DUF2431)"
"63","Manes.01G004820","","","DNA binding; ATP binding; DNA repair; ATP-dependent activity, acting on DNA",NA,"(1 of 1) K10880 - DNA-repair protein XRCC3 (XRCC3)","GO:0003677 GO:0005524 GO:0006281 GO:0008094","KOG1564","K10880","PF13481","PTHR22942 PTHR22942:SF24","homolog of X-ray repair cross complementing 3 (XRCC3)"
"64","Manes.01G004840","","","",NA,"(1 of 3) 2.3.2.4 - Gamma-glutamylcyclotransferase","","KOG4450","","PF06094","PTHR12510 PTHR12510:SF7",""
"65","Manes.01G004860","","","",NA,"(1 of 2) K19307 - 25S rRNA (uracil2634-N3)-methyltransferase [EC:2.1.1.313] (BMT5)","","KOG4174","K19307","PF10354","PTHR11538 PTHR11538:SF43","Domain of unknown function (DUF2431)"
"66","Manes.01G004880","","","nucleus; regulation of DNA-templated transcription; zinc ion binding; positive regulation of DNA-templated transcription, elongation",NA,"(1 of 1) K15171 - transcription elongation factor SPT4 (SUPT4H1; SPT4)","GO:0005634 GO:0006355 GO:0008270 GO:0032786","KOG3490","K15171","PF06093","PTHR12882 PTHR12882:SF1","SPT4 homolog 2"
"67","Manes.01G004910","","","",NA,"","","","","","",""
"68","Manes.01G005000","","","protein binding",NA,"(1 of 3) K12616 - enhancer of mRNA-decapping protein 4 (EDC4)","GO:0005515","","K12616","PF16529","PTHR15598 PTHR15598:SF7","Transducin/WD40 repeat-like superfamily protein"
"69","Manes.01G005033","","","heme A biosynthetic process; oxidoreductase activity, acting on the CH-CH group of donors",NA,"(1 of 1) K02259 - cytochrome c oxidase assembly protein subunit 15 (COX15)","GO:0006784 GO:0016021 GO:0016627 GO:0055114","","K02259","PF02628","PTHR23289 PTHR23289:SF2","cytochrome c oxidase 15"
"70","Manes.01G005066","","","monoatomic cation transport; calcium ion transport; monoatomic cation transmembrane transporter activity; calcium:proton antiporter activity; transmembrane transport",NA,"(1 of 8) K07300 - Ca2+:H+ antiporter (chaA; CAX)","GO:0006812 GO:0006816 GO:0008324 GO:0015369 GO:0016021 GO:0055085","","K07300","PF01699","PTHR31503 PTHR31503:SF16","cation exchanger 5"
"71","Manes.01G005100","","","",NA,"(1 of 3) PTHR22950//PTHR22950:SF228 - AMINO ACID TRANSPORTER // AMINO ACID PERMEASE 7-RELATED","","KOG1303","","PF01490","PTHR22950 PTHR22950:SF228","amino acid permease 7"
"72","Manes.01G005233","","","",NA,"(1 of 3) PTHR22950//PTHR22950:SF228 - AMINO ACID TRANSPORTER // AMINO ACID PERMEASE 7-RELATED","","KOG1303","","PF01490","PTHR22950 PTHR22950:SF228","amino acid permease 7"
"73","Manes.01G005500","","","",NA,"(1 of 1) K06699 - proteasome activator subunit 4 (PSME4)","","","K06699","PF11919 PF16507","PTHR32170 PTHR32170:SF0","proteasome activating protein 200"
"74","Manes.01G005504","","","DNA integration",NA,"(1 of 56) 2.7.7.49//2.7.7.7//3.1.26.4 - RNA-directed DNA polymerase / Revertase // DNA-directed DNA polymerase / DNA-dependent DNA polymerase // Ribonuclease H / RNase H","GO:0015074","","","","PTHR24559 PTHR24559:SF202",""
"75","Manes.01G005508","","","",NA,"","","","","","PTHR24559 PTHR24559:SF186",""
"76","Manes.01G005512","","","",NA,"","","","","","PTHR33287",""
"77","Manes.01G005536","","","double-stranded DNA binding; mitochondrion; regulation of DNA-templated transcription",NA,"(1 of 7) PTHR13068//PTHR13068:SF18 - CGI-12 PROTEIN-RELATED // EMB|CAB62602.1","GO:0003690 GO:0005739 GO:0006355","KOG1267","","PF02536","PTHR13068 PTHR13068:SF18","Mitochondrial transcription termination factor family protein"
"78","Manes.01G005584","","","double-stranded DNA binding; mitochondrion; regulation of DNA-templated transcription",NA,"(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1","GO:0003690 GO:0005739 GO:0006355","","","PF02536","PTHR13068 PTHR13068:SF18",""
"79","Manes.01G005700","","","double-stranded DNA binding; mitochondrion; regulation of DNA-templated transcription",NA,"(1 of 7) PTHR13068//PTHR13068:SF18 - CGI-12 PROTEIN-RELATED // EMB|CAB62602.1","GO:0003690 GO:0005739 GO:0006355","KOG1267","","PF02536","PTHR13068 PTHR13068:SF18","Mitochondrial transcription termination factor family protein"
"80","Manes.01G006000","","","nucleic acid binding",NA,"(1 of 7) K14945 - protein quaking (QKI)","GO:0003676","KOG1588","","","PTHR11208","RNA-binding KH domain-containing protein"
"81","Manes.01G006100","PWY-7511","protein ubiquitylation","protein binding",NA,"(1 of 14) K06689 - ubiquitin-conjugating enzyme E2 D/E (UBE2D_E; UBC4; UBC5)","GO:0005515","KOG0417","K06689","PF05773","PTHR24068",""
"82","Manes.01G006200","","","",NA,"(1 of 2) PTHR23324:SF84 - PHOSPHATIDYLINOSITOL/PHOSPHATIDYLCHOLINE TRANSFER PROTEIN SFH13-RELATED","","KOG1471","","PF00650 PF03765","PTHR23324 PTHR23324:SF84","Sec14p-like phosphatidylinositol transfer family protein"
"83","Manes.01G006300","","","",NA,"(1 of 3) PTHR31533:SF2 - GPI-ANCHORED PROTEIN LORELEI-RELATED","","","","","PTHR31533 PTHR31533:SF2","LORELEI-LIKE-GPI-ANCHORED PROTEIN 1"
"84","Manes.01G006400","","","photosystem I; photosynthesis; membrane",NA,"(1 of 1) K08905 - photosystem I subunit V (psaG)","GO:0009522 GO:0015979 GO:0016020","","K08905","PF01241","PTHR34195 PTHR34195:SF1","photosystem I subunit G"
"85","Manes.01G006500","","","metal ion binding",NA,"(1 of 7) PTHR26374:SF199 - ZINC FINGER PROTEIN ZAT2-RELATED","GO:0046872","","","PF13912","PTHR26374 PTHR26374:SF199",""
"86","Manes.01G006600","","","metal ion binding",NA,"(1 of 7) PTHR26374//PTHR26374:SF199 - FAMILY NOT NAMED // ZINC FINGER PROTEIN ZAT2-RELATED","GO:0046872","","","PF13912","PTHR26374 PTHR26374:SF199",""
"87","Manes.01G006800","","","metal ion binding",NA,"(1 of 1) PTHR26374//PTHR26374:SF176 - FAMILY NOT NAMED // C2H2 AND C2HC ZINC FINGER-CONTAINING PROTEIN-RELATED","GO:0046872","","","PF13912","PTHR26374 PTHR26374:SF176",""
"88","Manes.01G006900","","","metal ion binding",NA,"(1 of 7) PTHR26374:SF199 - ZINC FINGER PROTEIN ZAT2-RELATED","GO:0046872","","","PF13912","PTHR26374 PTHR26374:SF199",""
"89","Manes.01G006975","","","",NA,"","","","","","",""
"90","Manes.01G007000","","","",NA,"(1 of 1) PTHR19317//PTHR19317:SF11 - PRENYLATED RAB ACCEPTOR 1-RELATED // PRA1 FAMILY PROTEIN G1-RELATED","","KOG3142","","PF03208","PTHR19317 PTHR19317:SF11","prenylated RAB acceptor 1.G2"
"91","Manes.01G007050","","","",NA,"","","","","","",""
"92","Manes.01G007100","","","",NA,"(1 of 2) PTHR35767:SF1 - PROTEIN HAPLESS 8","","","","","PTHR35767 PTHR35767:SF1","(1 of 2) PTHR35767:SF1 - PROTEIN HAPLESS 8"
"93","Manes.01G007201","","","",NA,"","","","","","",""
"94","Manes.01G007300","","","",NA,"","","","","","PTHR36056 PTHR36056:SF1",""
"95","Manes.01G007400","","","",NA,"","","","","","PTHR36056 PTHR36056:SF1",""
"96","Manes.01G007451","","","",NA,"","","","","","",""
"97","Manes.01G007500","","","voltage-gated chloride channel activity; chloride transport; membrane; transmembrane transport",NA,"(1 of 2) PTHR11689//PTHR11689:SF77 - CHLORIDE CHANNEL // CHLORIDE CHANNEL PROTEIN CLC-F","GO:0005247 GO:0006821 GO:0016020 GO:0055085","KOG0475","","PF00571 PF00654","PTHR11689 PTHR11689:SF77","chloride channel F"
"98","Manes.01G007600","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding",NA,"(1 of 3) K18835 - WRKY transcription factor 2 (WRKY2)","GO:0003700 GO:0006355 GO:0043565","","K18835","PF03106","PTHR31221 PTHR31221:SF10","WRKY DNA-binding protein 2"
"99","Manes.01G007700","","","protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation",NA,"(1 of 3) PTHR27000//PTHR27000:SF48 - FAMILY NOT NAMED // RECEPTOR-LIKE PROTEIN KINASE BRI1-LIKE 3-RELATED","GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468","KOG1187","","PF00069 PF08263 PF13855","PTHR27000 PTHR27000:SF48","BRI1 like"
"100","Manes.01G007800","","","aminopeptidase activity; proteolysis; metalloexopeptidase activity",NA,"(1 of 1) PTHR10804//PTHR10804:SF9 - PROTEASE FAMILY M24  METHIONYL AMINOPEPTIDASE; AMINOPEPTIDASE P // METHIONINE AMINOPEPTIDASE 2","GO:0004177 GO:0006508 GO:0008235","","K01265","PF00557","PTHR10804 PTHR10804:SF9","methionine aminopeptidase 2B"
"101","Manes.01G007900","","","catalytic activity; protein serine/threonine phosphatase activity; protein dephosphorylation",NA,"(1 of 14) PTHR13832//PTHR13832:SF286 - PROTEIN PHOSPHATASE 2C // PROTEIN PHOSPHATASE 2C 33-RELATED","GO:0003824 GO:0004722 GO:0006470","KOG0698","","PF00481","PTHR13832 PTHR13832:SF286","Protein phosphatase 2C family protein"
"102","Manes.01G008000","","","protein binding",NA,"(1 of 2) K13342 - peroxin-5 (PEX5; PXR1)","GO:0005515","KOG1125","K13342","PF07719 PF13371","PTHR10130 PTHR10130:SF0","peroxin 5"
"103","Manes.01G008100","","","nucleus; secondary shoot formation",NA,"(1 of 2) PTHR31636//PTHR31636:SF2 - FAMILY NOT NAMED // SCARECROW-LIKE PROTEIN 18","GO:0005634 GO:0010223","","","PF03514","PTHR31636 PTHR31636:SF2","GRAS family transcription factor"
"104","Manes.01G008200","","","protein binding",NA,"(1 of 2) K12179 - COP9 signalosome complex subunit 6 (COPS6; CSN6)","GO:0005515","KOG3050","K12179","PF01398 PF13012","PTHR10540 PTHR10540:SF8","COP9 signalosome subunit 6A"
"105","Manes.01G008250","","","double-stranded DNA binding; mitochondrion; regulation of DNA-templated transcription",NA,"(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1","GO:0003690 GO:0005739 GO:0006355","KOG1267","","PF02536","PTHR13068 PTHR13068:SF18","Mitochondrial transcription termination factor family protein"
"106","Manes.01G008300","","","tRNA binding",NA,"(1 of 2) PTHR11586:SF18 - NUCLEIC ACID-BINDING; OB-FOLD-LIKE PROTEIN","GO:0000049","","","PF01588","PTHR11586 PTHR11586:SF18",""
"107","Manes.01G008400","","","DNA binding; zinc ion binding",NA,"(1 of 4) PTHR10634:SF36 - ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 10-RELATED","GO:0003677 GO:0008270","KOG3173","","PF01428 PF01754","PTHR10634 PTHR10634:SF36",""
"108","Manes.01G008500","","","protein binding",NA,"(1 of 2) K12179 - COP9 signalosome complex subunit 6 (COPS6; CSN6)","GO:0005515","KOG3050","K12179","PF01398 PF13012","PTHR10540 PTHR10540:SF8","COP9 signalosome subunit 6A"
"109","Manes.01G008600","TRNA-CHARGING-PWY","tRNA charging","tRNA binding",NA,"(1 of 3) K15437 - aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (AIMP1; ARC1)","GO:0000049","","K15437","PF01588","PTHR11586 PTHR11586:SF18","Nucleic acid-binding, OB-fold-like protein"
"110","Manes.01G008701","","","DNA binding; zinc ion binding",NA,"(1 of 4) PTHR10634:SF36 - ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 10-RELATED","GO:0003677 GO:0008270","KOG3173","","PF01428 PF01754","PTHR10634 PTHR10634:SF36",""
"111","Manes.01G008800","PWY-3841","folate transformations II","methylenetetrahydrofolate reductase (NAD(P)H) activity; methionine metabolic process",NA,"(1 of 1) K00297 - methylenetetrahydrofolate reductase (NADPH) (metF; MTHFR)","GO:0004489 GO:0006555 GO:0055114","","K00297","PF02219","PTHR21091 PTHR21091:SF31","methylenetetrahydrofolate reductase 2"
