"","gene_id","TOM_PSY2","colors","locusName","Pathways","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline","gene_metabolite","overall_cor","overall_p","geno_cor","geno_p","nongeno_cor","nongeno_p"
"11","Manes.16G055900.v8.1",0.0849314935403883,"turquoise","Manes.16G055900","",NA,"(1 of 1) K05750 - NCK-associated protein 1 (NCKAP1, NAP125)","","","","PF09735","PTHR12093 PTHR12093:SF10","transcription activators","gene",0.713540277035116,0,0.342851302915504,0.0933889670369021,0.740106669297155,0
"12","Manes.09G139100.v8.1",0.0847076486684446,"turquoise","Manes.09G139100","",NA,"(1 of 1) PTHR22870:SF175 - ANKYRIN REPEAT AND REGULATOR OF CHROMOSOME CONDENSATION (RCC1) DOMAIN-CONTAINING PROTEIN","GO:0005515","KOG1427","","PF00415 PF12796","PTHR22870 PTHR22870:SF175","ankyrin repeat family protein / regulator of chromosome condensation (RCC1) family protein","gene",0.70663905970088,0,0.28360007645668,0.169502419247049,0.732703034032762,0
"13","Manes.12G050800.v8.1",0.0839779749184628,"turquoise","Manes.12G050800","",NA,"(1 of 4) K02995 - small subunit ribosomal protein S8e (RP-S8e, RPS8)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG3283","K02995","PF01201","PTHR10394","Ribosomal protein S8e family protein","gene",-0.651663638495985,0,0.0386793437100878,0.854355662041609,-0.697893139621153,0
"14","Manes.02G024900.v8.1",0.0831009289353582,"turquoise","Manes.02G024900","",NA,"(1 of 2) PTHR34067//PTHR34067:SF1 - FAMILY NOT NAMED // METHYL-CPG-BINDING DOMAIN-CONTAINING PROTEIN 13","GO:0003677 GO:0005634","","","PF01429","PTHR34067 PTHR34067:SF1","methyl-CPG-binding domain protein 13","gene",0.704261824575792,0,0.346430897879617,0.0897970523892404,0.73285366487075,0
"15","Manes.09G100900.v8.1",0.0830420284301794,"turquoise","Manes.09G100900","",NA,"(1 of 3) K02917 - large subunit ribosomal protein L35Ae (RP-L35Ae, RPL35A)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG0887","K02917","PF01247","PTHR10902","Ribosomal protein L35Ae family protein","gene",-0.638817562819757,0,-0.278007491711977,0.178438981430384,-0.696538891766005,0
"16","Manes.14G089400.v8.1",0.0823187598366659,"turquoise","Manes.14G089400","",NA,"(1 of 12) PF03909 - BSD domain (BSD)","","","","PF03909","PTHR31923 PTHR31923:SF1","","gene",0.726097140626888,0,0.461895354754005,0.0201019799796027,0.736557325770297,0
"17","Manes.05G204400.v8.1",0.0818922675568607,"turquoise","Manes.05G204400","",NA,"(1 of 2) PTHR11689:SF77 - CHLORIDE CHANNEL PROTEIN CLC-F","GO:0005247 GO:0006821 GO:0016020 GO:0055085","KOG0475","","PF00571 PF00654","PTHR11689 PTHR11689:SF77","chloride channel F","gene",0.668524488691408,0,0.279996936206242,0.17522330331222,0.692319876685958,0
"18","Manes.01G253100.v8.1",0.0805553030043448,"turquoise","Manes.01G253100","",NA,"","","","","","PTHR34802","","gene",0.696383419321863,0,0.231886390016078,0.264695598454741,0.737741431739976,0
"19","Manes.07G057925.v8.1",0.0802929326031213,"turquoise","Manes.07G057925","",NA,"(1 of 1) PTHR35712:SF1 - MYOSIN HEAVY CHAIN-RELATED PROTEIN","","","","","PTHR35712","","gene",0.633618736781049,0,0.149589069887637,0.475422295368009,0.668968398711247,0
"20","Manes.15G173750.v8.1",0.0793949771722917,"turquoise","Manes.15G173750","",NA,"(1 of 2) PTHR19282//PTHR19282:SF262 - TETRASPANIN // SUBFAMILY NOT NAMED","GO:0016021","","","PF00335","PTHR19282 PTHR19282:SF262","tobamovirus multiplication 2A","gene",-0.657865595066466,0,-0.470664034651216,0.0175712282991336,-0.673957161667909,0
"21","Manes.12G039700.v8.1",0.0791891027578257,"turquoise","Manes.12G039700","",NA,"(1 of 2) PTHR13140:SF256 - MYOSIN-14-RELATED","GO:0003774 GO:0005515 GO:0005524 GO:0016459","","K10357","PF00063 PF00612 PF01843 PF02736","PTHR13140 PTHR13140:SF256","myosin 2","gene",0.622568437414163,0,0.0951273676305265,0.651042686023265,0.655425945047711,0
"22","Manes.04G086500.v8.1",0.0789476778013357,"turquoise","Manes.04G086500","",NA,"(1 of 2) PTHR10799//PTHR10799:SF611 - SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED // CHROMATIN REMODELING PROTEIN-RELATED","GO:0005524","","K10875","PF00176 PF00271","PTHR10799 PTHR10799:SF611","SNF2 domain-containing protein / helicase domain-containing protein","gene",0.70326731464432,0,0.205219806912455,0.325069623966389,0.732239587392618,0
"23","Manes.12G032800.v8.1",0.0787251749319553,"turquoise","Manes.12G032800","",NA,"(1 of 1) K06636 - structural maintenance of chromosome 1 (SMC1)","GO:0005515 GO:0005524 GO:0005694 GO:0051276","","K06636","PF06470 PF13476","PTHR18937 PTHR18937:SF177","Structural maintenance of chromosomes (SMC) family protein","gene",0.629207303752197,0,0.123718932660016,0.555729849548011,0.679253909363441,0
"24","Manes.09G056451.v8.1",0.0783738100460475,"turquoise","Manes.09G056451","",NA,"(1 of 1) K08658 - prenyl protein peptidase (RCE1, FACE2)","GO:0016020","KOG4130","K08658","PF02517","PTHR13046 PTHR13046:SF0","farnesylated protein-converting enzyme 2","gene",-0.660709515634287,0,-0.00621777711370059,0.976467868956531,-0.706211986854576,0
"25","Manes.05G057500.v8.1",0.0772842646481964,"turquoise","Manes.05G057500","",NA,"(1 of 2) PTHR23253//PTHR23253:SF26 - EUKARYOTIC TRANSLATION INITIATION FACTOR 4 GAMMA // EUKARYOTIC TRANSLATION INITIATION FACTOR 4G","GO:0003723 GO:0005515","KOG0401","K03260","PF02847 PF02854","PTHR23253 PTHR23253:SF26","eukaryotic translation initiation factor 4G","gene",0.646792913377354,0,0.236610486737457,0.254808824805663,0.673571916162942,0
"26","Manes.12G158200.v8.1",0.0769869367575439,"turquoise","Manes.12G158200","",NA,"(1 of 1) PTHR21183//PTHR21183:SF18 - RIBOSOMAL PROTEIN L47, MITOCHONDRIAL-RELATED // 39S RIBOSOMAL PROTEIN L47, MITOCHONDRIAL","GO:0003735 GO:0005622 GO:0005761 GO:0005840 GO:0006412","KOG3331","K17428","PF00831","PTHR21183","ribosomal protein L29 family protein","gene",-0.632949600407718,0,-0.199465875137597,0.339111181636488,-0.66791963119785,0
"27","Manes.05G001800.v8.1",0.0766871166448861,"turquoise","Manes.05G001800","PWY-841; PWY-6121",NA,"(1 of 2) 6.3.3.1 - Phosphoribosylformylglycinamidine cyclo-ligase / Phosphoribosylaminoimidazole synthetase","GO:0004641 GO:0005737 GO:0006189","","K01933","PF00586 PF02769","PTHR10520","phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)","gene",-0.649913318985,0,-0.431470902279374,0.0312729888937491,-0.679211340180881,0
"28","Manes.11G047800.v8.1",0.0766737970632886,"turquoise","Manes.11G047800","",NA,"(1 of 1) PTHR13140//PTHR13140:SF460 - MYOSIN // SUBFAMILY NOT NAMED","","KOG0978","","","PTHR13140 PTHR13140:SF460","MAR binding filament-like protein 1","gene",0.667502084951387,0,0.381831132034222,0.0596334561966363,0.688424928834063,0
"29","Manes.02G090700.v8.1",0.0764056146624345,"turquoise","Manes.02G090700","",NA,"(1 of 2) PTHR31165:SF10 - PROTEIN LIGHT-DEPENDENT SHORT HYPOCOTYLS 10-RELATED","","","","PF04852","PTHR31165 PTHR31165:SF10","Protein of unknown function (DUF640)","gene",0.620864686529075,0,0.356593226166079,0.0801646982465718,0.660015932252289,0
"30","Manes.09G140400.v8.1",0.0755230984780362,"turquoise","Manes.09G140400","",NA,"(1 of 2) PTHR18929//PTHR18929:SF84 - PROTEIN DISULFIDE ISOMERASE // 5'-ADENYLYLSULFATE REDUCTASE-LIKE 5-RELATED","GO:0045454","KOG2640","","PF00085","PTHR18929 PTHR18929:SF84","APR-like 5","gene",-0.631566806134462,0,-0.332570377188084,0.104303031355252,-0.649904468902042,0
"31","Manes.15G090800.v8.1",0.075414486740677,"turquoise","Manes.15G090800","",NA,"(1 of 1) PTHR10891//PTHR10891:SF633 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0005509 GO:0016021 GO:0055085","","","PF01699 PF13499","PTHR10891 PTHR10891:SF633","sodium/calcium exchanger family protein / calcium-binding EF hand family protein","gene",-0.599100806916799,0,-0.136509309000889,0.515266319693672,-0.636546560894871,0
"32","Manes.17G026600.v8.1",0.075164592863644,"turquoise","Manes.17G026600","",NA,"(1 of 9) K08341 - GABA(A) receptor-associated protein (GABARAP, ATG8, LC3)","GO:0000045 GO:0005737","KOG1654","K08341","PF04110","PTHR10969 PTHR10969:SF43","","gene",-0.650769582268414,0,-0.296965620478354,0.149424702066005,-0.674260834749018,0
"33","Manes.10G118000.v8.1",0.0751039301411329,"turquoise","Manes.10G118000","",NA,"(1 of 9) K02925 - large subunit ribosomal protein L3e (RP-L3e, RPL3)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","","K02925","PF00297","PTHR11363 PTHR11363:SF6","R-protein L3 B","gene",-0.635637759378892,0,-0.195029321262713,0.350181688599666,-0.659987168482596,0
"34","Manes.16G114500.v8.1",0.0747664646557796,"turquoise","Manes.16G114500","",NA,"(1 of 4) PTHR31876//PTHR31876:SF6 - FAMILY NOT NAMED // PROTEIN LIKE-COV 3","","","","PF04367","PTHR31876 PTHR31876:SF6","Protein of unknown function (DUF502)","gene",-0.633136859952813,0,-0.0264930156170658,0.899965406536431,-0.662598558894022,0
"35","Manes.03G209800.v8.1",0.0742313259018369,"turquoise","Manes.03G209800","",NA,"(1 of 1) PTHR16166//PTHR16166:SF93 - VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN  VPS13 // PROTEIN T08G11.1, ISOFORM A","GO:0005515 GO:0016021","KOG1809","","PF00168 PF06101 PF06650 PF12624 PF16908 PF16909 PF16910","PTHR16166 PTHR16166:SF93","calcium-dependent lipid-binding family protein","gene",0.673010998085573,0,0.300850192459341,0.143921132015094,0.705183464388655,0
"36","Manes.12G027200.v8.1",0.0733813910946458,"turquoise","Manes.12G027200","PWY-6352",NA,"(1 of 1) K00914 - phosphatidylinositol 3-kinase (PIK3C3, VPS34)","GO:0016773 GO:0046854 GO:0048015","","K00914","PF00454 PF00613 PF00792","PTHR10048 PTHR10048:SF62","vacuolar protein sorting 34","gene",0.679309249314837,0,0.265393802132211,0.19978201521028,0.712727928093374,0
"37","Manes.03G149301.v8.1",0.0732959424513252,"turquoise","Manes.03G149301","",NA,"(1 of 4) 3.2.1.45 - Glucosylceramidase / D-glucosyl-N-acylsphingosine glucohydrolase","GO:0004348 GO:0006665 GO:0006680 GO:0016020 GO:0016021","","K17108","PF04685 PF12215","PTHR12654","Beta-glucosidase, GBA2 type family protein","gene",0.634186544673177,0,0.146543191815104,0.484557317482411,0.665549969307953,0
"38","Manes.14G033601.v8.1",0.0726681919314826,"turquoise","Manes.14G033601","",NA,"(1 of 3) K02953 - small subunit ribosomal protein S13e (RP-S13e, RPS13)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG0400","K02953","PF00312 PF08069","PTHR11885","Ribosomal protein S13/S15","gene",-0.655358718901025,0,-0.368967978056574,0.0695170409757093,-0.693974638139493,0
"39","Manes.07G127000.v8.1",0.0725074468983895,"turquoise","Manes.07G127000","",NA,"(1 of 3) K02941 - large subunit ribosomal protein LP0 (RP-LP0, RPLP0)","GO:0005622 GO:0042254","KOG0815","K02941","PF00428 PF00466","PTHR21141 PTHR21141:SF3","Ribosomal protein L10 family protein","gene",-0.639827978647583,0,-0.362978764596904,0.0745261138460085,-0.675589310402234,0
"40","Manes.15G005900.v8.1",0.0723439796693006,"turquoise","Manes.15G005900","",NA,"(1 of 6) K07953 - GTP-binding protein SAR1 (SAR1)","GO:0005525 GO:0005622 GO:0006886 GO:0007264","KOG0077","K07953","PF08477","PTHR11711 PTHR11711:SF170","secretion-associated RAS super family 2","gene",-0.694329362491155,0,-0.348373641798866,0.0878915793679811,-0.715767498656716,0
"41","Manes.04G055100.v8.1",0.0723234617264703,"turquoise","Manes.04G055100","",NA,"(1 of 2) PTHR12550:SF49 - PROTEIN C06A5.3, ISOFORM B","","","","PF00855 PF04818","PTHR12550 PTHR12550:SF49","Tudor/PWWP/MBT domain-containing protein","gene",0.632571581555551,0,-0.107556640575839,0.608833423942088,0.696652860445932,0
"42","Manes.05G128400.v8.1",0.0722219759351098,"turquoise","Manes.05G128400","",NA,"(1 of 4) PF12274 - Protein of unknown function (DUF3615) (DUF3615)","","","","PF12274","","","gene",-0.567341675073252,0,0.0122294914985172,0.953733571945394,-0.594145487557991,0
"43","Manes.11G065300.v8.1",0.0721996789076777,"turquoise","Manes.11G065300","",NA,"(1 of 3) K02951 - small subunit ribosomal protein S12e (RP-S12e, RPS12)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG3406","K02951","PF01248","PTHR11843 PTHR11843:SF3","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein","gene",-0.632404844770765,0,-0.46740108070617,0.0184806414068563,-0.649956166596487,0
"44","Manes.08G170000.v8.1",0.072100589284264,"turquoise","Manes.08G170000","",NA,"(1 of 2) PTHR10438//PTHR10438:SF240 - THIOREDOXIN // THIOREDOXIN H9","GO:0006662 GO:0015035 GO:0045454","KOG0907","K03671","PF00085","PTHR10438 PTHR10438:SF240","thioredoxin H-type 9","gene",-0.604147079485217,0,-0.207047595053784,0.320684214905766,-0.66459786740607,0
"45","Manes.06G083000.v8.1",0.0720727025522969,"turquoise","Manes.06G083000","",NA,"(1 of 10) PF01805 - Surp module (Surp)","GO:0003723 GO:0006396 GO:0046872","","","PF01805","PTHR36886 PTHR36886:SF2","","gene",0.662496693356079,0,0.237017463035407,0.253968457160059,0.700175966042402,0
"46","Manes.01G118500.v8.1",0.0717758087710305,"turquoise","Manes.01G118500","",NA,"(1 of 2) PTHR19965:SF33 - THO COMPLEX SUBUNIT 4D","GO:0003676","KOG0533","K12881","PF00076 PF13865","PTHR19965 PTHR19965:SF33","ALWAYS EARLY 4","gene",-0.648702030956218,0,-0.54022838662654,0.00530771235463545,-0.644694962003488,0
"47","Manes.02G032000.v8.1",0.0716918918696443,"turquoise","Manes.02G032000","",NA,"(1 of 2) PTHR10634:SF38 - ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 1-RELATED","GO:0003677 GO:0008270","KOG3173","","PF01428 PF01754","PTHR10634 PTHR10634:SF38","A20/AN1-like zinc finger family protein","gene",-0.731216394093638,0,-0.504838686543783,0.0100590194673194,-0.749599930197092,0
"48","Manes.06G031700.v8.1",0.071636069081176,"turquoise","Manes.06G031700","",NA,"(1 of 2) PTHR13222//PTHR13222:SF1 - CGTHBA PROTEIN  -14 GENE PROTEIN // RB1-INDUCIBLE COILED-COIL PROTEIN 1","GO:0006914","","","PF04108 PF10377","PTHR13222 PTHR13222:SF1","(1 of 1) PTHR13222 - CGTHBA PROTEIN  -14 GENE PROTEIN","gene",0.668446046613197,0,0.324118552841777,0.113960793311224,0.702287618308536,0
"49","Manes.11G085400.v8.1",0.0707314035089497,"turquoise","Manes.11G085400","",NA,"(1 of 4) K02975 - small subunit ribosomal protein S25e (RP-S25e, RPS25)","","KOG1767","K02975","PF03297","PTHR12850","Ribosomal protein S25 family protein","gene",-0.64339653072379,0,-0.375564825600101,0.0643026241532492,-0.685808348716676,0
"50","Manes.11G109600.v8.1",0.0705343414687556,"turquoise","Manes.11G109600","",NA,"(1 of 1) K09499 - T-complex protein 1 subunit eta (CCT7)","GO:0005524 GO:0005737 GO:0006457 GO:0042026 GO:0051082","","K09499","PF00118","PTHR11353 PTHR11353:SF22","TCP-1/cpn60 chaperonin family protein","gene",-0.616787885907031,0,-0.34944215539281,0.0868566151441974,-0.649771604606077,0
