gene_id,locusName,Description,colors,class
Manes.01G092700.v8.1,Manes.01G092700,(1 of 5) K14948 - polypyrimidine tract-binding protein 2 (PTBP2; NPTB),skyblue3,NA
Manes.01G093100.v8.1,Manes.01G093100,NA,red,NA
Manes.01G093700.v8.1,Manes.01G093700,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),blue,NA
Manes.01G094800.v8.1,Manes.01G094800,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),moccasin,NA
Manes.01G097900.v8.1,Manes.01G097900,(1 of 4) K00012 - UDPglucose 6-dehydrogenase (UGDH; ugd),blue,carb
Manes.01G098300.v8.1,Manes.01G098300,NA,red,NA
Manes.01G104200.v8.1,Manes.01G104200,(1 of 2) PTHR12565//PTHR12565:SF85 - STEROL REGULATORY ELEMENT-BINDING PROTEIN // TRANSCRIPTION FACTOR BIM3,red,NA
Manes.01G106000.v8.1,Manes.01G106000,NA,red,NA
Manes.01G107700.v8.1,Manes.01G107700,(1 of 2) PTHR10106//PTHR10106:SF21 - CYTOCHROME B561-RELATED // TRANSMEMBRANE ASCORBATE FERRIREDUCTASE 2-RELATED,blue,NA
Manes.01G112100.v8.1,Manes.01G112100,NA,moccasin,NA
Manes.01G115900.v8.1,Manes.01G115900,(1 of 1) KOG1421 - Predicted signaling-associated protein (contains a PDZ domain),blue,NA
Manes.01G118300.v8.1,Manes.01G118300,(1 of 1) K10838 - xeroderma pigmentosum group C-complementing protein (XPC),blue,NA
Manes.01G118800.v8.1,Manes.01G118800,(1 of 2) PTHR11711//PTHR11711:SF152 - ADP RIBOSYLATION FACTOR-RELATED // ADP-RIBOSYLATION FACTOR-LIKE A1A,blue,NA
Manes.01G123700.v8.1,Manes.01G123700,NA,blue,NA
Manes.01G124801.v8.1,Manes.01G124801,NA,blue,NA
Manes.01G125500.v8.1,Manes.01G125500,NA,red,NA
Manes.01G128100.v8.1,Manes.01G128100,(1 of 2) K06942 - uncharacterized protein (K06942),blue,NA
Manes.01G129900.v8.1,Manes.01G129900,(1 of 2) PTHR10015//PTHR10015:SF172 - HEAT SHOCK TRANSCRIPTION FACTOR // SUBFAMILY NOT NAMED,moccasin,NA
Manes.01G130400.v8.1,Manes.01G130400,NA,blue,NA
Manes.01G132100.v8.1,Manes.01G132100,NA,red,NA
Manes.01G132500.v8.1,Manes.01G132500,(1 of 1) PTHR18934:SF112 - DEA(D/H)-BOX RNA HELICASE FAMILY PROTEIN,red,NA
Manes.01G136850.v8.1,Manes.01G136850,(1 of 3) 2.7.7.3 - Pantetheine-phosphate adenylyltransferase / PPAT,blue,NA
Manes.01G138200.v8.1,Manes.01G138200,NA,blue,NA
Manes.01G138400.v8.1,Manes.01G138400,(1 of 1) PTHR31009//PTHR31009:SF9 - S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN // SUBFAMILY NOT NAMED,blue,NA
Manes.01G140300.v8.1,Manes.01G140300,(1 of 2) PTHR24089:SF321 - GM03767P,blue,NA
Manes.01G140700.v8.1,Manes.01G140700,(1 of 1) 1.1.99.39 - D-2-hydroxyglutarate dehydrogenase,blue,NA
Manes.01G144700.v8.1,Manes.01G144700,(1 of 2) 4.2.1.47 - GDP-mannose 4;6-dehydratase / Guanosine diphosphomannose oxidoreductase,blue,carb
Manes.01G148000.v8.1,Manes.01G148000,(1 of 2) PTHR22765//PTHR22765:SF59 - RING FINGER AND PROTEASE ASSOCIATED DOMAIN-CONTAINING // RECEPTOR HOMOLOGY REGION; TRANSMEMBRANE DOMAIN- AND RING DOMAIN-CONTAINING PROTEIN 1,blue,NA
Manes.01G148200.v8.1,Manes.01G148200,(1 of 2) K02150 - V-type H+-transporting ATPase subunit E (ATPeV1E; ATP6E),red,NA
Manes.01G150000.v8.1,Manes.01G150000,NA,blue,NA
Manes.01G150300.v8.1,Manes.01G150300,(1 of 2) PTHR13683:SF232 - ASPARTYL PROTEASE FAMILY PROTEIN,blue,NA
Manes.01G150600.v8.1,Manes.01G150600,(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG),blue,NA
Manes.01G151100.v8.1,Manes.01G151100,(1 of 2) PTHR18896//PTHR18896:SF60 - PHOSPHOLIPASE D // PHOSPHOLIPASE D DELTA,blue,NA
Manes.01G152100.v8.1,Manes.01G152100,NA,blue,NA
Manes.01G155000.v8.1,Manes.01G155000,(1 of 1) PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED,red,NA
Manes.01G155200.v8.1,Manes.01G155200,(1 of 3) K12898 - heterogeneous nuclear ribonucleoprotein F/H (HNRNPF_H),blue,NA
Manes.01G158700.v8.1,Manes.01G158700,(1 of 1) PTHR10209//PTHR10209:SF108 - OXIDOREDUCTASE; 2OG-FE II  OXYGENASE FAMILY PROTEIN // 2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE-LIKE PROTEIN,blue,NA
Manes.01G159201.v8.1,Manes.01G159201,NA,red,NA
Manes.01G160900.v8.1,Manes.01G160900,(1 of 4) PF00069//PF13540 - Protein kinase domain (Pkinase) // Regulator of chromosome condensation (RCC1) repeat (RCC1_2),blue,NA
Manes.01G161100.v8.1,Manes.01G161100,(1 of 3) K06215 - pyridoxal 5'-phosphate synthase pdxS subunit (pdxS; pdx1),blue,NA
Manes.01G161500.v8.1,Manes.01G161500,NA,red,NA
Manes.01G173632.v8.1,Manes.01G173632,(1 of 1) PTHR12396:SF11 - METHYL-CPG-BINDING DOMAIN-CONTAINING PROTEIN 5-RELATED,blue,NA
Manes.01G178100.v8.1,Manes.01G178100,(1 of 33) K13412 - calcium-dependent protein kinase (CPK),moccasin,NA
Manes.01G182501.v8.1,Manes.01G182501,(1 of 1) PTHR31479:SF4 - GB|AAD29063.1,red,NA
Manes.01G184800.v8.1,Manes.01G184800,NA,skyblue3,NA
Manes.01G187200.v8.1,Manes.01G187200,(1 of 1) PTHR22870//PTHR22870:SF187 - REGULATOR OF CHROMOSOME CONDENSATION // SUBFAMILY NOT NAMED,red,NA
Manes.01G191300.v8.1,Manes.01G191300,(1 of 5) PTHR11654//PTHR11654:SF98 - OLIGOPEPTIDE TRANSPORTER-RELATED // PROTEIN NRT1/ PTR FAMILY 4.5-RELATED,blue,NA
Manes.01G191500.v8.1,Manes.01G191500,(1 of 2) KOG0490 - Transcription factor; contains HOX domain,blue,NA
Manes.01G192200.v8.1,Manes.01G192200,NA,red,NA
Manes.01G197100.v8.1,Manes.01G197100,NA,red,NA
Manes.01G197800.v8.1,Manes.01G197800,(1 of 62) PF00892 - EamA-like transporter family (EamA),skyblue3,NA
Manes.01G198700.v8.1,Manes.01G198700,NA,blue,NA
Manes.01G202500.v8.1,Manes.01G202500,(1 of 2) K18881 - D-lactate dehydratase (DJ1D),blue,NA
Manes.01G203800.v8.1,Manes.01G203800,(1 of 1) PTHR13743:SF84 - BEACH DOMAIN-CONTAINING PROTEIN LVSB,red,NA
Manes.01G209500.v8.1,Manes.01G209500,,moccasin,NA
Manes.01G210000.v8.1,Manes.01G210000,NA,skyblue3,NA
Manes.01G210100.v8.1,Manes.01G210100,NA,red,NA
Manes.01G210500.v8.1,Manes.01G210500,NA,blue,NA
Manes.01G214000.v8.1,Manes.01G214000,(1 of 5) PTHR10110:SF117 - SODIUM/HYDROGEN EXCHANGER 1-RELATED,blue,NA
Manes.01G214900.v8.1,Manes.01G214900,NA,blue,NA
Manes.01G217900.v8.1,Manes.01G217900,(1 of 2) PTHR24223:SF246 - ABC TRANSPORTER C FAMILY MEMBER 14-RELATED,red,NA
Manes.01G218300.v8.1,Manes.01G218300,(1 of 4) K12890 - splicing factor; arginine/serine-rich 1/9 (SFRS1_9),red,NA
Manes.01G221200.v8.1,Manes.01G221200,(1 of 4) K02883 - large subunit ribosomal protein L18e (RP-L18e; RPL18),red,NA
Manes.01G226500.v8.1,Manes.01G226500,NA,red,NA
Manes.01G237400.v8.1,Manes.01G237400,NA,blue,NA
Manes.01G238300.v8.1,Manes.01G238300,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,blue,NA
Manes.01G238800.v8.1,Manes.01G238800,(1 of 101) PF02362 - B3 DNA binding domain (B3),red,NA
Manes.01G246900.v8.1,Manes.01G246900,(1 of 4) PTHR10217:SF527 - CYCLIC NUCLEOTIDE-GATED ION CHANNEL 1,blue,NA
Manes.01G247000.v8.1,Manes.01G247000,NA,blue,NA
Manes.01G248300.v8.1,Manes.01G248300,NA,blue,NA
Manes.01G250800.v8.1,Manes.01G250800,(1 of 1) PTHR33322:SF4 - BAG FAMILY MOLECULAR CHAPERONE REGULATOR 6,blue,NA
Manes.01G251200.v8.1,Manes.01G251200,NA,red,NA
Manes.01G252100.v8.1,Manes.01G252100,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),blue,NA
Manes.01G253600.v8.1,Manes.01G253600,NA,skyblue3,NA
Manes.01G254200.v8.1,Manes.01G254200,NA,blue,NA
Manes.01G260200.v8.1,Manes.01G260200,NA,moccasin,NA
Manes.01G261500.v8.1,Manes.01G261500,(1 of 2) PTHR23322//PTHR23322:SF3 - FAS-ASSOCIATED PROTEIN // PROTEIN SAY1,blue,NA
Manes.01G262600.v8.1,Manes.01G262600,(1 of 1) PTHR26402//PTHR26402:SF565 - RESPONSE REGULATOR OF TWO-COMPONENT SYSTEM // TWO-COMPONENT RESPONSE REGULATOR-LIKE APRR7,red,NA
Manes.01G271000.v8.1,Manes.01G271000,NA,red,NA
Manes.01G275100.v8.1,Manes.01G275100,(1 of 2) PTHR11566//PTHR11566:SF77 - DYNAMIN // SUBFAMILY NOT NAMED,skyblue3,NA
Manes.02G003500.v8.1,Manes.02G003500,NA,blue,NA
Manes.02G007800.v8.1,Manes.02G007800,NA,skyblue3,NA
Manes.02G008600.v8.1,Manes.02G008600,(1 of 1) PTHR23076//PTHR23076:SF71 - METALLOPROTEASE M41 FTSH // CELL DIVISION PROTEIN ISOLOG,blue,NA
Manes.02G009900.v8.1,Manes.02G009900,NA,moccasin,NA
Manes.02G010100.v8.1,Manes.02G010100,(1 of 2) PF13639//PF13947 - Ring finger domain (zf-RING_2) // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind),blue,NA
Manes.02G010600.v8.1,Manes.02G010600,(1 of 2) PTHR22298:SF19 - ENDOGLUCANASE 19-RELATED,blue,carb
Manes.02G011000.v8.1,Manes.02G011000,NA,blue,NA
Manes.02G016100.v8.1,Manes.02G016100,NA,blue,NA
Manes.02G016500.v8.1,Manes.02G016500,(1 of 1) PTHR11668:SF280 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 7,blue,NA
Manes.02G016600.v8.1,Manes.02G016600,(1 of 1) K04706 - E3 SUMO-protein ligase PIAS1 (PIAS1),moccasin,NA
Manes.02G016900.v8.1,Manes.02G016900,(1 of 3) PTHR31221//PTHR31221:SF7 - FAMILY NOT NAMED // WRKY TRANSCRIPTION FACTOR 24-RELATED,moccasin,NA
Manes.02G018100.v8.1,Manes.02G018100,NA,red,NA
Manes.02G025500.v8.1,Manes.02G025500,(1 of 1) PTHR24031:SF303 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 47; MITOCHONDRIAL,skyblue3,NA
Manes.02G027000.v8.1,Manes.02G027000,NA,blue,NA
Manes.02G030300.v8.1,Manes.02G030300,NA,red,NA
Manes.02G030000.v8.1,Manes.02G030000,NA,blue,NA
Manes.02G032685.v8.1,Manes.02G032685,NA,skyblue3,NA
Manes.02G032800.v8.1,Manes.02G032800,(1 of 2) K14423 - 4;4-dimethyl-9beta;19-cyclopropylsterol-4alpha-methyl oxidase (SMO1),blue,NA
Manes.02G033500.v8.1,Manes.02G033500,NA,blue,NA
Manes.02G034500.v8.1,Manes.02G034500,NA,blue,NA
Manes.02G034600.v8.1,Manes.02G034600,NA,skyblue3,NA
Manes.02G034700.v8.1,Manes.02G034700,(1 of 2) PTHR31080:SF2 - F23N19.14-RELATED,moccasin,carb
Manes.02G034900.v8.1,Manes.02G034900,(1 of 4) PTHR31080:SF8 - F23N19.12,blue,carb
Manes.02G035000.v8.1,Manes.02G035000,(1 of 3) K02355 - elongation factor G (fusA; GFM; EFG),red,NA
Manes.02G035300.v8.1,Manes.02G035300,(1 of 2) PTHR12000//PTHR12000:SF16 - HEMOGLOBINASE FAMILY MEMBER // SUBFAMILY NOT NAMED,blue,NA
Manes.02G038200.v8.1,Manes.02G038200,(1 of 2) 1.1.1.27 - L-lactate dehydrogenase / L-lactic dehydrogenase,blue,NA
Manes.02G042100.v8.1,Manes.02G042100,(1 of 3) 3.1.3.16//3.1.3.27//3.1.3.48 - Protein-serine/threonine phosphatase / Serine/threonine specific protein phosphatase // Phosphatidylglycerophosphatase // Protein-tyrosine-phosphatase / PTPase,blue,NA
Manes.02G042900.v8.1,Manes.02G042900,NA,blue,NA
Manes.02G044200.v8.1,Manes.02G044200,NA,blue,NA
Manes.02G046700.v8.1,Manes.02G046700,(1 of 1) PTHR23076:SF54 - ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 6; CHLOROPLASTIC,blue,NA
Manes.02G047100.v8.1,Manes.02G047100,(1 of 2) PTHR10759//PTHR10759:SF8 - 60S RIBOSOMAL PROTEIN L34 // SUBFAMILY NOT NAMED,blue,NA
Manes.02G048440.v8.1,Manes.02G048440,NA,blue,NA
Manes.02G049500.v8.1,Manes.02G049500,NA,blue,NA
Manes.02G050200.v8.1,Manes.02G050200,(1 of 4) 5.4.99.5 - Chorismate mutase / Hydroxyphenylpyruvate synthase,skyblue3,NA
Manes.02G050801.v8.1,Manes.02G050801,(1 of 3) 3.1.3.67 - Phosphatidylinositol-3;4;5-trisphosphate 3-phosphatase / Phosphatidylinositol-3;4;5-trisphosphate 3-phosphohydrolase,blue,NA
Manes.02G051500.v8.1,Manes.02G051500,NA,skyblue3,NA
Manes.02G053700.v8.1,Manes.02G053700,NA,blue,NA
Manes.02G056300.v8.1,Manes.02G056300,NA,red,NA
Manes.02G057200.v8.1,Manes.02G057200,NA,blue,NA
Manes.02G057300.v8.1,Manes.02G057300,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),blue,NA
Manes.02G058400.v8.1,Manes.02G058400,NA,blue,NA
Manes.02G061900.v8.1,Manes.02G061900,(1 of 3) PTHR22952//PTHR22952:SF133 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED,skyblue3,NA
Manes.02G064600.v8.1,Manes.02G064600,NA,blue,NA
Manes.02G066200.v8.1,Manes.02G066200,(1 of 2) K03680 - translation initiation factor eIF-2B subunit delta (EIF2B4),red,NA
Manes.02G068800.v8.1,Manes.02G068800,(1 of 4) PTHR12565//PTHR12565:SF128 - STEROL REGULATORY ELEMENT-BINDING PROTEIN // TRANSCRIPTION FACTOR BHLH75,blue,NA
Manes.02G069000.v8.1,Manes.02G069000,(1 of 2) 5.3.1.8 - Mannose-6-phosphate isomerase / Phosphomannose isomerase,red,carb
Manes.02G069300.v8.1,Manes.02G069300,(1 of 1) K15441 - tRNA-specific adenosine deaminase 2 [EC:3.5.4.-] (TAD2; ADAT2),red,NA
Manes.02G071000.v8.1,Manes.02G071000,NA,blue,NA
Manes.02G073200.v8.1,Manes.02G073200,NA,red,NA
Manes.02G077000.v8.1,Manes.02G077000,(1 of 2) PTHR21493:SF112 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN,red,NA
Manes.02G077700.v8.1,Manes.02G077700,NA,blue,NA
Manes.02G080500.v8.1,Manes.02G080500,(1 of 4) 1.1.1.42 - Isocitrate dehydrogenase (NADP(+)) / oxalosuccinate carboxylase,magenta3,NA
Manes.02G082900.v8.1,Manes.02G082900,(1 of 5) PTHR23257//PTHR23257:SF541 - SERINE-THREONINE PROTEIN KINASE // SUBFAMILY NOT NAMED,skyblue3,NA
Manes.02G087801.v8.1,Manes.02G087801,NA,blue,NA
Manes.02G088600.v8.1,Manes.02G088600,(1 of 2) KOG0716 - Molecular chaperone (DnaJ superfamily),red,NA
Manes.02G089800.v8.1,Manes.02G089800,(1 of 3) PTHR22838:SF3 - WD-REPEAT PROTEIN-LIKE,red,NA
Manes.02G090800.v8.1,Manes.02G090800,(1 of 2) PTHR23257:SF545 - SERINE/THREONINE KINASE-RELATED,red,NA
Manes.02G095100.v8.1,Manes.02G095100,(1 of 1) PTHR12565//PTHR12565:SF132 - STEROL REGULATORY ELEMENT-BINDING PROTEIN // TRANSCRIPTION FACTOR BEE 2-RELATED,red,NA
Manes.02G096600.v8.1,Manes.02G096600,NA,blue,NA
Manes.02G097200.v8.1,Manes.02G097200,(1 of 4) PTHR23070//PTHR23070:SF12 - BCS1 AAA-TYPE ATPASE // SUBFAMILY NOT NAMED,blue,NA
Manes.02G098700.v8.1,Manes.02G098700,(1 of 1) PTHR10992//PTHR10992:SF804 - ALPHA/BETA HYDROLASE FOLD-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,blue,NA
Manes.02G099200.v8.1,Manes.02G099200,NA,red,NA
Manes.02G100500.v8.1,Manes.02G100500,NA,red,NA
Manes.02G101501.v8.1,Manes.02G101501,NA,blue,NA
Manes.02G102600.v8.1,Manes.02G102600,(1 of 1) 2.5.1.78 - 6;7-dimethyl-8-ribityllumazine synthase / Lumazine synthase,blue,NA
Manes.02G103900.v8.1,Manes.02G103900,(1 of 2) PTHR31447//PTHR31447:SF1 - FAMILY NOT NAMED // 2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE-LIKE PROTEIN,blue,NA
Manes.02G106100.v8.1,Manes.02G106100,(1 of 2) PTHR24423//PTHR24423:SF436 - TWO-COMPONENT SENSOR HISTIDINE KINASE // HISTIDINE KINASE 1,blue,NA
Manes.02G113900.v8.1,Manes.02G113900,NA,blue,NA
Manes.02G114100.v8.1,Manes.02G114100,NA,blue,NA
Manes.02G114600.v8.1,Manes.02G114600,(1 of 5) K08832 - serine/threonine-protein kinase SRPK3 [EC:2.7.11.1] (SRPK3; STK23),skyblue3,NA
Manes.02G117704.v8.1,Manes.02G117704,NA,blue,NA
Manes.02G118300.v8.1,Manes.02G118300,(1 of 3) PTHR19139//PTHR19139:SF30 - AQUAPORIN TRANSPORTER // AQUAPORIN TIP3-1-RELATED,blue,NA
Manes.02G119900.v8.1,Manes.02G119900,(1 of 1) K10140 - DNA damage-binding protein 2 (DDB2),blue,NA
Manes.02G120100.v8.1,Manes.02G120100,(1 of 1) PTHR31956:SF9 - NON-SPECIFIC PHOSPHOLIPASE C1,red,NA
