Abbreviation,Best-hit-arabi-defline,class,colors,degree.layout,Description,gene_id,gene_metabolite,GO,GODescription,KO,KOG,locusName,name,Panther,Pathways,Pathways_Desc,Pfam,selected,shared name
,"Glycosyl transferase, family 35",carb,black,203,(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase,Manes.02G052280.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.02G052280,PTHR11468 PTHR11468:SF8,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.02G052280
,"Glycosyl transferase, family 35",carb,green,110,(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase,Manes.02G052600.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.02G052600,PTHR11468 PTHR11468:SF8,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.02G052600
,UDP-glucose pyrophosphorylase 2,carb,brown,129,(1 of 3) K00963 - UTP--glucose-1-phosphate uridylyltransferase (UGP2; galU; galF),Manes.02G080600.v8.1,gene,GO:0003983 GO:0006011 GO:0008152 GO:0070569,UTP:glucose-1-phosphate uridylyltransferase activity; UDP-glucose metabolic process; metabolic process; uridylyltransferase activity,K00963,,,Manes.02G080600,PTHR11952 PTHR11952:SF13,PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343,sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis,PF01704,FALSE,Manes.02G080600
,,carb,black,227,(1 of 1) PTHR12526//PTHR12526:SF392 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED,Manes.02G082800.v8.1,gene,GO:0004373,"alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",K00703,,,Manes.02G082800,PTHR12526 PTHR12526:SF392,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00534 PF08323,FALSE,Manes.02G082800
,,carb,blue,181,(1 of 1) 2.4.1.19 - Cyclomaltodextrin glucanotransferase / Cyclodextrin glycosyltransferase,Manes.02G120500.v8.1,gene,GO:0003824 GO:2001070,catalytic activity; starch binding,,,,Manes.02G120500,PTHR10357 PTHR10357:SF149,,,PF00686,FALSE,Manes.02G120500
,alpha-glucan phosphorylase 2,carb,black,116,(1 of 1) PTHR11468:SF4 - ALPHA-GLUCAN PHOSPHORYLASE 2; CYTOSOLIC,Manes.02G122500.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.02G122500,PTHR11468 PTHR11468:SF4,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.02G122500
DLAT,2-oxoacid dehydrogenases acyltransferase family protein,carb,turquoise,232,(1 of 5) K00627 - pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) (DLAT; aceF; pdhC),Manes.02G190800.v8.1,gene,GO:0008152 GO:0016746,metabolic process; acyltransferase activity,K00627,KOG0557,,Manes.02G190800,PTHR23151 PTHR23151:SF61,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00198 PF00364 PF02817,FALSE,Manes.02G190800
,phosphofructokinase 3,carb,turquoise,100,(1 of 4) PTHR13697:SF7 - 6-PHOSPHOFRUCTOKINASE 1-RELATED,Manes.03G029300.v8.1,gene,GO:0003872 GO:0005524 GO:0006002 GO:0006096,6-phosphofructokinase activity; ATP binding; fructose 6-phosphate metabolic process; glycolytic process,K00850,,,Manes.03G029300,PTHR13697 PTHR13697:SF7,PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00365,FALSE,Manes.03G029300
,,carb,grey,55,(1 of 1) 3.2.1.80 - Fructan beta-fructosidase / Fructanase,Manes.03G049200.v8.1,gene,GO:0004553 GO:0005975,"hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",K01193,,,Manes.03G049200,PTHR31953 PTHR31953:SF14,PWY-862; PWY66-373; PWY-621,fructan degradation; sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase),PF00251 PF08244,FALSE,Manes.03G049200
HMG-CoA R,,carot,turquoise,189,(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase,Manes.03G096600.v8.1,gene,GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114,hydroxymethylglutaryl-CoA reductase (NADPH) activity; isoprenoid biosynthetic process; coenzyme A metabolic process; NADP binding,K00021,,,Manes.03G096600,PTHR10572 PTHR10572:SF9,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF00368,TRUE,Manes.03G096600
GPS1,geranyl diphosphate synthase 1,carot,turquoise,159,(1 of 1) K14066 - geranyl diphosphate synthase (GPS),Manes.03G083900.v8.1,gene,GO:0008299,isoprenoid biosynthetic process,K14066,KOG0776,,Manes.03G083900,PTHR12001 PTHR12001:SF47,PWY-6520,nonaprenyl diphosphate biosynthesis II,PF00348,TRUE,Manes.03G083900
FDPS,,carot,turquoise,160,(1 of 3) K00787 - farnesyl diphosphate synthase (FDPS),Manes.03G143700.v8.1,gene,GO:0008299,isoprenoid biosynthetic process,K00787,KOG0711,,Manes.03G143700,PTHR11525,PWY-5910; PWY-6859; PWY-5123,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate); <i>all-trans</i>-farnesol biosynthesis; <i>trans, trans</i>-farnesyl diphosphate biosynthesis",PF00348,TRUE,Manes.03G143700
NCED6,nine-cis-epoxycarotenoid dioxygenase 6,carot,turquoise,156,(1 of 2) PTHR10543//PTHR10543:SF48 - BETA-CAROTENE DIOXYGENASE // 9-CIS-EPOXYCAROTENOID DIOXYGENASE NCED6; CHLOROPLASTIC,Manes.03G150400.v8.1,gene,,,K09840,,,Manes.03G150400,PTHR10543 PTHR10543:SF48,PWY-695,abscisic acid biosynthesis,PF03055,TRUE,Manes.03G150400
MDH1,Lactate/malate dehydrogenase family protein,carb,green,253,(1 of 5) K00025 - malate dehydrogenase (MDH1),Manes.03G164100.v8.1,gene,GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"malate metabolic process; oxidoreductase activity; malate dehydrogenase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00025,,,Manes.03G164100,PTHR23382 PTHR23382:SF7,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF00056 PF02866,FALSE,Manes.03G164100
,beta-amylase 3,carb,green,182,(1 of 1) PTHR31352:SF3 - INACTIVE BETA-AMYLASE 9,Manes.03G191000.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,,,,Manes.03G191000,PTHR31352 PTHR31352:SF3,PWY-6724,starch degradation II,PF01373,FALSE,Manes.03G191000
,mitochondrial lipoamide dehydrogenase 1,carb,pink,149,(1 of 1) PTHR22912//PTHR22912:SF148 - DISULFIDE OXIDOREDUCTASE // SUBFAMILY NOT NAMED,Manes.03G209100.v8.1,gene,GO:0004148 GO:0008033 GO:0016491 GO:0045454 GO:0050660 GO:0055114,dihydrolipoyl dehydrogenase activity; tRNA processing; oxidoreductase activity; cell redox homeostasis; flavin adenine dinucleotide binding,K00382,,,Manes.03G209100,PTHR22912 PTHR22912:SF148,PWY-5173; PWY-5464; PWY-5046; PWY-5084; PYRUVDEHYD-PWY; GLYCLEAV-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; 2-oxoisovalerate decarboxylation to isobutanoyl-CoA; 2-oxoglutarate decarboxylation to succinyl-CoA; pyruvate decarboxylation to acetyl CoA; glycine cleavage",PF00070 PF01134 PF02852,FALSE,Manes.03G209100
HMBPP S,4-hydroxy-3-methylbut-2-enyl diphosphate synthase,carot,red,191,(1 of 2) 1.17.7.1 - (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin) / 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Manes.04G021700.v8.1,gene,GO:0005506 GO:0008299 GO:0016114 GO:0046429 GO:0055114,iron ion binding; isoprenoid biosynthetic process; terpenoid biosynthetic process; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity (ferredoxin),K03526,,,Manes.04G021700,PTHR30454 PTHR30454:SF0,PWY-7560,methylerythritol phosphate pathway II,PF04551,TRUE,Manes.04G021700
,"Succinyl-CoA ligase, alpha subunit",carb,yellow,99,(1 of 2) K01899 - succinyl-CoA synthetase alpha subunit (LSC1),Manes.04G053480.v8.1,gene,GO:0003824 GO:0008152 GO:0048037,catalytic activity; metabolic process,K01899,,,Manes.04G053480,PTHR11117 PTHR11117:SF9,PWY-5464; PWY-5690,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi)",PF00549 PF02629,FALSE,Manes.04G053480
,triosephosphate isomerase,carb,turquoise,123,(1 of 2) PTHR21139//PTHR21139:SF7 - TRIOSEPHOSPHATE ISOMERASE // TRIOSEPHOSPHATE ISOMERASE; CHLOROPLASTIC,Manes.04G078300.v8.1,gene,GO:0004807 GO:0008152,triose-phosphate isomerase activity; metabolic process,K01803,KOG1643,,Manes.04G078300,PTHR21139 PTHR21139:SF7,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00121,FALSE,Manes.04G078300
ABA2,NAD(P)-binding Rossmann-fold superfamily protein,carot,turquoise,175,(1 of 1) K09841 - xanthoxin dehydrogenase (ABA2),Manes.04G164700.v8.1,gene,GO:0008152 GO:0008667 GO:0016491 GO:0019290 GO:0055114,"metabolic process; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity; oxidoreductase activity; siderophore biosynthetic process",K09841,KOG0725,,Manes.04G164700,PTHR24322 PTHR24322:SF301,PWY-695,abscisic acid biosynthesis,PF13561,TRUE,Manes.04G164700
,beta-amylase 2,carb,black,105,(1 of 7) K01177 - beta-amylase (E3.2.1.2),Manes.05G034800.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,K01177,,,Manes.05G034800,PTHR31352 PTHR31352:SF6,PWY-6724,starch degradation II,PF01373,FALSE,Manes.05G034800
,,carb,black,189,(1 of 1) PTHR10357:SF110 - PROTEIN T04A8.7; ISOFORM A,Manes.05G133800.v8.1,gene,GO:0003824 GO:0003844 GO:0004553 GO:0005975 GO:0005978 GO:0043169,"catalytic activity; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; glycogen biosynthetic process; cation binding",K00700,,,Manes.05G133800,PTHR10357 PTHR10357:SF110,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00128 PF02806 PF02922,FALSE,Manes.05G133800
,pfkB-like carbohydrate kinase family protein,carb,blue,149,(1 of 2) PTHR10584//PTHR10584:SF153 - SUGAR KINASE // SUBFAMILY NOT NAMED,Manes.05G157500.v8.1,gene,,,,KOG2854,,Manes.05G157500,PTHR10584 PTHR10584:SF153,PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00294,FALSE,Manes.05G157500
PDS3,phytoene desaturase 3,carot,black,86,(1 of 1) K02293 - 15-cis-phytoene desaturase (PDS; crtP),Manes.05G193700.v8.1,gene,GO:0016117 GO:0016705 GO:0055114,"carotenoid biosynthetic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",K02293,KOG0029,,Manes.05G193700,PTHR10742 PTHR10742:SF278,CAROTENOID-PWY; PWY-6475,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants),PF13450,TRUE,Manes.05G193700
,Plant neutral invertase family protein,carb,turquoise,166,(1 of 14) 3.2.1.26 - Beta-fructofuranosidase / Saccharase,Manes.05G200900.v8.1,gene,GO:0033926,endo-alpha-N-acetylgalactosaminidase activity,,,,Manes.05G200900,PTHR31916 PTHR31916:SF15,PWY66-373; PWY-621,sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase),PF12899,FALSE,Manes.05G200900
,Aldolase superfamily protein,carb,green,232,(1 of 2) PTHR11627//PTHR11627:SF8 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE 3; CHLOROPLASTIC-RELATED,Manes.06G063500.v8.1,gene,GO:0004332 GO:0006096,fructose-bisphosphate aldolase activity; glycolytic process,K01623,,,Manes.06G063500,PTHR11627 PTHR11627:SF8,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00274,FALSE,Manes.06G063500
,(1 of 13) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase,carb,green,200,(1 of 9) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase,Manes.06G101800.v8.1,gene,,,,,,Manes.06G101800,PTHR36041 PTHR36041:SF1,PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781,"aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)",,FALSE,Manes.06G101800
,glyceraldehyde-3-phosphate dehydrogenase C2,carb,pink,162,(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH; gapA),Manes.06G116400.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K00134,KOG0657,,Manes.06G116400,PTHR10836 PTHR10836:SF59,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02800,FALSE,Manes.06G116400
,phosphoglucomutase,carb,blue,162,(1 of 2) 5.4.2.2//5.4.2.5 - Phosphoglucomutase (alpha-D-glucose-1;6-bisphosphate-dependent) / Phosphoglucose mutase // Phosphoglucomutase (glucose-cofactor) / Glucose-1-phosphate phosphotransferase,Manes.06G141300.v8.1,gene,GO:0005975 GO:0016868 GO:0071704,carbohydrate metabolic process; intramolecular phosphotransferase activity,K01835,,,Manes.06G141300,PTHR22573 PTHR22573:SF2,PWY-3801; GLYCOGENSYNTH-PWY; SUCSYN-PWY; PWY-7238; PWY-7343; GLUCOSE1PMETAB-PWY; PWY-622; PWY66-422,sucrose degradation II (sucrose synthase); glycogen biosynthesis I (from ADP-D-Glucose); sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis; glucose and glucose-1-phosphate degradation; starch biosynthesis; D-galactose degradation V (Leloir pathway),PF00408 PF02878 PF02879 PF02880,FALSE,Manes.06G141300
,plastidic pyruvate kinase beta subunit 1,carb,red,185,(1 of 2) PTHR11817//PTHR11817:SF2 - PYRUVATE KINASE // PLASTIDIAL PYRUVATE KINASE 2,Manes.06G155200.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.06G155200,PTHR11817 PTHR11817:SF2,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.06G155200
HK-like,hexokinase-like 1,carb,royalblue,247,(1 of 2) PTHR19443:SF6 - HEXOKINASE-3-RELATED,Manes.06G161400.v8.1,gene,GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835,"intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",K00844,,,Manes.06G161400,PTHR19443 PTHR19443:SF6,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,PF00349 PF03727,FALSE,Manes.06G161400
,glyceraldehyde-3-phosphate dehydrogenase of plastid 2,carb,pink,180,(1 of 2) PTHR10836//PTHR10836:SF46 - GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE // SUBFAMILY NOT NAMED,Manes.06G176700.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K00134,KOG0657,,Manes.06G176700,PTHR10836 PTHR10836:SF46,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02800,FALSE,Manes.06G176700
,,carb,blue,125,(1 of 2) PTHR11817//PTHR11817:SF21 - PYRUVATE KINASE // SUBFAMILY NOT NAMED,Manes.07G056300.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,KOG2323,,Manes.07G056300,PTHR11817 PTHR11817:SF21,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.07G056300
CYP97C1,Cytochrome P450 superfamily protein,carot,blue,161,(1 of 1) K09837 - carotene epsilon-monooxygenase (LUT1; CYP97C1),Manes.08G016300.v8.1,gene,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding",K09837,KOG0157,,Manes.08G016300,PTHR24291 PTHR24291:SF52,CAROTENOID-PWY; PWY-5947,superpathway of carotenoid biosynthesis; lutein biosynthesis,PF00067,TRUE,Manes.08G016300
,Pyruvate kinase family protein,carb,red,160,(1 of 3) PTHR11817//PTHR11817:SF33 - PYRUVATE KINASE // SUBFAMILY NOT NAMED,Manes.08G018800.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.08G018800,PTHR11817 PTHR11817:SF33,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.08G018800
