gene_id,locusName,Description,colors,class
Manes.01G140700.v8.1,Manes.01G140700,(1 of 1) 1.1.99.39 - D-2-hydroxyglutarate dehydrogenase,brown,NA
Manes.01G141500.v8.1,Manes.01G141500,(1 of 2) PTHR31604//PTHR31604:SF3 - FAMILY NOT NAMED // PROTEIN SHI RELATED SEQUENCE 1-RELATED,skyblue3,NA
Manes.01G145100.v8.1,Manes.01G145100,(1 of 2) PTHR31161//PTHR31161:SF6 - FAMILY NOT NAMED // KINECTIN-RELATED PROTEIN,skyblue3,NA
Manes.01G146900.v8.1,Manes.01G146900,(1 of 2) PTHR31048:SF11 - PATHOGENESIS-RELATED THAUMATIN FAMILY PROTEIN,yellow,NA
Manes.01G148000.v8.1,Manes.01G148000,(1 of 2) PTHR22765//PTHR22765:SF59 - RING FINGER AND PROTEASE ASSOCIATED DOMAIN-CONTAINING // RECEPTOR HOMOLOGY REGION; TRANSMEMBRANE DOMAIN- AND RING DOMAIN-CONTAINING PROTEIN 1,brown,NA
Manes.01G148200.v8.1,Manes.01G148200,(1 of 2) K02150 - V-type H+-transporting ATPase subunit E (ATPeV1E; ATP6E),yellow,NA
Manes.01G150600.v8.1,Manes.01G150600,(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG),brown,NA
Manes.01G151100.v8.1,Manes.01G151100,(1 of 2) PTHR18896//PTHR18896:SF60 - PHOSPHOLIPASE D // PHOSPHOLIPASE D DELTA,brown,NA
Manes.01G152000.v8.1,Manes.01G152000,(1 of 1) PTHR34573//PTHR34573:SF1 - FAMILY NOT NAMED // THIOL-DISULFIDE OXIDOREDUCTASE LTO1,skyblue3,NA
Manes.01G152100.v8.1,Manes.01G152100,(1 of 2) PTHR11106//PTHR11106:SF58 - GANGLIOSIDE INDUCED DIFFERENTIATION ASSOCIATED PROTEIN 2-RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.01G153000.v8.1,Manes.01G153000,(1 of 1) PTHR12161//PTHR12161:SF19 - UNCHARACTERIZED DUF292 // REGULATOR OF VPS4 ACTIVITY IN THE MVB PATHWAY PROTEIN,skyblue3,NA
Manes.01G154900.v8.1,Manes.01G154900,(1 of 2) 4.3.3.7 - 4-hydroxy-tetrahydrodipicolinate synthase / Dihydrodipicolinate synthetase,yellow,NA
Manes.01G155000.v8.1,Manes.01G155000,(1 of 1) PTHR27001:SF32 - INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4 PROTEIN-RELATED,yellow,NA
Manes.01G156800.v8.1,Manes.01G156800,(1 of 1) PTHR31942:SF18 - MLO-LIKE PROTEIN 10-RELATED,brown,NA
Manes.01G158700.v8.1,Manes.01G158700,(1 of 1) PTHR10209//PTHR10209:SF108 - OXIDOREDUCTASE; 2OG-FE II  OXYGENASE FAMILY PROTEIN // 2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE-LIKE PROTEIN,brown,NA
Manes.01G159201.v8.1,Manes.01G159201,,yellow,NA
Manes.01G161100.v8.1,Manes.01G161100,(1 of 3) K06215 - pyridoxal 5'-phosphate synthase pdxS subunit (pdxS; pdx1),brown,NA
Manes.01G161300.v8.1,Manes.01G161300,(1 of 3) PTHR11071//PTHR11071:SF291 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE // SUBFAMILY NOT NAMED,yellow,NA
Manes.01G162500.v8.1,Manes.01G162500,(1 of 1) PTHR11926//PTHR11926:SF374 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // UDP-GLYCOSYLTRANSFERASE 71C4,yellow,NA
Manes.01G167200.v8.1,Manes.01G167200,(1 of 7) K14686 - solute carrier family 31 (copper transporter); member 1 (SLC31A1; CTR1),yellow,NA
Manes.01G173632.v8.1,Manes.01G173632,(1 of 1) PTHR12396:SF11 - METHYL-CPG-BINDING DOMAIN-CONTAINING PROTEIN 5-RELATED,brown,NA
Manes.01G174332.v8.1,Manes.01G174332,(1 of 6) PTHR11702:SF31 - MITOCHONDRIAL RIBOSOME-ASSOCIATED GTPASE 2,brown,NA
Manes.01G174700.v8.1,Manes.01G174700,(1 of 3) K02727 - 20S proteasome subunit alpha 7 (PSMA3),brown,NA
Manes.01G175000.v8.1,Manes.01G175000,(1 of 2) K12176 - COP9 signalosome complex subunit 2 (COPS2; CSN2; TRIP15),brown,NA
Manes.01G176200.v8.1,Manes.01G176200,(1 of 3) K03232 - elongation factor 1-beta (EEF1B),yellow,NA
Manes.01G181600.v8.1,Manes.01G181600,(1 of 2) K03678 - exosome complex component RRP45 (RRP45; EXOSC9),yellow,NA
Manes.01G182300.v8.1,Manes.01G182300,(1 of 1) PTHR10366//PTHR10366:SF384//PTHR15020//PTHR15020:SF11 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // NAD(P)-BINDING ROSSMANN-FOLD SUPERFAMILY PROTEIN // FLAVIN REDUCTASE-RELATED // UPF0659 PROTEIN YMR090W,yellow,NA
Manes.01G182501.v8.1,Manes.01G182501,(1 of 1) PTHR31479:SF4 - GB|AAD29063.1,yellow,NA
Manes.01G183200.v8.1,Manes.01G183200,(1 of 38) PF01535//PF12854//PF13041 - PPR repeat (PPR) // PPR repeat (PPR_1) // PPR repeat family (PPR_2),yellow,NA
Manes.01G183800.v8.1,Manes.01G183800,(1 of 2) PTHR32295//PTHR32295:SF33 - FAMILY NOT NAMED // PROTEIN IQ-DOMAIN 21,yellow,NA
Manes.01G184800.v8.1,Manes.01G184800,(1 of 3) PTHR10460:SF10 - PROTEIN ABIL2-RELATED,floralwhite,NA
Manes.01G187200.v8.1,Manes.01G187200,(1 of 1) PTHR22870//PTHR22870:SF187 - REGULATOR OF CHROMOSOME CONDENSATION // SUBFAMILY NOT NAMED,yellow,NA
Manes.01G191300.v8.1,Manes.01G191300,(1 of 5) PTHR11654//PTHR11654:SF98 - OLIGOPEPTIDE TRANSPORTER-RELATED // PROTEIN NRT1/ PTR FAMILY 4.5-RELATED,brown,NA
Manes.01G191500.v8.1,Manes.01G191500,(1 of 2) KOG0490 - Transcription factor; contains HOX domain,brown,NA
Manes.01G191800.v8.1,Manes.01G191800,(1 of 1) PTHR10343//PTHR10343:SF47 - 5'-AMP-ACTIVATED PROTEIN KINASE ; BETA SUBUNIT // 5'-AMP-ACTIVATED PROTEIN KINASE-LIKE PROTEIN,yellow,NA
Manes.01G192200.v8.1,Manes.01G192200,(1 of 2) PTHR24078:SF317 - DNAJ HEAT SHOCK PROTEIN-RELATED,yellow,NA
Manes.01G192700.v8.1,Manes.01G192700,(1 of 1) PTHR11260:SF312 - GLUTATHIONE S-TRANSFERASE U17-RELATED,brown,NA
Manes.01G194800.v8.1,Manes.01G194800,(1 of 1) PTHR31238:SF5 - GERMIN-LIKE PROTEIN SUBFAMILY 1 MEMBER 1,yellow,NA
Manes.01G196700.v8.1,Manes.01G196700,(1 of 1) K03512 - DNA polymerase lambda (POLL),brown,NA
Manes.01G197100.v8.1,Manes.01G197100,(1 of 53) PF14009 - Domain of unknown function (DUF4228) (DUF4228),yellow,NA
Manes.01G197800.v8.1,Manes.01G197800,(1 of 62) PF00892 - EamA-like transporter family (EamA),floralwhite,NA
Manes.01G198700.v8.1,Manes.01G198700,(1 of 2) PTHR13833:SF42 - NHL DOMAIN-CONTAINING PROTEIN,brown,NA
Manes.01G202500.v8.1,Manes.01G202500,(1 of 2) K18881 - D-lactate dehydratase (DJ1D),brown,NA
Manes.01G203800.v8.1,Manes.01G203800,(1 of 1) PTHR13743:SF84 - BEACH DOMAIN-CONTAINING PROTEIN LVSB,yellow,NA
Manes.01G207000.v8.1,Manes.01G207000,(1 of 2) K14963 - COMPASS component SWD3 (WDR5; SWD3; CPS30),brown,NA
Manes.01G207400.v8.1,Manes.01G207400,(1 of 2) PTHR32241//PTHR32241:SF5 - FAMILY NOT NAMED // INACTIVE PATATIN-LIKE PROTEIN 9-RELATED,brown,NA
Manes.01G209400.v8.1,Manes.01G209400,(1 of 3) PTHR12064//PTHR12064:SF32 - ANCIENT CONSERVED DOMAIN PROTEIN-RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.01G209500.v8.1,Manes.01G209500,,brown,NA
Manes.01G210000.v8.1,Manes.01G210000,(1 of 1) PTHR37219//PTHR37219:SF1 - FAMILY NOT NAMED // PROTEIN PALE CRESS; CHLOROPLASTIC,floralwhite,NA
Manes.01G210100.v8.1,Manes.01G210100,(1 of 2) PTHR33739//PTHR33739:SF4 - FAMILY NOT NAMED // MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 33B,yellow,NA
Manes.01G210500.v8.1,Manes.01G210500,(1 of 1) PTHR35095//PTHR35095:SF1 - FAMILY NOT NAMED // F15K9.6,brown,NA
Manes.01G211500.v8.1,Manes.01G211500,(1 of 3) PTHR14859:SF2 - DNASE I-LIKE SUPERFAMILY PROTEIN,brown,NA
Manes.01G214000.v8.1,Manes.01G214000,(1 of 5) PTHR10110:SF117 - SODIUM/HYDROGEN EXCHANGER 1-RELATED,brown,NA
Manes.01G214300.v8.1,Manes.01G214300,(1 of 3) K14485 - transport inhibitor response 1 (TIR1),brown,NA
Manes.01G215700.v8.1,Manes.01G215700,(1 of 4) PTHR11064:SF42 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-5,brown,NA
Manes.01G217500.v8.1,Manes.01G217500,(1 of 1) K10858 - DNA mismatch repair protein PMS2 (PMS2),yellow,NA
Manes.01G217900.v8.1,Manes.01G217900,(1 of 2) PTHR24223:SF246 - ABC TRANSPORTER C FAMILY MEMBER 14-RELATED,yellow,NA
Manes.01G218300.v8.1,Manes.01G218300,(1 of 4) K12890 - splicing factor; arginine/serine-rich 1/9 (SFRS1_9),yellow,NA
Manes.01G221200.v8.1,Manes.01G221200,(1 of 4) K02883 - large subunit ribosomal protein L18e (RP-L18e; RPL18),yellow,NA
Manes.01G226500.v8.1,Manes.01G226500,(1 of 2) PTHR23241//PTHR23241:SF55 - LATE EMBRYOGENESIS ABUNDANT  PLANTS  LEA-RELATED // SUBFAMILY NOT NAMED,yellow,NA
