gene_id,locusName,Description,colors,class,gene_metabolite
Manes.01G031600.v8.1,Manes.01G031600,(1 of 2) PTHR31221:SF22 - WRKY TRANSCRIPTION FACTOR 3-RELATED,yellow,NA,gene
Manes.01G034200.v8.1,Manes.01G034200,(1 of 2) PTHR14304//PTHR14304:SF11 - P30 DBC PROTEIN // PROTEIN LST-3; ISOFORM A,red,NA,gene
Manes.01G034800.v8.1,Manes.01G034800,(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED,yellow,NA,gene
Manes.01G039500.v8.1,Manes.01G039500,(1 of 2) PTHR14221//PTHR14221:SF1 - WD REPEAT DOMAIN 44 // TRANSDUCIN/WD40 DOMAIN-CONTAINING PROTEIN,red,NA,gene
Manes.01G037600.v8.1,Manes.01G037600,(1 of 2) K18466 - vacuolar protein sorting-associated protein 26 (VPS26),red,NA,gene
Manes.01G038000.v8.1,Manes.01G038000,(1 of 3) PTHR23074//PTHR23074:SF20 - AAA ATPASE // GH08677P,yellow,NA,gene
Manes.01G041400.v8.1,Manes.01G041400,(1 of 5) PF05030 - SSXT protein (N-terminal region) (SSXT),magenta,NA,gene
Manes.01G043300.v8.1,Manes.01G043300,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),yellow,NA,gene
Manes.01G043900.v8.1,Manes.01G043900,(1 of 4) K03626 - nascent polypeptide-associated complex subunit alpha (EGD2; NACA),red,NA,gene
Manes.01G044200.v8.1,Manes.01G044200,,yellow,NA,gene
Manes.01G044400.v8.1,Manes.01G044400,(1 of 1) PTHR22814:SF51 - HEAVY METAL TRANSPORT/DETOXIFICATION DOMAIN-CONTAINING PROTEIN,yellow,NA,gene
Manes.01G051530.v8.1,Manes.01G051530,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),yellow,NA,gene
Manes.01G049700.v8.1,Manes.01G049700,(1 of 2) PTHR11566//PTHR11566:SF58 - DYNAMIN // DYNAMIN-RELATED PROTEIN 1A,red,NA,gene
Manes.01G052500.v8.1,Manes.01G052500,(1 of 2) PTHR10857//PTHR10857:SF54 - COPINE // DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN,yellow,NA,gene
Manes.01G052600.v8.1,Manes.01G052600,(1 of 2) PTHR22765:SF50 - RING-H2 ZINC FINGER PROTEIN RHA4A,red,NA,gene
Manes.01G060400.v8.1,Manes.01G060400,(1 of 6) K12897 - transformer-2 protein (TRA2),red,NA,gene
Manes.01G062700.v8.1,Manes.01G062700,(1 of 3) 3.6.3.4//3.6.3.54 - Cu(2+)-exporting ATPase // Cu(+) exporting ATPase,magenta,NA,gene
Manes.01G063000.v8.1,Manes.01G063000,(1 of 1) K11883 - RNA-binding protein NOB1 (NOB1),magenta,NA,gene
Manes.01G066000.v8.1,Manes.01G066000,(1 of 2) PTHR31764:SF0 - PROTEIN HAPLESS 2,magenta,NA,gene
Manes.01G072100.v8.1,Manes.01G072100,(1 of 2) K14423 - 4;4-dimethyl-9beta;19-cyclopropylsterol-4alpha-methyl oxidase (SMO1),yellow,NA,gene
Manes.01G076800.v8.1,Manes.01G076800,(1 of 19) PF14144 - Seed dormancy control (DOG1),magenta,NA,gene
Manes.01G076900.v8.1,Manes.01G076900,(1 of 2) 2.3.1.180 - Beta-ketoacyl-[acyl-carrier-protein] synthase III / KASIII,magenta,NA,gene
Manes.01G080400.v8.1,Manes.01G080400,,yellow,NA,gene
Manes.01G081800.v8.1,Manes.01G081800,(1 of 8) PF08458 - Plant pleckstrin homology-like region (PH_2),yellow,NA,gene
Manes.01G082400.v8.1,Manes.01G082400,(1 of 1) K08740 - DNA mismatch repair protein MSH4 (MSH4),yellow,NA,gene
Manes.01G083900.v8.1,Manes.01G083900,(1 of 1) PTHR24078//PTHR24078:SF280 - DNAJ HOMOLOG SUBFAMILY C MEMBER // MYB TRANSCRIPTION FACTOR,yellow,NA,gene
Manes.01G087050.v8.1,Manes.01G087050,(1 of 1) PTHR15680:SF10 - 50S RIBOSOMAL PROTEIN L19-1; CHLOROPLASTIC-RELATED,red,NA,gene
Manes.01G087400.v8.1,Manes.01G087400,(1 of 2) PTHR23291:SF34 - BAX INHIBITOR 1,yellow,NA,gene
Manes.01G087700.v8.1,Manes.01G087700,(1 of 4) PTHR22884:SF370 - HISTONE-LYSINE N-METHYLTRANSFERASE; H3 LYSINE-9 SPECIFIC SUVH5-RELATED,magenta,NA,gene
Manes.01G088500.v8.1,Manes.01G088500,(1 of 2) PTHR14154//PTHR14154:SF14 - UPF0041 BRAIN PROTEIN 44-RELATED // SUBFAMILY NOT NAMED,yellow,NA,gene
Manes.01G089000.v8.1,Manes.01G089000,(1 of 1) 3.5.3.26 - (S)-ureidoglycine aminohydrolase,magenta,NA,gene
Manes.01G093400.v8.1,Manes.01G093400,(1 of 2) K01739 - cystathionine gamma-synthase (metB),red,NA,gene
Manes.01G094800.v8.1,Manes.01G094800,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),yellow,NA,gene
Manes.01G095500.v8.1,Manes.01G095500,(1 of 1) 2.7.7.48//3.4.21.98//3.6.1.15//3.6.4.13 - RNA-directed RNA polymerase / RNA nucleotidyltransferase (RNA-directed) // Hepacivirin / Hepatitis C virus NS3 serine proteinase // Nucleoside-triphosphate phosphatase / Nucleoside-triphosphatase // RNA helicase,yellow,NA,gene
Manes.01G101300.v8.1,Manes.01G101300,(1 of 3) PTHR33971:SF1 - GENOMIC DNA; CHROMOSOME 3; P1 CLONE:MRI12,red,NA,gene
Manes.01G102000.v8.1,Manes.01G102000,,red,NA,gene
Manes.01G102400.v8.1,Manes.01G102400,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),magenta,NA,gene
Manes.01G103600.v8.1,Manes.01G103600,(1 of 2) PF14817 - HAUS augmin-like complex subunit 5 (HAUS5),magenta,NA,gene
Manes.01G106000.v8.1,Manes.01G106000,(1 of 1) K16750 - biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC1S2),red,NA,gene
Manes.01G108500.v8.1,Manes.01G108500,(1 of 2) PTHR31169:SF1 - ZINC-FINGER DOMAIN OF MONOAMINE-OXIDASE A REPRESSOR R1 PROTEIN,magenta,NA,gene
Manes.01G110900.v8.1,Manes.01G110900,(1 of 3) PF13398 - Peptidase M50B-like (Peptidase_M50B),yellow,NA,gene
Manes.01G111200.v8.1,Manes.01G111200,(1 of 1) PTHR21726//PTHR21726:SF35 - PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P  DOWN SYNDROME CRITICAL REGION PROTEIN 5 -RELATED // SUBFAMILY NOT NAMED,magenta,NA,gene
Manes.01G118300.v8.1,Manes.01G118300,(1 of 1) K10838 - xeroderma pigmentosum group C-complementing protein (XPC),red,NA,gene
Manes.01G118800.v8.1,Manes.01G118800,(1 of 2) PTHR11711//PTHR11711:SF152 - ADP RIBOSYLATION FACTOR-RELATED // ADP-RIBOSYLATION FACTOR-LIKE A1A,yellow,NA,gene
Manes.01G119001.v8.1,Manes.01G119001,,magenta,NA,gene
Manes.01G120100.v8.1,Manes.01G120100,(1 of 1) PTHR28620:SF1 - PROTEIN F25B4.8; ISOFORM A,red,NA,gene
Manes.01G122000.v8.1,Manes.01G122000,(1 of 1) K06874 - zinc finger protein (K06874),yellow,NA,gene
Manes.01G122200.v8.1,Manes.01G122200,(1 of 5) 4.1.1.15 - Glutamate decarboxylase / L-glutamate 1-carboxy-lyase,yellow,NA,gene
Manes.01G122300.v8.1,Manes.01G122300,(1 of 2) 4.4.1.8 - Cystathionine beta-lyase / Cystine lyase,yellow,NA,gene
Manes.01G122400.v8.1,Manes.01G122400,(1 of 5) 4.1.1.15 - Glutamate decarboxylase / L-glutamate 1-carboxy-lyase,red,NA,gene
Manes.01G124801.v8.1,Manes.01G124801,(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,yellow,NA,gene
Manes.01G124900.v8.1,Manes.01G124900,(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,yellow,NA,gene
Manes.01G125100.v8.1,Manes.01G125100,,red,NA,gene
Manes.01G128100.v8.1,Manes.01G128100,(1 of 2) K06942 - uncharacterized protein (K06942),yellow,NA,gene
Manes.01G129100.v8.1,Manes.01G129100,(1 of 1) K02433 - aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A (gatA; QRSL1),magenta,NA,gene
Manes.01G133200.v8.1,Manes.01G133200,(1 of 1) K02116 - ATP synthase protein I (atpI),magenta,NA,gene
Manes.01G136850.v8.1,Manes.01G136850,(1 of 3) 2.7.7.3 - Pantetheine-phosphate adenylyltransferase / PPAT,yellow,NA,gene
Manes.01G137500.v8.1,Manes.01G137500,(1 of 3) PTHR10286//PTHR10286:SF13 - INORGANIC PYROPHOSPHATASE // INORGANIC PYROPHOSPHATASE-LIKE PROTEIN,yellow,NA,gene
Manes.01G140600.v8.1,Manes.01G140600,(1 of 1) 2.8.4.3 - tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase / tRNA-i6A37 methylthiotransferase,yellow,NA,gene
Manes.01G142800.v8.1,Manes.01G142800,(1 of 2) PTHR22884//PTHR22884:SF339 - SET DOMAIN PROTEINS // PHD FINGER; SWIB/MDM2 AND GYF DOMAIN-CONTAINING PROTEIN,red,NA,gene
Manes.01G146000.v8.1,Manes.01G146000,(1 of 1) K10772 - AP endonuclease 2 (APEX2),red,NA,gene
Manes.01G148200.v8.1,Manes.01G148200,(1 of 2) K02150 - V-type H+-transporting ATPase subunit E (ATPeV1E; ATP6E),red,NA,gene
Manes.01G149000.v8.1,Manes.01G149000,(1 of 6) PTHR22835//PTHR22835:SF184 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // GDSL ESTERASE/LIPASE EXL1-RELATED,yellow,NA,gene
Manes.01G150600.v8.1,Manes.01G150600,(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG),yellow,NA,gene
Manes.01G152400.v8.1,Manes.01G152400,(1 of 4) PTHR11102//PTHR11102:SF101 - SEL-1-LIKE PROTEIN // SUBFAMILY NOT NAMED,yellow,NA,gene
Manes.01G155200.v8.1,Manes.01G155200,(1 of 3) K12898 - heterogeneous nuclear ribonucleoprotein F/H (HNRNPF_H),yellow,NA,gene
Manes.01G160400.v8.1,Manes.01G160400,(1 of 2) PTHR13544:SF0 - SELENOPROTEIN T,magenta,NA,gene
Manes.01G163500.v8.1,Manes.01G163500,,magenta,NA,gene
Manes.01G164100.v8.1,Manes.01G164100,(1 of 1) PTHR10746:SF10 - 50S RIBOSOMAL PROTEIN L4; CHLOROPLASTIC,magenta,NA,gene
Manes.01G164200.v8.1,Manes.01G164200,(1 of 2) 4.1.99.17 - Phosphomethylpyrimidine synthase,yellow,NA,gene
Manes.01G165700.v8.1,Manes.01G165700,(1 of 1) PTHR11902//PTHR11902:SF13 - ENOLASE // CYTOSOLIC ENOLASE 3,red,carb,gene
Manes.01G168000.v8.1,Manes.01G168000,(1 of 12) K06269 - serine/threonine-protein phosphatase PP1 catalytic subunit (PPP1C),red,NA,gene
Manes.01G169400.v8.1,Manes.01G169400,(1 of 2) K03122 - transcription initiation factor TFIIA large subunit (TFIIA1; GTF2A1; TOA1),red,NA,gene
Manes.01G173000.v8.1,Manes.01G173000,(1 of 3) PTHR12553//PTHR12553:SF47 - RIBONUCLEASE Z // SUBFAMILY NOT NAMED,magenta,NA,gene
Manes.01G173632.v8.1,Manes.01G173632,(1 of 1) PTHR12396:SF11 - METHYL-CPG-BINDING DOMAIN-CONTAINING PROTEIN 5-RELATED,red,NA,gene
Manes.01G174700.v8.1,Manes.01G174700,(1 of 3) K02727 - 20S proteasome subunit alpha 7 (PSMA3),yellow,NA,gene
Manes.01G182300.v8.1,Manes.01G182300,(1 of 1) PTHR10366//PTHR10366:SF384//PTHR15020//PTHR15020:SF11 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // NAD(P)-BINDING ROSSMANN-FOLD SUPERFAMILY PROTEIN // FLAVIN REDUCTASE-RELATED // UPF0659 PROTEIN YMR090W,red,NA,gene
Manes.01G189800.v8.1,Manes.01G189800,(1 of 3) 3.2.1.1//3.2.1.141 - Alpha-amylase / Glycogenase // 4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase / Maltooligosyl trehalose trehalohydrolase,yellow,NA,gene
Manes.01G192200.v8.1,Manes.01G192200,(1 of 2) PTHR24078:SF317 - DNAJ HEAT SHOCK PROTEIN-RELATED,red,NA,gene
Manes.01G192600.v8.1,Manes.01G192600,(1 of 1) PTHR16263//PTHR16263:SF4 - FAMILY NOT NAMED // TETRATRICOPEPTIDE REPEAT PROTEIN 38,red,NA,gene
Manes.01G193700.v8.1,Manes.01G193700,(1 of 2) PTHR11668//PTHR11668:SF257 - SERINE/THREONINE PROTEIN PHOSPHATASE // SUBFAMILY NOT NAMED,red,NA,gene
Manes.01G196200.v8.1,Manes.01G196200,(1 of 1) PTHR11014//PTHR11014:SF85 - PEPTIDASE M20 FAMILY MEMBER // SUBFAMILY NOT NAMED,yellow,NA,gene
Manes.01G205200.v8.1,Manes.01G205200,(1 of 1) K08851 - TP53 regulating kinase and related kinases [EC:2.7.11.1] (TP53RK; PRPK; BUD32),red,NA,gene
Manes.01G206300.v8.1,Manes.01G206300,,yellow,NA,gene
Manes.01G206800.v8.1,Manes.01G206800,(1 of 2) KOG2812 - Uncharacterized conserved protein,magenta,NA,gene
Manes.01G207600.v8.1,Manes.01G207600,(1 of 4) K14319 - Ran GTPase-activating protein 1 (RANGAP1),magenta,NA,gene
Manes.01G208900.v8.1,Manes.01G208900,(1 of 2) K11087 - small nuclear ribonucleoprotein D1 (SNRPD1; SMD1),red,NA,gene
Manes.01G209500.v8.1,Manes.01G209500,,yellow,NA,gene
Manes.01G213400.v8.1,Manes.01G213400,(1 of 2) 1.1.1.268 - 2-(R)-hydroxypropyl-CoM dehydrogenase / 2-(2-(R)-hydroxypropylthio)ethanesulfonate dehydrogenase,magenta,NA,gene
Manes.01G214000.v8.1,Manes.01G214000,(1 of 5) PTHR10110:SF117 - SODIUM/HYDROGEN EXCHANGER 1-RELATED,yellow,NA,gene
Manes.01G216600.v8.1,Manes.01G216600,(1 of 3) 1.5.1.5//3.5.4.9 - Methylenetetrahydrofolate dehydrogenase (NADP(+)) // Methenyltetrahydrofolate cyclohydrolase,magenta,NA,gene
Manes.01G217201.v8.1,Manes.01G217201,(1 of 1) PTHR10903//PTHR10903:SF39 - GTPASE; IMAP FAMILY MEMBER-RELATED // TRANSLOCASE OF CHLOROPLAST 159; CHLOROPLASTIC,red,NA,gene
Manes.01G218300.v8.1,Manes.01G218300,(1 of 4) K12890 - splicing factor; arginine/serine-rich 1/9 (SFRS1_9),red,NA,gene
Manes.01G218500.v8.1,Manes.01G218500,(1 of 1) PTHR18934//PTHR18934:SF129 - ATP-DEPENDENT RNA HELICASE // ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 31,yellow,NA,gene
Manes.01G218550.v8.1,Manes.01G218550,,red,NA,gene
Manes.01G220000.v8.1,Manes.01G220000,(1 of 3) K10798 - poly (PARP),yellow,NA,gene
Manes.01G220100.v8.1,Manes.01G220100,(1 of 2) PTHR10459//PTHR10459:SF59 - DNA LIGASE // SUBFAMILY NOT NAMED,yellow,NA,gene
Manes.01G224100.v8.1,Manes.01G224100,,yellow,NA,gene
Manes.01G226500.v8.1,Manes.01G226500,(1 of 2) PTHR23241//PTHR23241:SF55 - LATE EMBRYOGENESIS ABUNDANT  PLANTS  LEA-RELATED // SUBFAMILY NOT NAMED,yellow,NA,gene
Manes.01G226600.v8.1,Manes.01G226600,(1 of 1) PTHR13561//PTHR13561:SF5 - DNA REPLICATION REGULATOR DPB11-RELATED // SUBFAMILY NOT NAMED,yellow,NA,gene
Manes.01G234500.v8.1,Manes.01G234500,(1 of 8) PTHR24221//PTHR24221:SF205 - FAMILY NOT NAMED // ABC TRANSPORTER B FAMILY MEMBER 11-RELATED,magenta,NA,gene
Manes.01G234700.v8.1,Manes.01G234700,(1 of 2) PTHR11780//PTHR11780:SF8 - NADH-UBIQUINONE OXIDOREDUCTASE FLAVOPROTEIN 1  NDUFV1 // SUBFAMILY NOT NAMED,red,NA,gene
Manes.01G238151.v8.1,Manes.01G238151,,yellow,NA,gene
Manes.01G238251.v8.1,Manes.01G238251,(1 of 6) PTHR31989//PTHR31989:SF5 - FAMILY NOT NAMED // F11O4.3-RELATED,yellow,NA,gene
Manes.01G238300.v8.1,Manes.01G238300,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,yellow,NA,gene
Manes.01G238400.v8.1,Manes.01G238400,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,yellow,NA,gene
Manes.01G239000.v8.1,Manes.01G239000,(1 of 2) K12133 - MYB-related transcription factor LHY (LHY),red,NA,gene
Manes.01G242400.v8.1,Manes.01G242400,(1 of 3) PTHR24298//PTHR24298:SF46 - FAMILY NOT NAMED // CYTOCHROME P450 78A6-RELATED,red,NA,gene
Manes.01G243100.v8.1,Manes.01G243100,(1 of 2) PTHR24093:SF289 - CALCIUM-TRANSPORTING ATPASE 1; ENDOPLASMIC RETICULUM-TYPE-RELATED,red,NA,gene
Manes.01G244000.v8.1,Manes.01G244000,(1 of 45) PF02701 - Dof domain; zinc finger (zf-Dof),yellow,NA,gene
Manes.01G246000.v8.1,Manes.01G246000,(1 of 9) K04506 - E3 ubiquitin-protein ligase SIAH1 (SIAH1),red,NA,gene
Manes.01G248000.v8.1,Manes.01G248000,(1 of 2) PTHR32285:SF9 - PROTEIN TRICHOME BIREFRINGENCE-LIKE 25-RELATED,magenta,NA,gene
Manes.01G248300.v8.1,Manes.01G248300,(1 of 4) PTHR33978:SF2 - EXPRESSED PROTEIN,red,NA,gene
Manes.01G250800.v8.1,Manes.01G250800,(1 of 1) PTHR33322:SF4 - BAG FAMILY MOLECULAR CHAPERONE REGULATOR 6,yellow,NA,gene
Manes.01G253600.v8.1,Manes.01G253600,(1 of 2) PTHR31509:SF3 - BYPASS1-RELATED PROTEIN-RELATED,yellow,NA,gene
Manes.01G254300.v8.1,Manes.01G254300,(1 of 2) PTHR11972//PTHR11972:SF41 - NADPH OXIDASE // FERRIC REDUCTION OXIDASE 2-RELATED,red,NA,gene
Manes.01G256200.v8.1,Manes.01G256200,(1 of 4) PTHR27003//PTHR27003:SF52 - FAMILY NOT NAMED // U-BOX DOMAIN-CONTAINING PROTEIN 33,yellow,NA,gene
Manes.01G258500.v8.1,Manes.01G258500,,red,NA,gene
Manes.01G260600.v8.1,Manes.01G260600,(1 of 2) PTHR11564:SF15 - CELL DIVISION PROTEIN FTSY HOMOLOG; CHLOROPLASTIC,magenta,NA,gene
Manes.01G263100.v8.1,Manes.01G263100,(1 of 1) K12161 - ubiquitin related modifier 1 (URM1),red,NA,gene
Manes.01G265800.v8.1,Manes.01G265800,(1 of 2) K02732 - 20S proteasome subunit beta 6 (PSMB1),red,NA,gene
Manes.01G265900.v8.1,Manes.01G265900,(1 of 1) K10885 - ATP-dependent DNA helicase 2 subunit 2 (XRCC5; KU80; G22P2),yellow,NA,gene
Manes.01G266200.v8.1,Manes.01G266200,(1 of 6) 1.1.1.348 - Vestitone reductase,magenta,NA,gene
Manes.01G268401.v8.1,Manes.01G268401,,magenta,NA,gene
Manes.01G274900.v8.1,Manes.01G274900,(1 of 5) K15404 - aldehyde decarbonylase (K15404; CER1),red,NA,gene
Manes.02G001000.v8.1,Manes.02G001000,(1 of 2) K13679 - granule-bound starch synthase [EC:2.4.1.242] Glc a1-4 Glc (WAXY),red,carb,gene
Manes.02G001600.v8.1,Manes.02G001600,(1 of 2) PTHR31989:SF39 - NAC DOMAIN-CONTAINING PROTEIN 12,red,NA,gene
Manes.02G007900.v8.1,Manes.02G007900,(1 of 1) PTHR10168:SF61 - F1N19.7,yellow,NA,gene
Manes.02G009900.v8.1,Manes.02G009900,,yellow,NA,gene
Manes.02G013100.v8.1,Manes.02G013100,(1 of 14) K06689 - ubiquitin-conjugating enzyme E2 D/E (UBE2D_E; UBC4; UBC5),red,NA,gene
Manes.02G014200.v8.1,Manes.02G014200,(1 of 1) PTHR31071//PTHR31071:SF9 - FAMILY NOT NAMED // INTRACELLULAR PROTEIN TRANSPORT PROTEIN USO1-LIKE PROTEIN,yellow,NA,gene
Manes.02G014900.v8.1,Manes.02G014900,(1 of 1) PTHR31827//PTHR31827:SF14 - FAMILY NOT NAMED // F22C12.10,red,NA,gene
Manes.02G016500.v8.1,Manes.02G016500,(1 of 1) PTHR11668:SF280 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 7,red,NA,gene
Manes.02G018000.v8.1,Manes.02G018000,(1 of 2) PTHR24055//PTHR24055:SF224 - MITOGEN-ACTIVATED PROTEIN KINASE // MITOGEN-ACTIVATED PROTEIN KINASE 5,magenta,NA,gene
Manes.02G019350.v8.1,Manes.02G019350,(1 of 2) PTHR11514//PTHR11514:SF37 - MYC // TRANSCRIPTION FACTOR EGL1-RELATED,magenta,NA,gene
Manes.02G028000.v8.1,Manes.02G028000,(1 of 3) K15277 - solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter); member B3 (SLC35B3; PAPST2),yellow,NA,gene
Manes.02G030300.v8.1,Manes.02G030300,(1 of 1) KOG2427 - Uncharacterized conserved protein,red,NA,gene
Manes.02G032500.v8.1,Manes.02G032500,(1 of 2) PTHR31096:SF6 - ACR7-RELATED,red,NA,gene
Manes.02G032685.v8.1,Manes.02G032685,,yellow,NA,gene
Manes.02G033500.v8.1,Manes.02G033500,(1 of 3) PTHR33593:SF2 - F5O11.5,yellow,NA,gene
Manes.02G034600.v8.1,Manes.02G034600,,yellow,NA,gene
Manes.02G034700.v8.1,Manes.02G034700,(1 of 2) PTHR31080:SF2 - F23N19.14-RELATED,yellow,NA,gene
Manes.02G034900.v8.1,Manes.02G034900,(1 of 4) PTHR31080:SF8 - F23N19.12,yellow,NA,gene
Manes.02G044200.v8.1,Manes.02G044200,(1 of 2) PTHR23291:SF34 - BAX INHIBITOR 1,yellow,NA,gene
Manes.02G045900.v8.1,Manes.02G045900,(1 of 5) K02915 - large subunit ribosomal protein L34e (RP-L34e; RPL34),red,NA,gene
Manes.02G046500.v8.1,Manes.02G046500,(1 of 1) K06675 - structural maintenance of chromosome 4 (SMC4),red,NA,gene
Manes.02G047100.v8.1,Manes.02G047100,(1 of 2) PTHR10759//PTHR10759:SF8 - 60S RIBOSOMAL PROTEIN L34 // SUBFAMILY NOT NAMED,yellow,NA,gene
Manes.02G052600.v8.1,Manes.02G052600,(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase,magenta,carb,gene
Manes.02G056200.v8.1,Manes.02G056200,(1 of 1) PTHR12210//PTHR12210:SF58 - NUCLEAR LIM INTERACTOR-INTERACTING FACTOR-RELATED // SUBFAMILY NOT NAMED,magenta,NA,gene
Manes.02G057100.v8.1,Manes.02G057100,,red,NA,gene
Manes.02G058400.v8.1,Manes.02G058400,(1 of 4) PTHR13593//PTHR13593:SF46 - UNCHARACTERIZED // F21F23.12 PROTEIN,yellow,NA,gene
Manes.02G064600.v8.1,Manes.02G064600,(1 of 1) PTHR31050//PTHR31050:SF0 - FAMILY NOT NAMED // T25B24.5 PROTEIN,yellow,NA,gene
Manes.02G064700.v8.1,Manes.02G064700,,red,NA,gene
Manes.02G069700.v8.1,Manes.02G069700,(1 of 2) PTHR17224:SF3 - CHLOROPLASTIC GROUP IIB INTRON SPLICING FACILITATOR CRS2-A; CHLOROPLASTIC-RELATED,yellow,NA,gene
Manes.02G070300.v8.1,Manes.02G070300,(1 of 2) PTHR12277:SF83 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN,magenta,NA,gene
Manes.02G070700.v8.1,Manes.02G070700,(1 of 2) 3.5.1.94 - Gamma-glutamyl-gamma-aminobutyrate hydrolase / Gamma-glutamyl-GABA hydrolase,yellow,NA,gene
Manes.02G071350.v8.1,Manes.02G071350,(1 of 2) PTHR32059//PTHR32059:SF0 - FAMILY NOT NAMED // LISH DOMAIN AND HEAT REPEAT-CONTAINING PROTEIN KIAA1468,red,NA,gene
