gene_id,locusName,Description,colors,class,gene_metabolite
Manes.01G013300.v8.1,Manes.01G013300,(1 of 1) 1.1.1.300//1.1.1.330 - NADP-retinol dehydrogenase / Retinol dehydrogenase (NADP(+)) // Very-long-chain 3-oxoacyl-CoA reductase / Very-long-chain beta-ketoacyl-CoA reductase,turquoise,NA,gene
Manes.01G012900.v8.1,Manes.01G012900,(1 of 2) K09313 - homeobox protein cut-like (CUTL),turquoise,NA,gene
Manes.01G012400.v8.1,Manes.01G012400,,turquoise,NA,gene
Manes.01G012100.v8.1,Manes.01G012100,(1 of 1) PTHR12121//PTHR12121:SF29 - CARBON CATABOLITE REPRESSOR PROTEIN 4 // PROTEIN ANGEL,turquoise,NA,gene
Manes.01G013800.v8.1,Manes.01G013800,,turquoise,NA,gene
Manes.01G014500.v8.1,Manes.01G014500,(1 of 2) PTHR31713//PTHR31713:SF15 - FAMILY NOT NAMED // PROTEIN SAR DEFICIENT 1,turquoise,NA,gene
Manes.01G015500.v8.1,Manes.01G015500,(1 of 5) PTHR10165:SF80 - LIPID PHOSPHATE PHOSPHATASE 1-RELATED,turquoise,NA,gene
Manes.01G015600.v8.1,Manes.01G015600,,turquoise,NA,gene
Manes.01G016000.v8.1,Manes.01G016000,(1 of 2) 1.14.11.4 - Procollagen-lysine 5-dioxygenase / Procollagen-lysine;2-oxoglutarate 5-dioxygenase,turquoise,NA,gene
Manes.01G016600.v8.1,Manes.01G016600,(1 of 1) PTHR10314:SF110 - CYSTEINE SYNTHASE,turquoise,NA,gene
Manes.01G017500.v8.1,Manes.01G017500,,black,NA,gene
Manes.01G018300.v8.1,Manes.01G018300,(1 of 2) K17800 - LETM1 and EF-hand domain-containing protein 1; mitochondrial (LETM1; MDM38),turquoise,NA,gene
Manes.01G018600.v8.1,Manes.01G018600,(1 of 4) 1.1.1.54//1.3.1.102//1.3.1.74 - Allyl-alcohol dehydrogenase // 2-alkenal reductase (NADP(+)) / NADPH-dependent alkenal/one oxidoreductase // 2-alkenal reductase (NAD(P)(+)) / NADPH:2-alkenal alpha;beta-hydrogenase,black,NA,gene
Manes.01G021100.v8.1,Manes.01G021100,(1 of 4) PTHR34359//PTHR34359:SF1 - FAMILY NOT NAMED // CLAVATA3/ESR (CLE)-RELATED PROTEIN 11-RELATED,turquoise,NA,gene
Manes.01G021200.v8.1,Manes.01G021200,(1 of 1) K13111 - WD40 repeat-containing protein SMU1 (SMU1),turquoise,NA,gene
Manes.01G021300.v8.1,Manes.01G021300,,turquoise,NA,gene
Manes.01G021500.v8.1,Manes.01G021500,,turquoise,NA,gene
Manes.01G021700.v8.1,Manes.01G021700,(1 of 1) K03111 - single-strand DNA-binding protein (ssb),turquoise,NA,gene
Manes.01G022000.v8.1,Manes.01G022000,(1 of 15) PF04759 - Protein of unknown function; DUF617 (DUF617),turquoise,NA,gene
Manes.01G022300.v8.1,Manes.01G022300,(1 of 8) K01530 - phospholipid-translocating ATPase (E3.6.3.1),turquoise,NA,gene
Manes.01G022400.v8.1,Manes.01G022400,,purple,NA,gene
Manes.01G022500.v8.1,Manes.01G022500,(1 of 5) PTHR31194//PTHR31194:SF14 - SHN  SHINE ; DNA BINDING / TRANSCRIPTION FACTOR // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G022750.v8.1,Manes.01G022750,(1 of 7) 6.2.1.1 - Acetate--CoA ligase / Acyl-activating enzyme,turquoise,NA,gene
Manes.01G023300.v8.1,Manes.01G023300,(1 of 9) 1.13.11.19 - Cysteamine dioxygenase / Persulfurase,turquoise,NA,gene
Manes.01G023900.v8.1,Manes.01G023900,(1 of 1) 3.5.3.12 - Agmatine deiminase,turquoise,NA,gene
Manes.01G024300.v8.1,Manes.01G024300,(1 of 1) K04773 - protease IV [EC:3.4.21.-] (sppA),turquoise,NA,gene
Manes.01G025000.v8.1,Manes.01G025000,(1 of 1) PTHR36335//PTHR36335:SF1 - FAMILY NOT NAMED // CHAPERONE DNAJ-DOMAIN CONTAINING PROTEIN,turquoise,NA,gene
Manes.01G025200.v8.1,Manes.01G025200,(1 of 12) K15639 - PHYB activation tagged suppressor 1 (CYP734A1; BAS1),turquoise,NA,gene
Manes.01G025400.v8.1,Manes.01G025400,(1 of 2) K14842 - ribosome biogenesis protein NSA2 (NSA2),turquoise,NA,gene
Manes.01G026300.v8.1,Manes.01G026300,(1 of 9) 5.4.99.30 - UDP-arabinopyranose mutase,turquoise,NA,gene
Manes.01G026600.v8.1,Manes.01G026600,(1 of 1) K09564 - peptidyl-prolyl isomerase E (cyclophilin E) (PPIE),turquoise,NA,gene
Manes.01G026800.v8.1,Manes.01G026800,(1 of 5) 3.1.1.31 - 6-phosphogluconolactonase,turquoise,NA,gene
Manes.01G027100.v8.1,Manes.01G027100,(1 of 2) PTHR10693//PTHR10693:SF27 - RAS GTPASE-ACTIVATING PROTEIN-BINDING PROTEIN // NUCLEAR TRANSPORT FACTOR 2 AND RNA RECOGNITION MOTIF DOMAIN-CONTAINING PROTEIN,black,NA,gene
Manes.01G027350.v8.1,Manes.01G027350,,turquoise,NA,gene
Manes.01G027400.v8.1,Manes.01G027400,(1 of 2) PTHR13890//PTHR13890:SF11 - RNA SPLICING PROTEIN MRS2; MITOCHONDRIAL // MAGNESIUM TRANSPORTER MRS2-5,turquoise,NA,gene
Manes.01G027600.v8.1,Manes.01G027600,(1 of 52) PF01535//PF13041//PF13812 - PPR repeat (PPR) // PPR repeat family (PPR_2) // Pentatricopeptide repeat domain (PPR_3),turquoise,NA,gene
Manes.01G027700.v8.1,Manes.01G027700,(1 of 1) PTHR12770//PTHR12770:SF22 - FAMILY NOT NAMED // UPF0420 PROTEIN C16ORF58,turquoise,NA,gene
Manes.01G027900.v8.1,Manes.01G027900,(1 of 2) PF07168 - Ureide permease (Ureide_permease),turquoise,NA,gene
Manes.01G028100.v8.1,Manes.01G028100,(1 of 1) PTHR15351//PTHR15351:SF3 - FAMILY NOT NAMED // PROTEIN ERL-1,black,NA,gene
Manes.01G028200.v8.1,Manes.01G028200,(1 of 1) 3.1.1.3//3.7.1.14 - Triacylglycerol lipase / Triglyceride lipase // 2-hydroxy-6-oxonona-2;4-dienedioate hydrolase,turquoise,NA,gene
Manes.01G028400.v8.1,Manes.01G028400,(1 of 9) PF13041//PF13812 - PPR repeat family (PPR_2) // Pentatricopeptide repeat domain (PPR_3),turquoise,NA,gene
Manes.01G028600.v8.1,Manes.01G028600,(1 of 4) PTHR18860//PTHR18860:SF12 - 14-3-3 PROTEIN // 14-3-3-LIKE PROTEIN GF14 IOTA,turquoise,NA,gene
Manes.01G028700.v8.1,Manes.01G028700,(1 of 2) PTHR10108:SF817 - METHYLTRANSFERASE PMT4-RELATED,black,NA,gene
Manes.01G028800.v8.1,Manes.01G028800,(1 of 1) PTHR13748//PTHR13748:SF31 - COBW-RELATED // COBW DOMAIN-CONTAINING PROTEIN 1,turquoise,NA,gene
Manes.01G029400.v8.1,Manes.01G029400,(1 of 1) PTHR22953:SF46 - INACTIVE PURPLE ACID PHOSPHATASE 2-RELATED,turquoise,NA,gene
Manes.01G029950.v8.1,Manes.01G029950,(1 of 1) 4.6.1.1 - Adenylate cyclase / ATP pyrophosphate-lyase,turquoise,NA,gene
Manes.01G030200.v8.1,Manes.01G030200,(1 of 2) PTHR11106//PTHR11106:SF65 - GANGLIOSIDE INDUCED DIFFERENTIATION ASSOCIATED PROTEIN 2-RELATED // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G030400.v8.1,Manes.01G030400,(1 of 1) PF02151//PF08755 - UvrB/uvrC motif (UVR) // Hemimethylated DNA-binding protein YccV like (YccV-like),turquoise,NA,gene
Manes.01G030700.v8.1,Manes.01G030700,(1 of 4) PTHR33167:SF3 - F16A14.15-RELATED,turquoise,NA,gene
Manes.01G031001.v8.1,Manes.01G031001,(1 of 2) PTHR20856:SF20 - DNA-DIRECTED RNA POLYMERASE SUBUNIT BETA,turquoise,NA,gene
Manes.01G031200.v8.1,Manes.01G031200,(1 of 2) KOG2861 - Uncharacterized conserved protein,turquoise,NA,gene
Manes.01G033200.v8.1,Manes.01G033200,(1 of 2) PTHR31741:SF3 - O-FUCOSYLTRANSFERASE-LIKE PROTEIN,turquoise,NA,gene
Manes.01G034200.v8.1,Manes.01G034200,(1 of 2) PTHR14304//PTHR14304:SF11 - P30 DBC PROTEIN // PROTEIN LST-3; ISOFORM A,turquoise,NA,gene
Manes.01G034800.v8.1,Manes.01G034800,(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED,purple,NA,gene
Manes.01G035000.v8.1,Manes.01G035000,(1 of 6) PTHR31089//PTHR31089:SF4 - FAMILY NOT NAMED // CYCLIC DOF FACTOR 2-RELATED,turquoise,NA,gene
Manes.01G040700.v8.1,Manes.01G040700,(1 of 80) PF01535//PF13041//PF14432 - PPR repeat (PPR) // PPR repeat family (PPR_2) // DYW family of nucleic acid deaminases (DYW_deaminase),turquoise,NA,gene
Manes.01G040400.v8.1,Manes.01G040400,(1 of 5) K14293 - importin subunit beta-1 (KPNB1),turquoise,NA,gene
Manes.01G040300.v8.1,Manes.01G040300,,turquoise,NA,gene
Manes.01G039400.v8.1,Manes.01G039400,(1 of 28) PF04398 - Protein of unknown function; DUF538 (DUF538),turquoise,NA,gene
Manes.01G039300.v8.1,Manes.01G039300,(1 of 1) KOG1085 - Predicted methyltransferase (contains a SET domain),turquoise,NA,gene
Manes.01G039200.v8.1,Manes.01G039200,(1 of 1) K09122 - hypothetical protein (K09122),turquoise,NA,gene
Manes.01G036700.v8.1,Manes.01G036700,(1 of 207) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2),turquoise,NA,gene
Manes.01G037400.v8.1,Manes.01G037400,(1 of 4) PF05631 - Sugar-tranasporters; 12 TM (MFS_5),turquoise,NA,gene
Manes.01G037700.v8.1,Manes.01G037700,(1 of 3) PTHR12820//PTHR12820:SF0 - VACUOLAR SORTING PROTEIN 53 // VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 53 HOMOLOG,turquoise,NA,gene
Manes.01G038000.v8.1,Manes.01G038000,(1 of 3) PTHR23074//PTHR23074:SF20 - AAA ATPASE // GH08677P,purple,NA,gene
Manes.01G038300.v8.1,Manes.01G038300,(1 of 1) PTHR22957:SF312 - RABGAP/TBC DOMAIN-CONTAINING PROTEIN,turquoise,NA,gene
Manes.01G041400.v8.1,Manes.01G041400,(1 of 5) PF05030 - SSXT protein (N-terminal region) (SSXT),turquoise,NA,gene
Manes.01G042100.v8.1,Manes.01G042100,(1 of 2) PF09446 - VMA21-like domain (VMA21),turquoise,NA,gene
Manes.01G042200.v8.1,Manes.01G042200,(1 of 1) PTHR11527:SF167 - 25.3 KDA HEAT SHOCK PROTEIN; CHLOROPLASTIC,black,NA,gene
Manes.01G042600.v8.1,Manes.01G042600,(1 of 5) PF00076//PF07145//PF14259 - RNA recognition motif. (a.k.a. RRM; RBD; or RNP domain) (RRM_1) // Ataxin-2 C-terminal region (PAM2) // RNA recognition motif (a.k.a. RRM; RBD; or RNP domain) (RRM_6),black,NA,gene
Manes.01G042800.v8.1,Manes.01G042800,(1 of 4) K12890 - splicing factor; arginine/serine-rich 1/9 (SFRS1_9),turquoise,NA,gene
Manes.01G043100.v8.1,Manes.01G043100,,turquoise,NA,gene
Manes.01G043300.v8.1,Manes.01G043300,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),purple,NA,gene
Manes.01G044200.v8.1,Manes.01G044200,,purple,NA,gene
Manes.01G044400.v8.1,Manes.01G044400,(1 of 1) PTHR22814:SF51 - HEAVY METAL TRANSPORT/DETOXIFICATION DOMAIN-CONTAINING PROTEIN,turquoise,NA,gene
Manes.01G044801.v8.1,Manes.01G044801,(1 of 3) PTHR12121//PTHR12121:SF44 - CARBON CATABOLITE REPRESSOR PROTEIN 4 // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G050500.v8.1,Manes.01G050500,(1 of 3) PTHR32468//PTHR32468:SF34 - FAMILY NOT NAMED // CATION/H(+) ANTIPORTER 18,turquoise,NA,gene
Manes.01G050600.v8.1,Manes.01G050600,(1 of 3) PTHR32468:SF34 - CATION/H(+) ANTIPORTER 18,turquoise,NA,gene
Manes.01G050900.v8.1,Manes.01G050900,(1 of 1) PF00036//PF00069//PF13499 - EF hand (EF-hand_1) // Protein kinase domain (Pkinase) // EF-hand domain pair (EF-hand_7),turquoise,NA,gene
Manes.01G051400.v8.1,Manes.01G051400,(1 of 2) PTHR23074:SF90 - P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,turquoise,NA,gene
Manes.01G051530.v8.1,Manes.01G051530,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),purple,NA,gene
Manes.01G046700.v8.1,Manes.01G046700,(1 of 74) PF00069//PF00560//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine Rich Repeat (LRR_1) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8),black,NA,gene
Manes.01G045900.v8.1,Manes.01G045900,(1 of 2) PTHR13140//PTHR13140:SF470 - MYOSIN // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G045600.v8.1,Manes.01G045600,,turquoise,NA,gene
Manes.01G048000.v8.1,Manes.01G048000,(1 of 1) PTHR23257:SF454 - SERINE/THREONINE-PROTEIN KINASE QKGA-RELATED,turquoise,NA,gene
Manes.01G047900.v8.1,Manes.01G047900,(1 of 1) PTHR22847//PTHR22847:SF443 - WD40 REPEAT PROTEIN // PROTEIN SPA1-RELATED 2,turquoise,NA,gene
Manes.01G049375.v8.1,Manes.01G049375,,turquoise,NA,gene
Manes.01G049465.v8.1,Manes.01G049465,(1 of 1) PTHR10871//PTHR10871:SF8 - 30S RIBOSOMAL PROTEIN S13/40S RIBOSOMAL PROTEIN S18 // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G046800.v8.1,Manes.01G046800,(1 of 1) PTHR19376//PTHR19376:SF38 - DNA-DIRECTED RNA POLYMERASE // DNA-DIRECTED RNA POLYMERASE SUBUNIT BETA'',turquoise,NA,gene
Manes.01G047200.v8.1,Manes.01G047200,(1 of 102) PF03106 - WRKY DNA -binding domain (WRKY),turquoise,NA,gene
Manes.01G045515.v8.1,Manes.01G045515,,turquoise,NA,gene
Manes.01G045165.v8.1,Manes.01G045165,(1 of 2) PTHR32285//PTHR32285:SF40 - FAMILY NOT NAMED // PROTEIN TRICHOME BIREFRINGENCE-LIKE 23-RELATED,turquoise,NA,gene
Manes.01G049700.v8.1,Manes.01G049700,(1 of 2) PTHR11566//PTHR11566:SF58 - DYNAMIN // DYNAMIN-RELATED PROTEIN 1A,turquoise,NA,gene
Manes.01G052500.v8.1,Manes.01G052500,(1 of 2) PTHR10857//PTHR10857:SF54 - COPINE // DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN,purple,NA,gene
Manes.01G052104.v8.1,Manes.01G052104,(1 of 2) PTHR13902//PTHR13902:SF56 - SERINE/THREONINE-PROTEIN KINASE WNK  WITH NO LYSINE -RELATED // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G049500.v8.1,Manes.01G049500,(1 of 1) PF10382 - Protein of unknown function (DUF2439) (DUF2439),turquoise,NA,gene
Manes.01G053700.v8.1,Manes.01G053700,(1 of 4) PTHR24320//PTHR24320:SF81 - FAMILY NOT NAMED // NAD(P)-BINDING ROSSMANN-FOLD SUPERFAMILY PROTEIN,turquoise,NA,gene
Manes.01G054600.v8.1,Manes.01G054600,(1 of 1) K06111 - exocyst complex component 4 (EXOC4; SEC8L1),turquoise,NA,gene
Manes.01G054900.v8.1,Manes.01G054900,(1 of 3) PTHR19308//PTHR19308:SF12 - PHOSPHATIDYLCHOLINE TRANSFER PROTEIN // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G055708.v8.1,Manes.01G055708,(1 of 15) PF04811 - Sec23/Sec24 trunk domain (Sec23_trunk),turquoise,NA,gene
Manes.01G056900.v8.1,Manes.01G056900,,turquoise,NA,gene
Manes.01G058700.v8.1,Manes.01G058700,(1 of 2) PTHR11850//PTHR11850:SF120 - HOMEOBOX PROTEIN TRANSCRIPTION FACTORS // HOMEOBOX PROTEIN BEL1 HOMOLOG,turquoise,NA,gene
Manes.01G059900.v8.1,Manes.01G059900,,black,NA,gene
Manes.01G060200.v8.1,Manes.01G060200,(1 of 2) PTHR22937//PTHR22937:SF49 - RING FINGER CONTAINING PROTEIN // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G060700.v8.1,Manes.01G060700,(1 of 1) PTHR24089:SF164 - MITOCHONDRIAL SUBSTRATE CARRIER FAMILY PROTEIN,black,NA,gene
Manes.01G061900.v8.1,Manes.01G061900,(1 of 2) PTHR15141//PTHR15141:SF38 - TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 3 // BROMO-ADJACENT HOMOLOGY (BAH) DOMAIN-CONTAINING PROTEIN-RELATED,turquoise,NA,gene
Manes.01G062700.v8.1,Manes.01G062700,(1 of 3) 3.6.3.4//3.6.3.54 - Cu(2+)-exporting ATPase // Cu(+) exporting ATPase,turquoise,NA,gene
Manes.01G063600.v8.1,Manes.01G063600,(1 of 1) KOG0978//KOG4809 - E3 ubiquitin ligase involved in syntaxin degradation // Rab6 GTPase-interacting protein involved in endosome-to-TGN transport,turquoise,NA,gene
Manes.01G064900.v8.1,Manes.01G064900,,purple,NA,gene
Manes.01G065400.v8.1,Manes.01G065400,(1 of 6) PF05664 - Plant family of unknown function (DUF810) (DUF810),turquoise,NA,gene
Manes.01G066800.v8.1,Manes.01G066800,(1 of 2) K13519 - lysophospholipid acyltransferase (LPT1; ALE1),turquoise,NA,gene
Manes.01G068100.v8.1,Manes.01G068100,(1 of 1) PTHR24349//PTHR24349:SF134 - SERINE/THREONINE-PROTEIN KINASE // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G069600.v8.1,Manes.01G069600,(1 of 2) PF04424 - Protein of unknown function (DUF544) (DUF544),turquoise,NA,gene
Manes.01G069800.v8.1,Manes.01G069800,(1 of 3) K03364 - cell division cycle 20-like protein 1; cofactor of APC complex (CDH1),turquoise,NA,gene
Manes.01G070200.v8.1,Manes.01G070200,(1 of 1) K05277 - leucoanthocyanidin dioxygenase (E1.14.11.19),turquoise,NA,gene
Manes.01G070300.v8.1,Manes.01G070300,(1 of 2) PTHR10996:SF131 - GLYOXYLATE/HYDROXYPYRUVATE REDUCTASE HPR3,purple,NA,gene
Manes.01G071100.v8.1,Manes.01G071100,(1 of 15) PF09335 - SNARE associated Golgi protein (SNARE_assoc),turquoise,NA,gene
Manes.01G071200.v8.1,Manes.01G071200,(1 of 1) PTHR10361:SF30 - SODIUM/METABOLITE COTRANSPORTER BASS5; CHLOROPLASTIC-RELATED,turquoise,NA,gene
Manes.01G071500.v8.1,Manes.01G071500,(1 of 2) PTHR24115//PTHR24115:SF437 - FAMILY NOT NAMED // ARMADILLO REPEAT-CONTAINING KINESIN-LIKE PROTEIN 3,turquoise,NA,gene
Manes.01G072000.v8.1,Manes.01G072000,(1 of 3) PTHR12290:SF18 - PROTEIN CORNICHON HOMOLOG 3-RELATED,turquoise,NA,gene
Manes.01G072200.v8.1,Manes.01G072200,,black,NA,gene
Manes.01G073100.v8.1,Manes.01G073100,(1 of 4) PTHR22883:SF66 - PROTEIN S-ACYLTRANSFERASE 13-RELATED,turquoise,NA,gene
Manes.01G073112.v8.1,Manes.01G073112,,turquoise,NA,gene
Manes.01G073125.v8.1,Manes.01G073125,(1 of 7) K03347 - cullin 1 (CUL1; CDC53),turquoise,NA,gene
Manes.01G073300.v8.1,Manes.01G073300,(1 of 1) PTHR13273:SF14 - ANAMORSIN,turquoise,NA,gene
Manes.01G073400.v8.1,Manes.01G073400,(1 of 1) PTHR13105//PTHR13105:SF7 - MYELOID LEUKEMIA FACTOR // MYELOID LEUKEMIA FACTOR,turquoise,NA,gene
Manes.01G073700.v8.1,Manes.01G073700,(1 of 1) K06980 - uncharacterized protein (K06980),turquoise,NA,gene
Manes.01G074100.v8.1,Manes.01G074100,(1 of 1) PTHR10638:SF39 - AMINE OXIDASE-RELATED,turquoise,NA,gene
Manes.01G074500.v8.1,Manes.01G074500,(1 of 3) K09560 - suppressor of tumorigenicity protein 13 (ST13),turquoise,NA,gene
Manes.01G074800.v8.1,Manes.01G074800,(1 of 2) PTHR31080:SF2 - F23N19.14-RELATED,turquoise,carb,gene
Manes.01G075700.v8.1,Manes.01G075700,(1 of 2) PTHR12000//PTHR12000:SF16 - HEMOGLOBINASE FAMILY MEMBER // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G076201.v8.1,Manes.01G076201,,turquoise,NA,gene
Manes.01G076600.v8.1,Manes.01G076600,(1 of 1) PTHR10683//PTHR10683:SF10 - TRANSALDOLASE // TRANSALDOLASE-LIKE PROTEIN,turquoise,NA,gene
Manes.01G077700.v8.1,Manes.01G077700,(1 of 3) PTHR10972//PTHR10972:SF91 - OXYSTEROL-BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G079200.v8.1,Manes.01G079200,(1 of 2) PF04073 - Aminoacyl-tRNA editing domain (tRNA_edit),turquoise,NA,gene
Manes.01G080200.v8.1,Manes.01G080200,(1 of 1) 2.1.1.126 - [Myelin basic protein]-arginine N-methyltransferase / Protein-arginine N-methyltransferase,turquoise,NA,gene
Manes.01G080300.v8.1,Manes.01G080300,(1 of 1) PTHR24074//PTHR24074:SF2//PTHR24078//PTHR24078:SF285 - FAMILY NOT NAMED // DNAJ HOMOLOG SUBFAMILY C MEMBER 11 HOMOLOG // DNAJ HOMOLOG SUBFAMILY C MEMBER // CHAPERONE PROTEIN DNAJ 13,turquoise,NA,gene
Manes.01G080400.v8.1,Manes.01G080400,,purple,NA,gene
Manes.01G080700.v8.1,Manes.01G080700,(1 of 1) PTHR23067//PTHR23067:SF44 - DOUBLE-STRANDED RNA-BINDING ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G080900.v8.1,Manes.01G080900,(1 of 2) PTHR13402//PTHR13402:SF12 - RGPR-RELATED // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G080964.v8.1,Manes.01G080964,(1 of 43) PF10250 - GDP-fucose protein O-fucosyltransferase (O-FucT),turquoise,NA,gene
Manes.01G081600.v8.1,Manes.01G081600,(1 of 2) PTHR19139//PTHR19139:SF134 - AQUAPORIN TRANSPORTER // AQUAPORIN TIP2-3-RELATED,turquoise,NA,gene
Manes.01G081900.v8.1,Manes.01G081900,(1 of 1) 3.5.1.10 - Formyltetrahydrofolate deformylase / Formyltetrahydrofolate hydrolase,turquoise,NA,gene
Manes.01G082700.v8.1,Manes.01G082700,(1 of 1) K01704 - 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit (leuD),turquoise,NA,gene
